Name,Role
Krassimir Manev,President
Ricardo Anido,Executive Director
Eljakim Schrijvers,Treasurer
Mohammad Ali Abam,Chairman
Araz Yusubov,IC member
Benjamin Burton,IC member
Krešimir Malnar,IC member
Mathias Hiron,IC member
Mile Jovanov,IC member
Seiichi Tani,IC member
Sun Teck Tan,IC member
Vladimir Kiryukhin,IC member
Ali Sharifi Zarchi,ISC member
Farid Ahmadov,ISC member
Ikumi Hide,ISC member
Jakub Łącki,ISC member
Michal Forišek,ISC member
Pavel Mavrin,ISC member
Richard Peng,ISC member
Bernard Blackham,ITC member
Hamid Zarrabi-Zadeh,ITC member
Jamaladdin Hasanov,ITC member
Martin Mareš,ITC member
Masaki Hara,ITC member
Sergei Masiagin,ITC member
Stefano Maggiolo,ITC member
