Name,Role
Krassimir Manev,President
Margot Phillipps,Executive Director
Eljakim Schrijvers,Treasurer
Vladimir Kiryukhin,Chairman
Bakhyt Matkarimov,IC member
Benjamin Burton,IC member
Eslam Wageed,IC member
Fuad Hajiyev,IC member
Krešimir Malnar,IC member
Mile Jovanov,IC member
Mohammad Ali Abam,IC member
Ricardo Anido,IC member
Seiichi Tani,IC member
Jakub Łącki,ISC member
Michal Forišek,ISC member
Mohammad Mahdian,ISC member
Pavel Mavrin,ISC member
Richard Peng,ISC member
Tetsushi Ito,ISC member
Ulugbek Adilbekov,ISC member
Aman Sariyev,ITC member
Bernard Blackham,ITC member
Fredrik Niemelä,ITC member
Hamid Zarrabi-Zadeh,ITC member
Martin Mareš,ITC member
Masaki Hara,ITC member
Sergei Masiagin,ITC member
Stefano Maggiolo,ITC member
