Name,Role
Benjamin Burton,President
John-Paul Pretti,Secretary
Eljakim Schrijvers,Treasurer
Araz Yusubov,IC member
Brian Marshal,IC member
Catherine Espinoza,IC member
Eduards Kaļiņičenko,IC member
Eslam Wageed,IC member
Jhonatan Castro,IC member
László Jobbágy,IC member
Mile Jovanov,IC member
Sun Teck Tan,IC member
Agustín Santiago Gutiérrez,ISC member
Jonathan Irvin Gunawan,ISC member
Mahmoud Badawy,ISC member
Michal Forišek,ISC member
Miguel Angel Ortiz Merida,ISC member
Mikhail Tikhomirov,ISC member
Zsolt Németh,ISC member
Amir Keivan Mohtashami,ITC member
Ashar Fuadi,ITC member
Hamid Zarrabi-Zadeh,ITC member
László Nyúl,ITC member
Martin Mareš,ITC member
Omar Quispe Mita,ITC member
Wael Ewida,ITC member
