Name,Role
Gyula Horváth,Chairman
Péter Hanák,Chairman
Alicia Bañuelos,IC member
António Caleço,IC member
Don Piele,IC member
Göktürk Üçoluk ,IC member
Ha Jine Kimn,IC member
Håkan Strömberg,IC member
Kanchit Malaivongs,IC member
László Zsakó,IC member
Lionel Hartmann,IC member
Ria van Ouwerkerk,IC member
Ries Kock,IC member
