Name,Role
Richard Forster,President
Madhavan Mukund,Executive Director
Peter Taylor,Chairman
David Ginat,IC member
Fuad Hajiyev,IC member
Giuseppe Colosio,IC member
Greg Lee,IC member
Krassimir Manev,IC member
Krešimir Malnar,IC member
Mārtiņš Opmanis,IC member
Valentina Dagienė,IC member
Vladimir Kiryukhin,IC member
Ali Sharifi Zarchi,ISC member
Bakhyt Matkarimov,ISC member
Benjamin Burton,ISC member
Fredrik Niemelä,ISC member
Ling-Jyh Chen,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Pang-Feng Liu,ISC member
Roberto Grossi,ISC member
