Name,Role
Göktürk Üçoluk ,Chairman
Alexandre Cerveira,IC member
António Caleço,IC member
Don Piele,IC member
Ha Jine Kimn,IC member
Jari Koivisto,IC member
Lionel Hartmann,IC member
Péter Hanák,IC member
Richard Forster,IC member
Stanisław Waligórski,IC member
Zide Du,IC member
İsmail Hakkı Toroslu,ISC member
Jyrki Nummenmaa,ISC member
Tom Verhoeff,ISC member
