Name,Role
Krassimir Manev,President
Margot Phillipps,Executive Director
Eljakim Schrijvers,Treasurer
Bakhyt Matkarimov,Chairman
Benjamin Burton,IC member
Eslam Wageed,IC member
Greg Lee,IC member
Mārtiņš Opmanis,IC member
Mohammad Ali Abam,IC member
Ricardo Anido,IC member
Seiichi Tani,IC member
Valentina Dagienė,IC member
Vladimir Kiryukhin,IC member
Hamid Zarrabi-Zadeh,ISC member
Jakub Łącki,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Pang-Feng Liu,ISC member
Pavel Mavrin,ISC member
Richard Peng,ISC member
Bernard Blackham,ITC member
Fredrik Niemelä,ITC member
Kian Mirjalali,ITC member
Ling-Jyh Chen,ITC member
Sergei Masiagin,ITC member
Stefano Maggiolo,ITC member
