Name,Role
Yngve Lindberg,Chairman
Alicia Bañuelos,IC member
Don Piele,IC member
Gabriele Reich,IC member
Ha Jine Kimn,IC member
Håkan Strömberg,IC member
Kanchit Malaivongs,IC member
Péter Hanák,IC member
Peter Waker,IC member
Ries Kock,IC member
Willem van der Vegt,ISC member
