Name,Role
Arturo Cepeda Salinas,President
Richard Forster,Executive Director
Kanchit Malaivongs,Chairman
David Ginat,IC member
Eljakim Schrijvers,IC member
Fredrik Niemelä,IC member
Giuseppe Colosio,IC member
Greg Lee,IC member
Krassimir Manev,IC member
Peter Taylor,IC member
Troy Vasiga,IC member
Valentina Dagienė,IC member
Benjamin Burton,ISC member
Gordon Cormack,ISC member
Jittat Fakcharoenphol,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Mihai Patrascu,ISC member
Roberto Grossi,ISC member
