Name,Role
Richard Forster,President
Madhavan Mukund,Executive Director
Giuseppe Colosio,Chairman
Bakhyt Matkarimov,IC member
David Ginat,IC member
Eljakim Schrijvers,IC member
Greg Lee,IC member
Kanchit Malaivongs,IC member
Krassimir Manev,IC member
Krešimir Malnar,IC member
Peter Taylor,IC member
Valentina Dagienė,IC member
Benjamin Burton,ISC member
Fredrik Niemelä,ISC member
Jittat Fakcharoenphol,ISC member
Ling-Jyh Chen,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Roberto Grossi,ISC member
