Name,Role
Benjamin Burton,President
John-Paul Pretti,Secretary
Eljakim Schrijvers,Treasurer
Araz Yusubov,IC member
Eduards Kaļiņičenko,IC member
Eslam Wageed,IC member
Flóra Anna Rétfalvi,IC member
Fredrik Niemelä,IC member
Jhonatan Castro,IC member
Khumoyun Sultonov,IC member
Sandra Schumann,IC member
Sun Teck Tan,IC member
Agustín Santiago Gutiérrez,ISC member
Ali Sharifi Zarchi,ISC member
Mahmoud Badawy,ISC member
Michal Forišek,ISC member
Miguel Angel Ortiz Merida,ISC member
Raif Akhmedshin,ISC member
Zsolt Németh,ISC member
Amir Keivan Mohtashami,ITC member
Davlatbek Mirakulov,ITC member
Hamid Zarrabi-Zadeh,ITC member
László Nyúl,ITC member
Martin Mareš,ITC member
Omar Quispe Mita,ITC member
Wael Ewida,ITC member
