Name,Role
Arturo Cepeda Salinas,President
Richard Forster,Executive Director
Troy Vasiga,Chairman
Eljakim Schrijvers,IC member
Fredrik Niemelä,IC member
Giuseppe Colosio,IC member
Kanchit Malaivongs,IC member
Krassimir Manev,IC member
Metodija Jancheski,IC member
Peter Taylor,IC member
Rogelio Faustino Garcia Llano,IC member
Valentina Dagienė,IC member
Benjamin Burton,ISC member
Gordon Cormack,ISC member
Jittat Fakcharoenphol,ISC member
Marcin Kubica,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Roberto Grossi,ISC member
Velin Tzanov,ISC member
