Name,Role
Zide Du,President
Jari Koivisto,Executive Director
Arturo Cepeda Salinas,Chairman
Ivo Šeparović,IC member
Krassimir Manev,IC member
Krzysztof Diks,IC member
Mohamed Youssef,IC member
Ricardo Anido,IC member
Richard Forster,IC member
Spyros Bakogiannis,IC member
Wolfgang Pohl,IC member
Yasser M. Abdel Ghany,IC member
Alen Spiegl,ISC member
César Arturo Cepeda García,ISC member
Francisco Javier Zaragoza Martinez,ISC member
Gordon Cormack,ISC member
İsmail Hakkı Toroslu,ISC member
Jyrki Nummenmaa,ISC member
Luis Cruz Romo,ISC member
Marcin Kubica,ISC member
Tom Verhoeff,ISC member
