Name,Role
Lionel Hartmann,Executive Director
Ha Jine Kimn,Chairman
Don Piele,IC member
Jari Koivisto,IC member
Krassimir Manev,IC member
Krzysztof Diks,IC member
Mario Cruz,IC member
Spyros Bakogiannis,IC member
Vladimir Kiryukhin,IC member
Zide Du,IC member
Greg Galperin,ISC member
Hal Burch,ISC member
Ian Munro,ISC member
Iphigenia Founta,ISC member
Jyrki Nummenmaa,ISC member
Kun Soo Park,ISC member
Kyung Yong Chwa,ISC member
Michael Chatzopoulos,ISC member
Tom Verhoeff,ISC member
Xenofon Papadopoulos,ISC member
Đura Paunić,ISC member
