Name,Role
Zide Du,President
Jari Koivisto,Executive Director
Mohamed Youssef,Chairman
Eljakim Schrijvers,IC member
Ivo Šeparović,IC member
Kanchit Malaivongs,IC member
Krassimir Manev,IC member
Metodija Jancheski,IC member
Richard Forster,IC member
Rogelio Faustino Garcia Llano,IC member
Troy Vasiga,IC member
Valentina Dagienė,IC member
César Arturo Cepeda García,ISC member
Gordon Cormack,ISC member
Lovro Pužar,ISC member
Marcin Kubica,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Ossama Mohamed Ismail,ISC member
Velin Tzanov,ISC member
