Name,Role
Lionel Hartmann,Executive Director
Spyros Bakogiannis,Chairman
Arturo Cepeda Salinas,IC member
Don Piele,IC member
Ha Jine Kimn,IC member
Ivo Šeparović,IC member
Krzysztof Diks,IC member
Mario Cruz,IC member
Wolfgang Pohl,IC member
Yasser M. Abdel Ghany,IC member
Greg Galperin,ISC member
İsmail Hakkı Toroslu,ISC member
Jyrki Nummenmaa,ISC member
Krzysztof Ciebiera,ISC member
Krzysztof Stencel,ISC member
Marcin Kubica,ISC member
Michael Chatzopoulos,ISC member
Đura Paunić,ISC member
