Name,Role
Ries Kock,Chairman
Alicia Bañuelos,IC member
Don Piele,IC member
Gabriele Reich,IC member
Ha Jine Kimn,IC member
Håkan Strömberg,IC member
Kanchit Malaivongs,IC member
Pedro Guerreiro,IC member
Péter Hanák,IC member
Peter Waker,IC member
Ria van Ouwerkerk,IC member
Yngve Lindberg,IC member
Tom Verhoeff,ISC member
Willem van der Vegt,ISC member
