Year,Country,Name,Role
2011,Albania,Ilia Ninka,Leader
2011,Albania,Yunus Emre Yildiz,Deputy leader
2011,Argentina,Hugo Ryckeboer,Leader
2011,Argentina,Pablo Enrique Coll,Deputy leader
2011,Armenia,Armen Andreasyan,Leader
2011,Armenia,Hayk Saribekyan,Deputy leader
2011,Australia,Jarrah Lacko,Leader
2011,Australia,Chris Chen,Deputy leader
2011,Australia,Peter Taylor,IC member
2011,Australia,Benjamin Burton,ISC member
2011,Australia,Bernard Blackham,Invited guest
2011,Austria,Helmut Achleitner,Leader
2011,Austria,Johann Fellner,Deputy leader
2011,Azerbaijan,Ramin Mahmudzade,Leader
2011,Azerbaijan,Ismayil Sadigov,Deputy leader
2011,Azerbaijan,Elmi Ahmadov,Guest
2011,Bangladesh,Md Mahbubul Hasan,Leader
2011,Bangladesh,Mohammad Kaykobad,Deputy leader
2011,Belarus,Irina Kirinovich,Leader
2011,Belarus,Anatoli Aksenchyk,Deputy leader
2011,Belarus,Aliaksei Sikorski,Guest
2011,Belgium,Damien Leroy,Leader
2011,Belgium,Joachim Ganseman,Deputy leader
2011,Bolivia,Willmar Pimentel,Observer
2011,Bosnia and Herzegovina,Dean Čupović,Leader
2011,Bosnia and Herzegovina,Jasmin Hodzic,Deputy leader
2011,Brazil,Ricardo Anido,Leader
2011,Brazil,Wanderley da Silva Guimarães,Deputy leader
2011,Bulgaria,Emil Kelevedjiev,Leader
2011,Bulgaria,Stoyan Kapralov,Deputy leader
2011,Bulgaria,Krassimir Manev,IC member
2011,Canada,Ian Munro,Leader
2011,Canada,John-Paul Pretti,Deputy leader
2011,Canada,Troy Vasiga,IC member
2011,Canada,Gordon Cormack,ISC member
2011,China,Wenxin Li,Leader
2011,China,Hui Sun,Deputy leader
2011,China,Zide Du,Guest
2011,Colombia,Mario Cruz,Leader
2011,Colombia,Alfredo José Bayuelo,Deputy leader
2011,Croatia,Krešimir Malnar,Leader
2011,Croatia,Davor Prugovecki,Deputy leader
2011,Cyprus,Andreas Loutsios,Leader
2011,Cyprus,Panicos Masouras,Deputy leader
2011,Czech Republic,Zbyněk Falt,Leader
2011,Czech Republic,Jan Bulánek,Deputy leader
2011,Czech Republic,Martin Mareš,ISC member
2011,Denmark,Jørgen E. G. Nielsen,Leader
2011,Denmark,Knud Fjeldsted,Deputy leader
2011,Denmark,Dora Dimitrova,Guest
2011,Egypt,Eslam Wageed,Leader
2011,Egypt,Haytham Hassan,Deputy leader
2011,Estonia,Ahto Truu,Leader
2011,Estonia,Avo Muromägi,Deputy leader
2011,Finland,Timo Knuutila,Leader
2011,Finland,Antti Laaksonen,Deputy leader
2011,France,Mathias Hiron,Leader
2011,France,Loïc Février,Deputy leader
2011,Georgia,George Mandaria,Leader
2011,Georgia,Zaza Gamezardashvili,Deputy leader
2011,Germany,Wolfgang Pohl,Leader
2011,Germany,Thomas Fersch,Deputy leader
2011,Ghana,Francis Dogbey,Leader
2011,Greece,Michael Chatzopoulos,Leader
2011,Greece,Nikolaos S. Papaspyrou,Deputy leader
2011,"Hong Kong, China",Wing Kin Lo,Leader
2011,"Hong Kong, China",Hoi Hung Ma,Deputy leader
2011,Hungary,Gyula Horváth,Leader
2011,Hungary,László Zsakó,Deputy leader
2011,India,Madhavan Mukund,Leader
2011,India,Narayan Kumar Krishnan,Deputy leader
2011,Indonesia,Inggriani Liem,Leader
2011,Indonesia,Rully Soelaiman,Deputy leader
2011,Indonesia,Brian Marshal,Guest
2011,Iran,Mohammad Ali Safari Ghahsareh ,Leader
2011,Iran,Aidin Nassiri Shargh,Deputy leader
2011,Iran,Mohammad Ali Abam,Observer
2011,Ireland,Charlie Michael Daly,Leader
2011,Ireland,Michael Anthony Cotter,Deputy leader
2011,Israel,Oren Becker,Leader
2011,Israel,Jonathan Mosheiff,Deputy leader
2011,Israel,David Ginat,IC member
2011,Israel,Hila Kadman,Guest
2011,Italy,Luigi Laura,Leader
2011,Italy,Stefano Maggiolo,Deputy leader
2011,Italy,Giuseppe Colosio,IC member
2011,Italy,Roberto Grossi,ISC member
2011,Japan,Tetsushi Ito,Leader
2011,Japan,Seiichi Tani,Deputy leader
2011,Kazakhstan,Bakhyt Matkarimov,Leader
2011,Kazakhstan,Azhar Tulepbergenovna Rakhletova,Deputy leader
2011,Kuwait,Makki Alkhabbaz,Leader
2011,Kuwait,Zuhair Ibrahim Almutawa,Deputy leader
2011,Kyrgyzstan,Pavel Pankov,Leader
2011,Kyrgyzstan,Timur Oruskulov,Deputy leader
2011,Latvia,Mārtiņš Opmanis,Leader
2011,Latvia,Rihards Opmanis,Deputy leader
2011,Latvia,Normunds Vilciņš,Invited guest
2011,Lithuania,Jūratė Skūpienė,Leader
2011,Lithuania,Vytautas Gruslys,Deputy leader
2011,Lithuania,Valentina Dagienė,IC member
2011,Luxembourg,Jean Reckinger,Leader
2011,Luxembourg,Luc Bredemus,Deputy leader
2011,"Macao, China",Teng Lam,Leader
2011,"Macao, China",Kuo Meng Sun,Deputy leader
2011,Mexico,Enrique Lira Vargas,Leader
2011,Mexico,Marcel Stöckli Contreras,Deputy leader
2011,Mexico,Arturo Cepeda Salinas,President
2011,Moldova,Iurie Mocanu,Leader
2011,Moldova,Anatol Gremalschi,Deputy leader
2011,Mongolia,Choijoovaanchig Lkhachin,Leader
2011,Mongolia,Bagabold  Gendensuren,Deputy leader
2011,Netherlands,Willem van der Vegt,Leader
2011,Netherlands,Marcel Vlastuin,Deputy leader
