Year,Country,Name,Role
2013,Argentina,Mariano Maluf,Leader
2013,Argentina,Hugo Ryckeboer,Deputy leader
2013,Armenia,Vahram Dumanyan,Leader
2013,Armenia,Armen Andreasyan,Deputy leader
2013,Australia,Ben Stott,Leader
2013,Australia,Jarrah Lacko,Leader
2013,Australia,Luke Harrison,Deputy leader
2013,Australia,Robert Newey,Deputy leader
2013,Australia,Peter Taylor,Chairman
2013,Australia,Benjamin Burton,ISC member
2013,Australia,Bernard Blackham,Invited guest
2013,Austria,Gerald Futschek,Leader
2013,Austria,Christoph Sperl,Deputy leader
2013,Azerbaijan,Ramin Mahmudzade,Leader
2013,Azerbaijan,Ismayil Sadigov,Deputy leader
2013,Bangladesh,Md Mahbubul Hasan,Leader
2013,Bangladesh,Mohammad Kaykobad,Deputy leader
2013,Belarus,Irina Kirinovich,Leader
2013,Belarus,Anatoli Aksenchyk,Deputy leader
2013,Belarus,Aliaksandr Kandratovich,Guest
2013,Belarus,Aliaksei Sikorski,Guest
2013,Belarus,Aliaksei Tolstsikau,Guest
2013,Belgium,Damien Leroy,Leader
2013,Belgium,Joachim Ganseman,Deputy leader
2013,Bolivia,Alberto Joaquin Suxo Riveros,Leader
2013,Bosnia and Herzegovina,Haris Gavranović,Leader
2013,Bosnia and Herzegovina,Alvin Abdagić,Deputy leader
2013,Brazil,Ricardo Anido,Leader
2013,Brazil,Wanderley da Silva Guimarães,Deputy leader
2013,Bulgaria,Emil Kelevedjiev,Leader
2013,Bulgaria,Stoyan Kapralov,Deputy leader
2013,Bulgaria,Krassimir Manev,IC member
2013,Canada,Troy Vasiga,Leader
2013,Canada,John-Paul Pretti,Deputy leader
2013,Chile,Jorge Perez,Leader
2013,Chile,Luis Alberto Herrera,Deputy leader
2013,China,Wenxin Li,Leader
2013,China,Hui Sun,Deputy leader
2013,China,Zide Du,Guest
2013,Colombia,Mario Cruz,Leader
2013,Colombia,Rafael Mantilla,Deputy leader
2013,Croatia,Aron Bohr,Leader
2013,Croatia,Anton Grbin,Deputy leader
2013,Croatia,Krešimir Malnar,IC member
2013,Cyprus,Andreas Loutsios,Leader
2013,Cyprus,Panicos Masouras,Deputy leader
2013,Czech Republic,Zdeněk Dvořák,Leader
2013,Czech Republic,Zbyněk Falt,Deputy leader
2013,Czech Republic,Martin Mareš,ISC member
2013,Denmark,Jørgen E. G. Nielsen,Leader
2013,Denmark,Knud Fjeldsted,Deputy leader
2013,Denmark,Dora Dimitrova,Guest
2013,Denmark,Ellen Krogh,Guest
2013,Egypt,Salah Elewa,Leader
2013,Egypt,Eslam Wageed,Deputy leader
2013,Estonia,Ahto Truu,Leader
2013,Estonia,Heno Ivanov,Deputy leader
2013,Finland,Antti Laaksonen,Leader
2013,France,Mathias Hiron,Leader
2013,France,Mehdi Bouaziz,Deputy leader
2013,Georgia,George Mandaria,Leader
2013,Georgia,Zaza Gamezardashvili,Deputy leader
2013,Germany,Wolfgang Pohl,Leader
2013,Germany,Fabian Gundlach,Deputy leader
2013,Greece,Michael Chatzopoulos,Leader
2013,Greece,Panagiotis Karageorgos,Deputy leader
2013,"Hong Kong, China",Ka Man May Chan,Leader
2013,"Hong Kong, China",Chi Wing Yu,Deputy leader
2013,Hungary,Gyula Horváth,Leader
2013,Hungary,László Zsakó,Deputy leader
2013,India,Narayan Kumar Krishnan,Leader
2013,India,Pradeep Mathias,Deputy leader
2013,India,Madhavan Mukund,Executive Director
2013,Indonesia,Yugo Kartono Isal,Leader
2013,Indonesia,Mushthofa,Deputy leader
2013,Indonesia,Adi Mulyanto,Guest
2013,Iran,Mohammad Ali Abam,Leader
2013,Iran,Farhad Shahmohammadi,Deputy leader
2013,Iran,Ali Sharifi Zarchi,ISC member
2013,Iran,Hamid Zarrabi-Zadeh,Observer
2013,Ireland,Charlie Michael Daly,Leader
2013,Israel,Oren Becker,Leader
2013,Israel,Jonathan Mosheiff,Deputy leader
2013,Israel,David Ginat,IC member
2013,Italy,Giorgio Audrito,Leader
2013,Italy,Matteo Boscariol,Deputy leader
2013,Italy,Giuseppe Colosio,IC member
2013,Italy,Roberto Grossi,ISC member
2013,Japan,Tetsushi Ito,Leader
2013,Japan,Seiichi Tani,Deputy leader
2013,Kazakhstan,Artem Iglikov,Leader
2013,Kazakhstan,Azhar Tulepbergenovna Rakhletova,Deputy leader
2013,Kazakhstan,Fuad Hajiyev,IC member
2013,Kazakhstan,Bakhyt Matkarimov,ISC member
2013,Kuwait,Makki Alkhabbaz,Leader
2013,Kuwait,Zuhair Ibrahim Almutawa,Deputy leader
2013,Kyrgyzstan,Pavel Pankov,Leader
