Year,Country,Name,Role
1994,Argentina,Amalia Bañuelos,Deputy leader
1994,Argentina,Alicia Bañuelos,IC member
1994,Austria,Karl Josef Fuchs,Leader
1994,Austria,Wolfgang Stormer,Deputy leader
1994,Azerbaijan,Oktay Ibrahimov,Leader
1994,Azerbaijan,Fariz Mamadov,Deputy leader
1994,Belarus,Vladimir Kotov,Leader
1994,Belarus,Andrey Pupko,Deputy leader
1994,Bulgaria,Ognian Gavrailov,Leader
1994,Bulgaria,Angel Angelov,Deputy leader
1994,China,Wenhu Wu,Leader
1994,China,Hongxi Xue,Deputy leader
1994,Colombia,Mario Cruz,Leader
1994,Colombia,Daniel Gomez,Deputy leader
1994,Croatia,Ivo Šeparović,Leader
1994,Croatia,Boris Grinfeld,Deputy leader
1994,Croatia,Vlasta Separovic,Guest
1994,Cuba,Maria Mercedes Mateu Trujillo,Leader
1994,Cyprus,Panicos Masouras,Leader
1994,Czech Republic,Václav Sedláček,Leader
1994,Czech Republic,Pavel Töpfer,Deputy leader
1994,Denmark,Knud Fjeldsted,Leader
1994,Denmark,Jørgen E. G. Nielsen,Deputy leader
1994,Estonia,Rein Prank,Leader
1994,Estonia,Indrek Jentson,Deputy leader
1994,Finland,Otto Nurmi,Leader
1994,Finland,Jari Koivisto,Deputy leader
1994,Germany,Günter Scheu,Deputy leader
1994,Germany,Gabriele Reich,IC member
1994,Greece,Spyros Bakogiannis,Leader
1994,Greece,Katerina Georgouli,Deputy leader
1994,"Hong Kong, China",Shiu-Bong Teng,Leader
1994,"Hong Kong, China",Hing Lam Chan,Deputy leader
1994,Hungary,Tibor Temesvári,Deputy leader
1994,Hungary,Péter Hanák,IC member
1994,Hungary,Anna László,Guest
1994,Hungary,Maria Toth,Guest
1994,Iran,Mohammad Ghodsi,Leader
1994,Iran,Nezamaddin Mahdavi-Amiri,Deputy leader
1994,Iran,Kheyriah Beygon Haaeri Zadeh,Guest
1994,Ireland,Charlie Michael Daly,Leader
1994,Ireland,Michael Anthony Cotter,Deputy leader
1994,Italy,Aniello Pennachio,Leader
1994,Italy,Daniela Ille,Deputy leader
1994,Italy,Fru Pennachio,Guest
1994,Japan,Etsuro Moriya,Leader
1994,Japan,Toshiya Minezaki,Deputy leader
1994,Japan,Seiichi Tani,Observer
1994,Kuwait,Makki Alkhabbaz,Leader
1994,Kuwait,Abdel Ghany Ahmed Mohamed,Deputy leader
1994,Latvia,Māris Vītiņš,Leader
1994,Latvia,Vineta Arnicāne,Deputy leader
1994,Lithuania,Gintautas Grigas,Leader
1994,Lithuania,Viktoras Dagys,Deputy leader
1994,Luxembourg,Daniel Weiler,Leader
1994,Luxembourg,Marc Bonvini,Deputy leader
1994,"Macao, China",Teng Lam,Leader
1994,"Macao, China",Sai Wei Tang,Deputy leader
1994,Malta,Mario Camilleri,Leader
1994,Malta,Josephine Cilia,Deputy leader
1994,Mexico,Eduardo Viruena Silva,Leader
1994,Mexico,Francisco Javier Zaragoza Martinez,Deputy leader
1994,Mexico,Ricardo Venegas Espinoza,Guest
1994,Netherlands,Anne Marie van Schoonderwalt,Deputy leader
1994,Netherlands,Ries Kock,IC member
1994,Netherlands,Willem van der Vegt,ISC member
1994,Netherlands,Franka van Neerven,Guest
1994,Netherlands,Jacco Gnodde,Guest
1994,Netherlands,Ria van Ouwerkerk,Guest
1994,Netherlands,Ron Helwig,Guest
1994,Netherlands,Ard Hartsuiker,Observer
1994,Netherlands,Eljakim Schrijvers,Observer
1994,Netherlands,Tom Verhoeff,Observer
1994,Poland,Stanisław Waligórski,Leader
1994,Poland,Andrzej Walat,Deputy leader
1994,Portugal,Pedro Guerreiro,Leader
1994,Portugal,Paulo Faroleiro,Deputy leader
1994,Portugal,Helena Pereira,Guest
1994,Portugal,Rui Soares,Guest
1994,Republic of Korea,Dong Yoon Kim,Deputy leader
1994,Republic of Korea,Ha Jine Kimn,IC member
1994,Republic of Korea,Hee Chul Kim,Guest
1994,Republic of Korea,Hong-Sup Cho,Guest
1994,Republic of Korea,Joo Won Jung,Guest
1994,Republic of Korea,Suongsoo Kim,Guest
1994,Romania,Horia Ioan Georgescu,Leader
1994,Romania,Stelian Niculescu,Deputy leader
1994,Russia,Vladimir Kiryukhin,Leader
1994,Russia,Anton Sukhanov,Deputy leader
1994,Singapore,Aaron Tan Tuck Choy,Leader
1994,Singapore,Chong Pin Pir,Deputy leader
1994,Singapore,Yeo Yek Seng,Guest
1994,Slovakia,Juraj Balazs,Leader
1994,Slovakia,Ondrej Demacek,Deputy leader
1994,Slovenia,Roman Dorn,Leader
1994,Slovenia,Borut Jurčič Zlobec,Deputy leader
1994,South Africa,Peter Waker,Leader
1994,South Africa,Per  Stilborg,Deputy leader
1994,South Africa,Peter Waker,IC member
1994,Sri Lanka,Thambiayah Lalkumar Chandranath,Leader
1994,Sri Lanka,Palith Rodrigo,Deputy leader
1994,Sweden,Peter Becker,Leader
1994,Sweden,Yngve Lindberg,Chairman
1994,Sweden,Håkan Strömberg,IC member
1994,Switzerland,Peter Strebel,Leader
1994,Taiwan,Greg Lee,Leader
1994,Taiwan,Chiou-Shann Fuh,Deputy leader
1994,Taiwan,I-Peng Lin,Guest
1994,Taiwan,Rong-Guey Ho,Guest
1994,Taiwan,Shian-Shyong Tseng,Guest
1994,Taiwan,Yueh-Lan Liu,Guest
1994,Thailand,Yuen Poovarawan,Deputy leader
1994,Thailand,Kanchit Malaivongs,IC member
1994,Thailand,Naree Vongsirojkul,Guest
1994,Thailand,Somnuk Keretho,Guest
1994,Thailand,Somsri Ujjin,Guest
1994,Trinidad and Tobago,Noel Kalicharan,Leader
1994,Trinidad and Tobago,Ian Furlonge,Deputy leader
1994,Türkiye,Göktürk Üçoluk ,Leader
1994,Türkiye,Meltem Turhan,Deputy leader
1994,Ukraine,Victor Bardadym,Leader
1994,Ukraine,Vladimir Gaidarji,Deputy leader
1994,Ukraine,Konstantin Barchouk,Guest
1994,United States of America,Don Piele,Leader
1994,United States of America,Greg Galperin,Deputy leader
1994,United States of America,Don Piele,IC member
1994,Vietnam,Dam Ho Si,Leader
1994,Vietnam,Dang Khac Nhan,Deputy leader
