Name,Role
Zide Du,President
Jari Koivisto,Executive Director
Ivo Šeparović,Chairman
Arturo Cepeda Salinas,IC member
Eljakim Schrijvers,IC member
Krassimir Manev,IC member
Krzysztof Diks,IC member
Mohamed Youssef,IC member
Ricardo Anido,IC member
Richard Forster,IC member
Troy Vasiga,IC member
Valentina Dagienė,IC member
Yasser M. Abdel Ghany,IC member
Bojan Antolović,ISC member
César Arturo Cepeda García,ISC member
Gordon Cormack,ISC member
Lovro Pužar,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Ossama Mohamed Ismail,ISC member
Tom Verhoeff,ISC member
Zvonimir Bujanović,ISC member
