Name,Role
Petar Kenderov,Chairman
Alejandro Pita Hernández,IC member
Christos Kilias,IC member
Peter Heyderhoff,IC member
S. Chen,IC member
S. Mahere,IC member
Stanisław Waligórski,IC member
Vladimir Kiryukhin,IC member
