Name,Role
Zide Du,Chairman
António Caleço,IC member
Don Piele,IC member
Göktürk Üçoluk ,IC member
Ha Jine Kimn,IC member
Jari Koivisto,IC member
Lionel Hartmann,IC member
Richard Forster,IC member
Stanisław Waligórski,IC member
Vladimir Kiryukhin,IC member
Baolin Yin,ISC member
Gyula Horváth,ISC member
İsmail Hakkı Toroslu,ISC member
Isto Aho,ISC member
Jyrki Nummenmaa,ISC member
Kyung Yong Chwa,ISC member
Mohammad Ghodsi,ISC member
Tom Verhoeff,ISC member
Wenhu Wu,ISC member
