Year,Country,Name,Role
1999,Albania,Ilia Ninka,Leader
1999,Argentina,Rogelio Faustino Garcia Llano,Leader
1999,Argentina,Hugo Ryckeboer,Deputy leader
1999,Armenia,Vladimir Yeghiazaryan,Leader
1999,Armenia,Artashes Abrahamyan,Deputy leader
1999,Australia,Robbie Gates,Leader
1999,Australia,Benjamin Burton,Deputy leader
1999,Australia,Sandra Brownscombe,Observer
1999,Austria,Karl Josef Fuchs,Leader
1999,Austria,Wolfgang Stormer,Deputy leader
1999,Azerbaijan,Muammer Öksüz,Leader
1999,Azerbaijan,Bilal Huseynov,Deputy leader
1999,Belarus,Ihar Volkau,Leader
1999,Belarus,Emiliya Ratobylskaya,Deputy leader
1999,Belarus,Katsiaryna Paziura,Observer
1999,Bosnia and Herzegovina,Željko  Jurić,Leader
1999,Bosnia and Herzegovina,Salih Ćemo,Deputy leader
1999,Brazil,Ricardo Anido,Leader
1999,Bulgaria,Krassimir Manev,Leader
1999,Bulgaria,Asen Rahnev,Deputy leader
1999,Canada,Barry Ferguson,Leader
1999,Canada,Richard Clausi,Deputy leader
1999,China,Wenhu Wu,Leader
1999,China,Junhui Deng,Deputy leader
1999,China,Zide Du,IC member
1999,China,Jihong Bao,Guest
1999,China,Zheng Zengyi,Guest
1999,China,Baolin Yin,Observer
1999,Colombia,Mario Cruz,Leader
1999,Croatia,Ivo Šeparović,Leader
1999,Croatia,Krešimir Malnar,Deputy leader
1999,Croatia,Vlasta Separovic,Guest
1999,Cuba,Francisco José Hernández González,Leader
1999,Cuba,Oscar Muñoz González,Deputy leader
1999,Cyprus,Panicos Masouras,Leader
1999,Cyprus,Andreas Loutsios,Deputy leader
1999,Czech Republic,Pavel Töpfer,Leader
1999,Czech Republic,Daniel Kráľ,Deputy leader
1999,Denmark,Knud Fjeldsted,Leader
1999,Denmark,Jørgen E. G. Nielsen,Deputy leader
1999,Egypt,Alaa Sarhan,Leader
1999,Egypt,Abdelaziz Mohamed Khamis,Deputy leader
1999,Estonia,Ahto Truu,Leader
1999,Estonia,Indrek Jentson,Deputy leader
1999,Finland,Tiina Aalto,Leader
1999,Finland,Jyrki Kivinen,Deputy leader
1999,Finland,Jari Koivisto,IC member
1999,Finland,Jyrki Nummenmaa,ISC member
1999,Finland,Petri Graeffe,Guest
1999,Finland,Tuija Liuko,Guest
1999,France,Cyrille Pierre,Leader
1999,France,Mathias Hiron,Deputy leader
1999,Georgia,George Mandaria,Leader
1999,Georgia,Besarion Shioshvili,Deputy leader
1999,Germany,Gabriele Reich,Leader
1999,Germany,Wolfgang Pohl,Leader
1999,Greece,Katerina Georgouli,Leader
1999,Greece,Spyros Bakogiannis,Deputy leader
1999,"Hong Kong, China",Siu-Kai Ng,Leader
1999,"Hong Kong, China",Hok Ling Ng,Deputy leader
1999,Hungary,Gyula Horváth,Leader
1999,Hungary,László Zsakó,Deputy leader
1999,Hungary,Péter Hanák,IC member
1999,Indonesia,Suryana Setiawan,Leader
1999,Indonesia,Paulus Insap Santosa,Deputy leader
1999,Indonesia,Bapak Dardjis,Guest
1999,Iran,Mohammad Ghodsi,Leader
1999,Iran,Ali Asghar  Khanban,Deputy leader
1999,Ireland,Charlie Michael Daly,Leader
1999,Ireland,Michael Scott,Deputy leader
1999,Ireland,Mary Carrick-Scott,Guest
1999,Ireland,Michael Anthony Cotter,Observer
1999,Israel,David Ginat,Leader
1999,Israel,Ella Tzur,Deputy leader
1999,Israel,Dov Raphael,Guest
1999,Israel,Itamar Cohen,Guest
1999,Kazakhstan,Tamara Seitkazina,Leader
1999,Kazakhstan,Aldiyar Dauletkulov,Deputy leader
1999,Kenya,Sener Kenan,Observer
1999,Kyrgyzstan,Maya A. Kim,Observer
1999,Latvia,Māris Vītiņš,Leader
1999,Latvia,Mārtiņš Opmanis,Deputy leader
1999,Lithuania,Valentina Dagienė,Leader
1999,Lithuania,Jūratė Skūpienė,Deputy leader
1999,Lithuania,Bronius Skūpas,Guest
1999,Luxembourg,Daniel Weiler,Leader
1999,Luxembourg,Marc Bonvini,Deputy leader
1999,"Macao, China",Teng Lam,Leader
1999,"Macao, China",Ka Meng Siu,Deputy leader
1999,Mexico,César Arturo Cepeda García,Leader
1999,Mexico,Manuel Leopoldo Wario,Deputy leader
1999,Moldova,Iurie Mocanu,Leader
1999,Moldova,Grigore Vasilache,Deputy leader
1999,Mongolia,Jagdagdorj Erkhembayar,Leader
1999,Mongolia,Choijoovaanchig Lkhachin,Deputy leader
1999,Mozambique,Otilia Gonçalaves Fernandes Da Graca,Leader
1999,Mozambique,Elias Lucio Cuambe Nhancale,Deputy leader
1999,Netherlands,Eljakim Schrijvers,Leader
1999,Netherlands,Josine van der Ven,Deputy leader
1999,Netherlands,Tom Verhoeff,ISC member
1999,Netherlands,Ries Kock,Guest
1999,North Macedonia,Marjan Gushev,Leader
1999,North Macedonia,Anastas Misev,Deputy leader
1999,North Macedonia,Gjorgji Jovancevski,Observer
1999,Poland,Krzysztof Diks,Leader
1999,Poland,Marcin Kubica,Deputy leader
1999,Poland,Stanisław Waligórski,IC member
1999,Portugal,Pedro Guerreiro,Leader
1999,Portugal,Paulo Faroleiro,Deputy leader
1999,Portugal,Alexandre Cerveira,IC member
1999,Portugal,António Caleço,IC member
1999,Portugal,Aida Pires,Guest
1999,Portugal,Antonio Silva,Guest
1999,Portugal,Artur Gil,Guest
1999,Portugal,Eugénia Maria Rodrigues,Guest
1999,Portugal,Isabel Faroleiro,Guest
1999,Portugal,Isabel Seixas,Guest
1999,Portugal,Isidro Pedro,Guest
1999,Portugal,Joao Bigodinho,Guest
1999,Portugal,Joao Eusebio,Guest
1999,Portugal,Leonor Caleço,Guest
1999,Portugal,Lurdes Silva,Guest
1999,Portugal,Maria Joao Ferro,Guest
1999,Portugal,Silvia Branca,Guest
1999,Portugal,Fernanda Pedro,Observer
1999,Republic of Korea,Jik Hyun Chang,Leader
1999,Republic of Korea,Hwan Gue Cho,Deputy leader
1999,Republic of Korea,Ha Jine Kimn,IC member
1999,Republic of Korea,Jin Ho Kim,Guest
1999,Republic of Korea,Kyung Woo Lee,Guest
1999,Republic of Korea,Mok Hee Kim,Guest
1999,Republic of Korea,Seung Hoon Lee,Guest
1999,Republic of Korea,Seung Il Huh,Guest
1999,Republic of Korea,Sung Kwon Kim,Guest
1999,Republic of Korea,Sung Tae Won,Guest
1999,Republic of Korea,Yong Taik Lee,Guest
1999,Romania,Clara Ionescu,Leader
1999,Romania,Anca Voicu,Deputy leader
1999,Russia,Vladimir Kiryukhin,Leader
1999,Russia,Larisa Samovolnova,Deputy leader
1999,Serbia and Montenegro,Đura Paunić,Leader
1999,Serbia and Montenegro,Dragan Urošević,Deputy leader
1999,Serbia and Montenegro,Dragan Dmitrijevic,Observer
1999,Serbia and Montenegro,Milos Popadic,Observer
1999,Singapore,Andrew Lim Leong Chye,Leader
1999,Singapore,Mooi Lee Choo ,Deputy leader
1999,Singapore,Brenda Cheang,Observer
1999,Slovakia,Gabriela Andrejková,Leader
1999,Slovakia,Martin Pal,Deputy leader
1999,Slovenia,Roman Dorn,Leader
1999,Slovenia,Borut Lesjak,Deputy leader
1999,Slovenia,Tomaž Slivnik,Guest
1999,South Africa,Peter Waker,Leader
1999,South Africa,Donald Cook,Deputy leader
1999,South Africa,Lionel Hartmann,IC member
1999,South Africa,Caryn Hildegarde Hartmann,Guest
1999,Spain,Miguel Gomila Ferrando,Leader
1999,Spain,Anna Carulla,Deputy leader
1999,Sri Lanka,Krishantha Jayaratne,Leader
1999,Sri Lanka,Gihan Wikramanayake,Deputy leader
1999,Sweden,Håkan Strömberg,Leader
1999,Sweden,David Rydh,Deputy leader
1999,Switzerland,Peter Strebel,Leader
1999,Switzerland,Roland Ulber,Deputy leader
1999,Taiwan,Greg Lee,Leader
1999,Taiwan,Chuen-Tsat Sun,Deputy leader
1999,Taiwan,Chiou-Shann Fuh,Guest
1999,Taiwan,Rong-Guey Ho,Guest
1999,Thailand,Yuen Poovarawan,Leader
1999,Thailand,Putchong Othayopas,Deputy leader
1999,Thailand,Atichai Tonkunya,Observer
1999,Thailand,Nipon Suppasri,Observer
1999,Thailand,Punpiti Piamsa-Nga,Observer
1999,Thailand,Suthon Ninhut,Observer
1999,Trinidad and Tobago,Noel Kalicharan,Leader
1999,Türkiye,Bilge Say,Leader
1999,Türkiye,Fehmi Tokay,Leader
1999,Türkiye,Orkunt Ediz Özkaya,Deputy leader
1999,Türkiye,Göktürk Üçoluk ,Chairman
1999,Türkiye,İsmail Hakkı Toroslu,ISC member
1999,Turkmenistan,Ismail Altinbilek,Observer
1999,Ukraine,Andrii Gurzhii,Leader
1999,Ukraine,Vitalii Bondarenko,Deputy leader
1999,Ukraine,Ihor Kostyuk,Guest
1999,United Kingdom,Antony Rix,Leader
1999,United Kingdom,Fieke Dekkers,Deputy leader
1999,United Kingdom,Richard Forster,IC member
