Year,Country,Name,Role
2015,Argentina,Mariano Maluf,Leader
2015,Argentina,Agustín Santiago Gutiérrez,Deputy leader
2015,Armenia,Vahram Dumanyan,Leader
2015,Armenia,Armen Andreasyan,Deputy leader
2015,Armenia,Gevorg Dumanyan,Guest
2015,Armenia,Karen Hambardzumyan,Guest
2015,Australia,Robert Newey,Leader
2015,Australia,Joshua Lau,Deputy leader
2015,Australia,Benjamin Burton,IC member
2015,Australia,Bernard Blackham,ITC member
2015,Australia,Helen Krig,Guest
2015,Austria,Helmut Achleitner,Leader
2015,Austria,Johann Fellner,Deputy leader
2015,Azerbaijan,Ramin Mahmudzade,Leader
2015,Azerbaijan,Ismayil Sadigov,Deputy leader
2015,Azerbaijan,Aygun Azizova,Guest
2015,Azerbaijan,Fuad Garayev,Guest
2015,Azerbaijan,Ilkin Musaev,Guest
2015,Azerbaijan,Rahila Aliyarzade,Guest
2015,Bangladesh,Mohammad Kaykobad,Leader
2015,Bangladesh,Mohammed Eunus Ali,Deputy leader
2015,Belarus,Irina Kirinovich,Leader
2015,Belarus,Aliaksei Tolstsikau,Deputy leader
2015,Belarus,Aliaksandr Kandratovich,Guest
2015,Belarus,Aliaksei Sikorski,Guest
2015,Belgium,Damien Leroy,Leader
2015,Belgium,Joachim Ganseman,Deputy leader
2015,Bolivia,Gustavo Tantani Mamani,Leader
2015,Bolivia,Mauricio Wilde Monasterios,Deputy leader
2015,Bosnia and Herzegovina,Haris Gavranović,Leader
2015,Bosnia and Herzegovina,Rijad Muminović,Deputy leader
2015,Brazil,Cláudio Leonardo Lucchesi,Leader
2015,Brazil,Daniel Tressoldi,Deputy leader
2015,Brazil,Ricardo Anido,IC member
2015,Bulgaria,Emil Kelevedjiev,Leader
2015,Bulgaria,Mladen Denev  Manev,Deputy leader
2015,Bulgaria,Krassimir Manev,President
2015,Canada,Troy Vasiga,Leader
2015,Canada,John-Paul Pretti,Deputy leader
2015,Chile,Jorge Perez,Leader
2015,Chile,Nicolás Lehmann,Deputy leader
2015,China,Hui Sun,Leader
2015,China,Hong Wang,Deputy leader
2015,China,Heli Chen,Guest
2015,China,Miao Zhou,Guest
2015,China,Yunhua Qu,Guest
2015,China,Zide Du,Guest
2015,Colombia,Mario Cruz,Leader
2015,Colombia,Diego Niquefa,Deputy leader
2015,Croatia,Krešimir Malnar,Leader
2015,Croatia,Gustav Matula,Deputy leader
2015,Cuba,Francisco José Hernández González,Leader
2015,Cyprus,Pavlos Pavlikas,Leader
2015,Cyprus,Panayiotis Eracleous,Deputy leader
2015,Czech Republic,Pavel Töpfer,Leader
2015,Czech Republic,Tomáš Pitner,Deputy leader
2015,Czech Republic,Martin Mareš,ISC member
2015,Denmark,Jørgen E. G. Nielsen,Leader
2015,Denmark,Knud Fjeldsted,Deputy leader
2015,Denmark,Dora Dimitrova,Guest
2015,Denmark,Ellen Krogh,Guest
2015,Dominican Republic,Pedro Manuel Taveras Nuñez,Leader
2015,Dominican Republic,Roberto Carlos Abreu Diaz,Deputy leader
2015,Egypt,Gamal AbdElMagid,Leader
2015,Egypt,Eslam Wageed,IC member
2015,Estonia,Targo Tennisberg,Leader
2015,Estonia,Konstantin Tretyakov,Deputy leader
2015,Finland,Antti Laaksonen,Leader
2015,Finland,Topi Talvitie,Deputy leader
2015,France,Mathias Hiron,Leader
2015,France,Ismael Belghiti,Deputy leader
2015,Georgia,George Mandaria,Leader
2015,Georgia,Zaza Gamezardashvili,Deputy leader
2015,Georgia,Guram Kotolashvili,Guest
2015,Germany,Wolfgang Pohl,Leader
2015,Germany,Patrick Klitzke,Deputy leader
2015,Greece,Michael Chatzopoulos,Leader
2015,Greece,Nikolaos S. Papaspyrou,Deputy leader
2015,"Hong Kong, China",Ying-shun Liu,Leader
2015,"Hong Kong, China",Law Yan Ming Billy,Deputy leader
2015,Hungary,Gyula Horváth,Leader
2015,Hungary,László Zsakó,Deputy leader
2015,India,Madhavan Mukund,Leader
2015,India,Narayan Kumar Krishnan,Deputy leader
2015,Indonesia,Rully Soelaiman,Leader
2015,Indonesia,Julio Adisantoso,Deputy leader
2015,Indonesia,Ashar Fuadi,Guest
2015,Indonesia,Hastuti Mustikaningsih,Guest
2015,Indonesia,Inggriani Liem,Guest
2015,Iran,Mohammad Mahdian,Leader
2015,Iran,Saeed Ilchi Ghazan,Deputy leader
2015,Iran,Mohammad Ali Abam,IC member
2015,Iran,Hamid Zarrabi-Zadeh,ISC member
2015,Iran,Kian Mirjalali,ITC member
2015,Iran,Behzad Sowlatian Mashgani,Guest
2015,Iran,Hassan Mahdikhani,Guest
2015,Iran,Hossein Roohi,Guest
2015,Ireland,Gary Conway,Leader
2015,Ireland,Ximo Planells,Deputy leader
2015,Israel,Jonathan Mosheiff,Leader
2015,Israel,Nir Lavee,Deputy leader
2015,Israel,David Ginat,Guest
2015,Italy,Giorgio Audrito,Leader
2015,Italy,William Di Luigi,Deputy leader
2015,Italy,Stefano Maggiolo,ITC member
2015,Italy,Flavia Poma,Guest
2015,Japan,Kazuhiro Hosaka,Leader
2015,Japan,Shogo Murai,Deputy leader
2015,Japan,Seiichi Tani,IC member
2015,Japan,Ikumi Hide,Guest
2015,Japan,Kento Nikaido,Guest
2015,Jordan,Mowaffaq Hanandeh,Leader
2015,Jordan,Ashraf Ahmad,Deputy leader
2015,Kazakhstan,Yerzhan Utkelbayev,Leader
2015,Kazakhstan,Lyailya Yelekenova,Deputy leader
2015,Kazakhstan,Bakhyt Matkarimov,Chairman
2015,Kyrgyzstan,Zamira Makieva,Leader
2015,Kyrgyzstan,Guldana Stamkulova,Deputy leader
2015,Latvia,Rihards Opmanis,Leader
2015,Latvia,Mārtiņš Opmanis,IC member
2015,Lithuania,Jūratė Skūpienė,Leader
2015,Lithuania,Vytis Banaitis,Deputy leader
2015,Lithuania,Valentina Dagienė,IC member
2015,Luxembourg,Jean Reckinger,Leader
2015,Luxembourg,Jean-Marie Jans,Deputy leader
2015,"Macao, China",Teng Lam,Leader
2015,"Macao, China",Kuo Meng Sun,Deputy leader
2015,Malaysia,Shien Jin Ong,Leader
2015,Malaysia,Mark Chang,Deputy leader
2015,Mexico,Enrique Lira Vargas,Leader
2015,Mexico,Marcel Stöckli Contreras,Deputy leader
2015,Mexico,Arturo Cepeda Salinas,Guest
2015,Mexico,Luis Citalán,Guest
2015,Mexico,Luis Hector Chavez Freire,Guest
2015,Mexico,Martín Ibarra Romero,Guest
2015,Mexico,Refugio López,Guest
2015,Moldova,Angela Prisacaru,Leader
2015,Moldova,Sergiu Corlat,Deputy leader
2015,Mongolia,Tsedevsuren Danzan,Leader
2015,Mongolia,Khuder Altangerel,Deputy leader
2015,Montenegro,Goran Šuković,Leader
2015,Netherlands,Eljakim Schrijvers,Leader
2015,Netherlands,Ries Kock,Deputy leader
2015,Netherlands,Eljakim Schrijvers,Treasurer
2015,Netherlands,Marcel Vlastuin,Guest
2015,New Zealand,Ronald Ping Man Chan,Leader
2015,New Zealand,Margot Phillipps,Executive Director
2015,Nigeria,Oluchi Jennie Bamidele,Leader
2015,Nigeria,Victor Zwalmak Rimdans,Deputy leader
2015,Nigeria,Adeniyi Timothy Koya,Guest
2015,Nigeria,Adewale Roland Solarin,Guest
2015,Nigeria,Chibuzor Amarikwa,Guest
2015,Nigeria,Chigozie Henry Aniobi,Guest
2015,Nigeria,Christopher Ogbonna Okeke,Guest
2015,Nigeria,Hyellafuti Simon Adamu,Guest
2015,Nigeria,Isaac Olayinka Adejube,Guest
2015,Nigeria,Isaac Oluwasogo Fayemi,Guest
2015,Nigeria,John Olowojoba Ebiaku,Guest
2015,Nigeria,Kaka Salisu,Guest
2015,Nigeria,Olalere Raheem Abdulsalam,Guest
2015,Nigeria,Peter Onumanyi,Guest
2015,North Macedonia,Mile Jovanov,Leader
2015,North Macedonia,Emil Stankov,Deputy leader
2015,Norway,Geir Engdahl,Leader
2015,Norway,David Narum,Deputy leader
2015,Philippines,Martin Gomez,Leader
2015,Philippines,Kevin Charles Atienza,Deputy leader
2015,Philippines,Josephine Asuncion,Guest
2015,Philippines,Leodegario III Orpilla,Guest
2015,Philippines,Marilyn Arcilla,Guest
2015,Philippines,Payton Robin Yao,Guest
2015,Poland,Krzysztof Diks,Leader
2015,Poland,Lech Duraj,Deputy leader
2015,Poland,Jakub Łącki,ISC member
2015,Poland,Judyta Łącka,Guest
2015,Poland,Eryk Kopczyński,Invited guest
2015,Portugal,Pedro Ribeiro,Leader
2015,Portugal,Miguel Ferreira,Deputy leader
2015,Republic of Korea,Sung Ryul Kim,Leader
2015,Republic of Korea,Inbok Lee,Deputy leader
2015,Republic of Korea,Hongju Kim,Guest
2015,Republic of Korea,Jae Hoon Kim,Guest
2015,Republic of Korea,Jin Wook Kim,Guest
2015,Republic of Korea,Myungwoo Chun,Guest
2015,Republic of Korea,SeongHwan Lim,Guest
2015,Romania,Adrian Panaete,Leader
2015,Romania,Marius Nicoli,Deputy leader
2015,Russia,Marina Tsvetkova,Leader
2015,Russia,Pavel Kunyavskiy,Deputy leader
2015,Russia,Vladimir Kiryukhin,IC member
2015,Russia,Pavel Mavrin,ISC member
2015,Russia,Sergei Masiagin,ITC member
2015,Russia,Andrey Gavrilov,Guest
2015,Russia,Ayrat Khasyanov,Guest
2015,Russia,Elena Fefilova,Guest
2015,Russia,Ildar Mukhametov,Guest
2015,Russia,Ilshat Gafurov,Guest
2015,Russia,Ilshat Safiulin,Guest
2015,Russia,Leyla Mukhtarova,Guest
2015,Russia,Lidia Perovskaya,Guest
2015,Russia,Liudmila Nugumanova,Guest
2015,Russia,Nadezda Sulimova,Guest
2015,Russia,Nina Sveshnikova,Guest
2015,Russia,Olga Kornienko,Guest
2015,Russia,Pavel Sergomanov,Guest
2015,Russia,Tamara Fedorova,Guest
2015,Russia,Tatiana Kamaletdinova,Guest
2015,Russia,Timerbulat Samerkhanov,Guest
2015,Russia,Yuriy Dedenev,Guest
2015,Russia,Yury Nurmeev,Guest
2015,Serbia,Marko Savić,Leader
2015,Serbia,Dimitrije Dimić,Deputy leader
2015,Singapore,Steven Halim,Leader
2015,Singapore,Wai Liang Lai,Deputy leader
2015,Singapore,Da Li,Guest
2015,Singapore,Meng Ai Png,Guest
2015,Singapore,Sun Teck Tan,Guest
2015,Singapore,Tet Sen Howe,Guest
2015,Slovakia,Gabriela Andrejková,Leader
2015,Slovakia,Michal Anderle,Deputy leader
2015,Slovakia,Michal Forišek,ISC member
2015,Slovenia,Darko Pevec,Leader
2015,Slovenia,Vid Kocijan,Deputy leader
2015,South Africa,Sean Wentzel,Leader
2015,South Africa,Robert Spencer,Deputy leader
2015,Spain,Joan Alemany Flos,Leader
2015,Spain,Lander Ramos Garrido,Deputy leader
2015,Sri Lanka,Chethiya Abeysinghe,Leader
2015,Sri Lanka,Varuna Parinda Jayasiri,Deputy leader
2015,Sweden,Arash Rouhani,Leader
2015,Sweden,Simon Lindholm,Deputy leader
2015,Sweden,Fredrik Niemelä,ITC member
2015,Switzerland,Daniel Graf,Leader
2015,Switzerland,Timon Gehr,Deputy leader
2015,Switzerland,Monika Steinová,Invited guest
2015,Syria,Emad Alazeb,Leader
2015,Syria,Ammar Alnahhas,Deputy leader
2015,Syria,Jafar Alkheir,Guest
2015,Taiwan,Chun-Fa Chang,Leader
2015,Taiwan,Kai-Hsiang Yang,Deputy leader
2015,Taiwan,Greg Lee,IC member
2015,Taiwan,Pang-Feng Liu,ISC member
2015,Taiwan,Ling-Jyh Chen,ITC member
2015,Taiwan,Cheng-Chih Wu,Guest
2015,Taiwan,Shu-Yi Huang,Guest
2015,Taiwan,Yi-Fen Chen,Guest
2015,Taiwan,Pang-Yi Wu,Invited guest
2015,Tajikistan,Alexandr Ismatov,Leader
2015,Tajikistan,Eraj Jumayev,Deputy leader
2015,Thailand,Jittat Fakcharoenphol,Leader
2015,Thailand,Thanawin Rakthanmanon,Deputy leader
2015,Thailand,Kanat Tangwongsan,Guest
2015,Thailand,Santhana Chaimontree,Guest
2015,Thailand,Wachirapan Thongwichit,Guest
2015,Tunisia,Dorsaf Benna,Leader
2015,Tunisia,Karim Jouini,Deputy leader
2015,Türkiye,Osman Abul,Leader
2015,Türkiye,Tolga Can,Deputy leader
2015,Türkiye,Atilla Mert Can,Guest
2015,Türkiye,Aysu Betin-Can,Guest
2015,Türkiye,Muhammed Fatih Demirci,Guest
2015,Türkiye,Mustafa Çufalı,Guest
2015,Türkiye,Umut Mete Can,Guest
2015,Turkmenistan,Merdan Kaibov,Leader
2015,Turkmenistan,Kuanysh Pirnepesov,Deputy leader
2015,Ukraine,Vitalii Bondarenko,Leader
2015,Ukraine,Andrii Pankov,Deputy leader
2015,United Kingdom,Fieke Dekkers,Leader
2015,United Kingdom,Robin Elliott,Deputy leader
2015,United States of America,Brian Dean,Leader
2015,United States of America,Mark Gordon,Deputy leader
2015,United States of America,Richard Peng,ISC member
2015,United States of America,Amy Quispe,Guest
2015,United States of America,Chris Peterson,Guest
2015,United States of America,Daniel Beale,Guest
2015,Uzbekistan,Bahodir Gulmatov,Leader
2015,Uzbekistan,Bekhzod Soliev,Deputy leader
2015,Venezuela,Jose Trinidad Trino Gomez Barreto,Leader
2015,Venezuela,Emilio Nazareth Tirado Oviedo,Deputy leader
2015,Venezuela,Ricardo Jose Tovar Montero,Guest
2015,Vietnam,Son Bao Pham,Leader
2015,Vietnam,Duc Nghia Nguyen,Deputy leader
2015,Vietnam,Hung Thanh Nguyen,Guest
2015,Vietnam,Ngoc Khanh Nguyen,Guest
2015,Vietnam,Nhung Sam Thi Nhu,Guest
2015,Vietnam,Thuan Do Phan,Guest
2015,Vietnam,Van Luong Pham,Guest
