Year,Country,Name,Role
2014,Albania,Iljir Capuni,Leader
2014,Albania,Ibrahim Mesecan,Deputy leader
2014,Argentina,Mariano Maluf,Leader
2014,Argentina,Hugo Ryckeboer,Deputy leader
2014,Armenia,Vahram Dumanyan,Leader
2014,Armenia,Armen Andreasyan,Deputy leader
2014,Australia,Jarrah Lacko,Leader
2014,Australia,Robert Newey,Deputy leader
2014,Australia,Benjamin Burton,ISC member
2014,Australia,Leon Sterling,Guest
2014,Austria,Gerald Futschek,Leader
2014,Austria,Markus Hasenöhrl,Deputy leader
2014,Azerbaijan,Ramin Mahmudzade,Leader
2014,Azerbaijan,Ismayil Sadigov,Deputy leader
2014,Azerbaijan,Emin Amrullayev,Guest
2014,Bangladesh,Hasnain Heickal,Leader
2014,Bangladesh,Mohammad Kaykobad,Deputy leader
2014,Belarus,Irina Kirinovich,Leader
2014,Belarus,Aliaksei Tolstsikau,Deputy leader
2014,Belarus,Aliaksandr Kandratovich,Guest
2014,Belarus,Aliaksei Sikorski,Guest
2014,Belarus,Sergey Kulik,Guest
2014,Belgium,Damien Leroy,Leader
2014,Belgium,Joachim Ganseman,Deputy leader
2014,Belgium,Jérémy Wautelet,Guest
2014,Belgium,Sébastien Combéfis,Guest
2014,Bolivia,Simeon Efrain Torrejon Tejerina,Leader
2014,Bolivia,Alvaro Rojas Alcon,Deputy leader
2014,Bosnia and Herzegovina,Haris Gavranović,Leader
2014,Bosnia and Herzegovina,Nebojša Bovan,Deputy leader
2014,Brazil,Cláudio Leonardo Lucchesi,Leader
2014,Brazil,Felipe Abella Cavalcante Mendonça de Souza,Deputy leader
2014,Brazil,Ricardo Anido,IC member
2014,Bulgaria,Emil Kelevedjiev,Leader
2014,Bulgaria,Krassimir Manev,Deputy leader
2014,Canada,Troy Vasiga,Leader
2014,Canada,John-Paul Pretti,Deputy leader
2014,Chile,Jorge Perez,Leader
2014,Chile,Nicolás Lehmann,Deputy leader
2014,China,Hong Wang,Leader
2014,China,Qiyang Zhao,Deputy leader
2014,China,Baolin Yin,Guest
2014,China,Zide Du,Guest
2014,Colombia,Mario Cruz,Leader
2014,Colombia,Rafael Niquefa,Deputy leader
2014,Croatia,Aron Bohr,Leader
2014,Croatia,Marin Tomic,Deputy leader
2014,Croatia,Krešimir Malnar,IC member
2014,Cuba,Francisco José Hernández González,Leader
2014,Cyprus,Michalakis Tortouris,Leader
2014,Cyprus,Georgios Michael,Deputy leader
2014,Cyprus,Olga Ttofari,Guest
2014,Czech Republic,Pavel Töpfer,Leader
2014,Czech Republic,Filip Hlásek,Deputy leader
2014,Czech Republic,Martin Mareš,ISC member
2014,Denmark,Jørgen E. G. Nielsen,Leader
2014,Denmark,Knud Fjeldsted,Deputy leader
2014,Dominican Republic,Pedro Manuel Taveras Nuñez,Observer
