Year,Country,Name,Role
2021,Argentina,Mariano Maluf,Leader
2021,Argentina,Agustín Santiago Gutiérrez,Deputy leader
2021,Argentina,Carlos Miguel Soto,Guest
2021,Armenia,Armen Andreasyan,Leader
2021,Armenia,Levon Muradyan,Deputy leader
2021,Armenia,Hamlet Mikaelyan,Guest
2021,Armenia,Karen Mkrtumyan,Guest
2021,Armenia,Samvel Andreasyan,Guest
2021,Armenia,Vahagn Altunyan,Guest
2021,Australia,Kevin Tran,Leader
2021,Australia,Angus Ritossa,Deputy leader
2021,Australia,Benjamin Burton,IC member
2021,Austria,Helmut Achleitner,Leader
2021,Austria,Johann Fellner,Deputy leader
2021,Azerbaijan,Rashad Mammadov,Leader
2021,Azerbaijan,Ibrahim Taghizade,Deputy leader
2021,Azerbaijan,Araz Yusubov,IC member
2021,Azerbaijan,Huseyn Hajiyev,Guest
2021,Bangladesh,Mohammad Sohel Rahman,Leader
2021,Bangladesh,Mohammad Kaykobad,Deputy leader
2021,Bangladesh,Mahboob Qaosar,Guest
2021,Bangladesh,Md Iqbal Aziz Khan,Guest
2021,Bangladesh,Rezwan Arefin,Guest
2021,Bangladesh,Samsul Arifin,Guest
2021,Bangladesh,Tasmeem Reza,Guest
2021,Belarus,Konstantin Vilchevski,Leader
2021,Belarus,Alexander Buslavsky,Deputy leader
2021,Belgium,Damien Leroy,Leader
2021,Belgium,Bruno Ploumhans,Deputy leader
2021,Bolivia,Willmar Pimentel,Leader
2021,Bolivia,Jhonatan Castro,Deputy leader
2021,Bolivia,Diego Alejandro Angulo Ramirez,Guest
2021,Bolivia,Miguel Angel Ortiz Merida,Guest
2021,Bolivia,Oscar Carvajal,Guest
2021,Bolivia,Rodolfo Catunta,Guest
2021,Bolivia,Rodrigo Salguero,Guest
2021,Bosnia and Herzegovina,Haris Gavranović,Leader
2021,Bosnia and Herzegovina,Adnan Šalaka,Deputy leader
2021,Brazil,Ricardo Anido,Leader
2021,Brazil,André Amaral de Sousa,Deputy leader
2021,Bulgaria,Emil Kelevedjiev,Leader
2021,Bulgaria,Iliyan Yordanov,Deputy leader
2021,Canada,Troy Vasiga,Leader
2021,Canada,John-Paul Pretti,Deputy leader
2021,Chile,Catherine Espinoza,Leader
2021,Chile,Javier Marinkovic,Deputy leader
2021,Chile,Nicolás Lehmann,Guest
2021,China,Wentao Han,Leader
2021,China,Xin Zhao,Deputy leader
2021,China,Hong Wang,Guest
2021,China,Miao Zhou,Guest
2021,China,Qiyang Zhao,Guest
2021,China,Tingting Jiang,Guest
2021,China,Wenyuan Gao,Guest
2021,China,Zide Du,Guest
2021,Colombia,Mario Cruz,Leader
2021,Colombia,Roger Trujillo,Deputy leader
2021,Croatia,Krešimir Malnar,Leader
2021,Croatia,Ivan Paljak,Deputy leader
2021,Croatia,Matej Ferenčević,Guest
2021,Croatia,Paula Vidas,Guest
2021,Cuba,Leonardo Cardona Luque,Leader
2021,Cuba,Francisco José Hernández González,Deputy leader
2021,Cuba,Antonio Bouza Pérez,Guest
2021,Cyprus,Panayiotis Eracleous,Leader
2021,Cyprus,Andronikos Charalampous,Deputy leader
2021,Czech Republic,Zdeněk Dvořák,Leader
2021,Czech Republic,Pavel Töpfer,Deputy leader
2021,Czech Republic,Martin Mareš,ITC member
2021,Czech Republic,Matěj Konečný,Guest
2021,Denmark,Knud Fjeldsted,Leader
2021,Denmark,Anders Roy Christiansen,Deputy leader
2021,Denmark,David Rasmussen Lolck,Guest
2021,Denmark,Markus Krabbe Larsen,Guest
2021,Dominican Republic,Roberto Carlos Abreu Diaz,Leader
2021,Dominican Republic,Pedro Manuel Taveras Nuñez,Deputy leader
2021,Ecuador,Omar Paladines,Observer
2021,Egypt,Haytham Hassan,Leader
2021,Egypt,Mahmoud Badawy,Deputy leader
2021,Egypt,Eslam Wageed,IC member
2021,Egypt,Mohamed Ehab,Guest
2021,Egypt,Wael Ewida,Guest
2021,El Salvador,Humberto Alfonso Sermeño Villalta,Leader
2021,El Salvador,José Rodrigo Santamaría Castro,Deputy leader
2021,El Salvador,Carlos Alvarez,Guest
2021,El Salvador,Rocío Marleny Landaverde Solís,Guest
2021,Estonia,Sandra Schumann,Leader
2021,Estonia,Targo Tennisberg,Deputy leader
2021,Estonia,Heno Ivanov,Guest
2021,Estonia,Tähvend Uustalu,Guest
2021,Finland,Heikki Hyyrö,Leader
2021,Finland,Antti Röyskö,Deputy leader
2021,France,Mathias Hiron,Leader
2021,France,Simon Mauras,Deputy leader
2021,France,Jules Pondard,Guest
2021,France,Louis Jachiet,Guest
2021,Georgia,George Mandaria,Leader
2021,Georgia,Zaza Gamezardashvili,Deputy leader
2021,Georgia,Guram Kotolashvili,Guest
2021,Georgia,Nicholas Jimsheleishvili,Guest
2021,Germany,Wolfgang Pohl,Leader
2021,Germany,Philip Lukert,Deputy leader
2021,Germany,Julian Baldus,Guest
2021,Germany,Philip Wellnitz,Guest
2021,Greece,Michael Chatzopoulos,Leader
2021,Greece,Nikolaos S. Papaspyrou,Deputy leader
2021,"Hong Kong, China",Wing Ki Ngan,Leader
2021,"Hong Kong, China",Hau Chung Oa Yang,Deputy leader
2021,"Hong Kong, China",Chi Yung Lau,Guest
2021,"Hong Kong, China",Pak Yeung So,Guest
2021,"Hong Kong, China",Tsz Chun Wong,Guest
2021,Hungary,Gyula Horváth,Leader
2021,Hungary,László Nikházy,Deputy leader
2021,Hungary,Ágnes Erdősné Németh,IC member
2021,Hungary,Zsolt Németh,ISC member
2021,Hungary,László Nyúl,ITC member
2021,Iceland,Bjarki Ágúst Guðmundsson,Leader
2021,Iceland,Bernhard Linn Hilmarsson,Deputy leader
2021,India,Madhavan Mukund,Leader
2021,India,Narayan Kumar Krishnan,Deputy leader
2021,Indonesia,Felix Jingga,Leader
2021,Indonesia,Yehezkiel Raymundo Theodoroes,Deputy leader
2021,Indonesia,Yugo Kartono Isal,IC member
2021,Indonesia,Jonathan Irvin Gunawan,ISC member
2021,Indonesia,Ashar Fuadi,ITC member
2021,Indonesia,Brian Marshal,Guest
2021,Indonesia,Dewi Yuliani,Guest
2021,Indonesia,Fauzan Joko Sularto,Guest
2021,Indonesia,Lung Sin Kwee,Guest
2021,Indonesia,Mushthofa,Guest
2021,Indonesia,Steven Wijaya,Guest
2021,Indonesia,Wahyono,Guest
2021,Iran,Hamid Zarrabi-Zadeh,Leader
2021,Iran,Keivan Rezaei,Deputy leader
2021,Iran,Ali Sharifi Zarchi,ISC member
2021,Iran,Ali Shafiee,Guest
2021,Iran,Bahram Madadi,Guest
2021,Iran,Iman Gholami,Guest
2021,Iran,Mohammad Ali Abam,Guest
2021,Iran,Mohammad Mahdi Shokri,Guest
2021,Iran,Peyman Jabbarzade Ganje,Guest
2021,Ireland,Stefan-Bogdan Marcu,Leader
2021,Ireland,Colm Ó hIcí,Deputy leader
2021,Israel,Ron Ryvchin,Leader
2021,Israel,Omer Ronen,Deputy leader
2021,Israel,Avshalom Elmalech,Guest
2021,Israel,Daniel Agassy,Guest
2021,Israel,Noam Licht,Guest
2021,Israel,Ronit Stein,Guest
