Name,Role
Richard Forster,President
Madhavan Mukund,Executive Director
Greg Lee,Chairman
Bakhyt Matkarimov,IC member
Eslam Wageed,IC member
Krešimir Malnar,IC member
Mārtiņš Opmanis,IC member
Mohammad Ali Abam,IC member
Ricardo Anido,IC member
Valentina Dagienė,IC member
Vladimir Kiryukhin,IC member
Ali Sharifi Zarchi,ISC member
Artem Iglikov,ISC member
Benjamin Burton,ISC member
Fredrik Niemelä,ISC member
Jakub Łącki,ISC member
Martin Mareš,ISC member
Pang-Feng Liu,ISC member
Pavel Mavrin,ISC member
