Year,Country,Name,Role
2022,Indonesia,Rico Filberto,Guest
2022,Indonesia,Steven Novaryo,Guest
2022,Indonesia,Vio Albert Ferdinand,Guest
2022,Iran,Mohammad Ali Abam,Leader
2022,Iran,Shayan Chashm Jahan,Deputy leader
2022,Iran,Hamid Zarrabi-Zadeh,ITC member
2022,Iran,Mahdi Arab Poshtkohi,Guest
2022,Iran,Kian Mirjalali,Invited guest
2022,Ireland,Andrew Nash,Leader
2022,Ireland,Stefan-Bogdan Marcu,Deputy leader
2022,Israel,Ron Ryvchin,Leader
2022,Israel,Daniel Agassy,Deputy leader
2022,Israel,Avshalom Elmalech,Guest
2022,Israel,Omer Ronen,Guest
2022,Israel,Ronit Stein,Guest
2022,Italy,Giorgio Audrito,Leader
2022,Italy,Andrea Ciprietti,Deputy leader
2022,Japan,Yuta Takaya,Leader
2022,Japan,Yasutaka Hiraki,Deputy leader
2022,Japan,Rintaro Matsuo,Guest
2022,Japan,Seiichi Tani,Guest
2022,Japan,Hirotaka Yoneda,Invited guest
2022,Japan,Masataka Yoneda,Invited guest
2022,Jordan,Mowaffaq Hanandeh,Leader
2022,Jordan,Ashraf Ahmad,Deputy leader
2022,Jordan,Ammar Odeh,Guest
2022,Kazakhstan,Temirlan Satylkhanov,Leader
2022,Kazakhstan,Temirlan Baibolov,Deputy leader
2022,Kyrgyzstan,Pavel Pankov,Leader
2022,Kyrgyzstan,Kylychbek Uraiymov,Deputy leader
2022,Latvia,Mārtiņš Opmanis,Leader
2022,Latvia,Eduards Kaļiņičenko,IC member
2022,Lithuania,Jūratė Skūpienė,Leader
2022,Lithuania,Justas Klimas,Deputy leader
2022,Lithuania,Valentina Dagienė,Invited guest
2022,Luxembourg,Luca Courte,Leader
2022,Luxembourg,Jarod Differdange,Deputy leader
2022,"Macao, China",Teng Lam,Leader
2022,"Macao, China",Kuo Meng Sun,Deputy leader
2022,"Macao, China",Kam Fu Wong,Guest
2022,Malaysia,Wei Xin Tan,Leader
2022,Malaysia,Jun Xing Go,Deputy leader
2022,Malaysia,Qing Miao,Guest
2022,Malaysia,Qiu Ping,Guest
2022,Malaysia,Yiyang Qiu,Guest
2022,Mexico,Luis Rodolfo Nájera Ramírez,Leader
2022,Mexico,Sebastian Sánchez Lara,Deputy leader
2022,Mexico,César Arturo Cepeda García,Guest
2022,Mexico,Marcel Stöckli Contreras,Guest
2022,Mexico,Arturo Cepeda Salinas,Invited guest
2022,Moldova,Sergiu Corlat,Leader
2022,Moldova,Igor Bercu,Deputy leader
2022,Mongolia,Tsedevsuren Danzan,Leader
2022,Mongolia,Usukhbaatar Dotgonvanchig,Deputy leader
2022,Mongolia,Khuder Altangerel,Guest
2022,Montenegro,Ranko Čabrilo,Leader
2022,Morocco,Anas Abou El Kalam,Leader
2022,Morocco,Moncef Mhasni,Deputy leader
2022,Morocco,Adam Benali,Guest
2022,Morocco,Diaa Alhak El Fallous,Guest
2022,Netherlands,Bouke van der Bijl,Leader
2022,Netherlands,Jelmer Sybren Firet,Deputy leader
