Year,Country,Name,Role
2008,Albania,Ilia Ninka,Leader
2008,Albania,Silvana Greca,Deputy leader
2008,Argentina,Hugo Ryckeboer,Leader
2008,Argentina,Pablo Enrique Coll,Deputy leader
2008,Argentina,Rogelio Faustino Garcia Llano,IC member
2008,Armenia,Armen Andreasyan,Leader
2008,Armenia,Eduard Piliposyan,Deputy leader
2008,Australia,Benjamin Burton,Leader
2008,Australia,Bernard Blackham,Deputy leader
2008,Australia,Leon Sterling,Invited guest
2008,Austria,Helmut Achleitner,Leader
2008,Austria,Johann Fellner,Deputy leader
2008,Azerbaijan,Ramin Mahmudzade,Leader
2008,Azerbaijan,Ismayil Sadigov,Deputy leader
2008,Bangladesh,Md Humayun Kabir,Leader
2008,Bangladesh,Mohammad Mahmudur Rahman,Deputy leader
2008,Belarus,Irina Kirinovich,Leader
2008,Belarus,Michael Dolinski,Deputy leader
2008,Bosnia and Herzegovina,Alvin Abdagić,Leader
2008,Bosnia and Herzegovina,Nada Vasiljevic,Deputy leader
2008,Brazil,Ricardo Anido,Leader
2008,Brazil,Wanderley da Silva Guimarães,Deputy leader
2008,Bulgaria,Stoyan Kapralov,Leader
2008,Bulgaria,Emil Kelevedjiev,Deputy leader
2008,Bulgaria,Krassimir Manev,IC member
2008,Bulgaria,Velin Tzanov,ISC member
2008,Bulgaria,Dimitar Mekerov,Observer
2008,Canada,Graeme David Kemkes,Leader
2008,Canada,Ian Munro,Deputy leader
2008,Canada,Troy Vasiga,IC member
2008,Canada,Gordon Cormack,ISC member
2008,Chile,Alexander Tchobanov Velkov ,Leader
2008,Chile,Ivan Anev,Deputy leader
2008,Chile,John Mauro Pereira Martinez,Guest
2008,China,Hong Wang,Leader
2008,China,Baolin Yin,Deputy leader
2008,China,Zide Du,President
2008,Colombia,Mario Cruz,Leader
2008,Colombia,Diego Diego Salas,Deputy leader
2008,Croatia,Zvonimir Bujanović,Leader
2008,Croatia,Luka Kalinovčić,Deputy leader
2008,Croatia,Ivo Šeparović,IC member
2008,Croatia,Lovro Pužar,ISC member
2008,Cuba,Raidel Marichal Aquilar,Leader
2008,Cyprus,Alexantros Kyriakides,Leader
2008,Cyprus,Neofytos Dimitriou,Deputy leader
2008,Czech Republic,Daniel Kráľ,Leader
2008,Czech Republic,Tomáš Gavenčiak,Deputy leader
2008,Czech Republic,Martin Mareš,ISC member
2008,Denmark,Jørgen E. G. Nielsen,Leader
2008,Denmark,Knud Fjeldsted,Deputy leader
2008,Denmark,Dora Dimitrova,Guest
2008,Egypt,Mohamed El Sherif,Leader
2008,Egypt,Mohamed Youssef,Chairman
2008,Egypt,Ossama Mohamed Ismail,ISC member
2008,Estonia,Ahto Truu,Leader
2008,Estonia,Heno Ivanov,Deputy leader
2008,Finland,Heikki Hyyrö,Leader
2008,Finland,Timo Poranen,Deputy leader
2008,Finland,Jari Koivisto,Executive Director
2008,France,Mathias Hiron,Leader
2008,France,Mehdi Bouaziz,Deputy leader
2008,Georgia,George Mandaria,Leader
2008,Georgia,Zaza Gamezardashvili,Deputy leader
2008,Germany,Wolfgang Pohl,Leader
2008,Germany,Christian Ebke,Deputy leader
2008,Ghana,Dorothy Allotey,Leader
2008,Ghana,Francis Dogbey,Deputy leader
2008,Greece,Michael Chatzopoulos,Leader
2008,Greece,Nikolaos S. Papaspyrou,Deputy leader
2008,"Hong Kong, China",Sze Ming Lui,Leader
2008,"Hong Kong, China",Wai Tung Chung,Deputy leader
2008,Hungary,Gyula Horváth,Leader
2008,Hungary,László Zsakó,Deputy leader
2008,India,Madhavan Mukund,Leader
2008,India,Narayan Kumar Krishnan,Deputy leader
2008,Indonesia,Suryana Setiawan,Leader
2008,Indonesia,Adi Mulyanto,Deputy leader
2008,Ireland,Charlie Michael Daly,Leader
2008,Ireland,Ciarán O'Conaire,Deputy leader
2008,Italy,Giorgio Casadei,Leader
2008,Italy,Roberto Grossi,Deputy leader
2008,Japan,Seiichi Tani,Leader
2008,Japan,Masao Hara,Deputy leader
2008,Kazakhstan,Bakhyt Matkarimov,Leader
2008,Kazakhstan,Lyailya Yelekenova,Deputy leader
2008,Kuwait,Najeebah Dashti,Leader
2008,Kuwait,Bushra Albahar,Deputy leader
2008,Kyrgyzstan,Pavel Pankov,Leader
2008,Kyrgyzstan,Timur Oruskulov,Deputy leader
2008,Latvia,Kārlis Gaņģis,Leader
2008,Latvia,Mārtiņš Opmanis,Deputy leader
2008,Lithuania,Jūratė Skūpienė,Leader
2008,Lithuania,Gintautas Dzemyda,Deputy leader
2008,Lithuania,Valentina Dagienė,IC member
2008,Luxembourg,Jean Reckinger,Leader
2008,Luxembourg,Luc Bredemus,Deputy leader
2008,"Macao, China",Teng Lam,Leader
2008,"Macao, China",Wan Hei Chan,Deputy leader
2008,Mexico,Luis Enrique Vargas Azcona,Leader
2008,Mexico,Antonio Alberto Flores Biard,Deputy leader
2008,Mexico,César Arturo Cepeda García,ISC member
2008,Mexico,Alejandro Ozymandias Cepeda Beltran,Guest
2008,Mexico,Arturo Cepeda Salinas,Guest
2008,Mexico,Félix Rafael Horta Cuadrilla,Guest
2008,Mexico,Martín Ibarra Romero,Guest
2008,Moldova,Anatol Gremalschi,Leader
2008,Mongolia,Choijoovaanchig Lkhachin,Leader
2008,Mongolia,Khuder Altangerel,Deputy leader
2008,Netherlands,Marcel Vlastuin,Leader
2008,Netherlands,Willem van der Vegt,Deputy leader
2008,Netherlands,Eljakim Schrijvers,IC member
2008,Netherlands,Ries Kock,Guest
2008,New Zealand,Margot Phillipps,Leader
2008,New Zealand,Tobias Thierer,Deputy leader
2008,Nigeria,Samson Olatunji Ale,Leader
2008,Nigeria,John Olowojoba Ebiaku,Deputy leader
2008,North Macedonia,Mile Jovanov,Leader
2008,North Macedonia,Ana Madevska Bogdanova,Deputy leader
2008,North Macedonia,Metodija Jancheski,IC member
2008,Poland,Jakub Radoszewski,Leader
2008,Poland,Tomasz Kulczyński,Deputy leader
2008,Poland,Marcin Kubica,ISC member
2008,Portugal,Pedro Guerreiro,Leader
2008,Portugal,Pedro Ribeiro,Deputy leader
2008,Republic of Korea,Dong Yoon Kim,Leader
2008,Republic of Korea,Tae Cheon Yang,Deputy leader
2008,Romania,Emanuela Cerchez,Leader
2008,Romania,Mugurel-Ionut Andreica,Deputy leader
2008,Russia,Vladimir Kiryukhin,Leader
2008,Russia,Andrei Lopatin,Deputy leader
2008,Russia,Marina Tsvetkova,Guest
2008,Serbia,Dragan Urošević,Leader
2008,Serbia,Aleksandar Milovan Ilić,Deputy leader
2008,Singapore,Ho Wai Kin,Leader
2008,Singapore,Melvin Zhang Zhiyong,Deputy leader
2008,Slovakia,Gabriela Andrejková,Leader
2008,Slovakia,Juliana Šišková,Deputy leader
2008,Slovakia,Michal Forišek,ISC member
2008,Slovenia,Roman Dorn,Leader
2008,Slovenia,Jelko Urbančič,Deputy leader
2008,South Africa,Peter Waker,Leader
