Name,Role
Lionel Hartmann,Executive Director
Krzysztof Diks,Chairman
Arturo Cepeda Salinas,IC member
Don Piele,IC member
Ha Jine Kimn,IC member
Ivo Šeparović,IC member
Mohamed Youssef,IC member
Ossama Mohamed Ismail,IC member
Ricardo Anido,IC member
Spyros Bakogiannis,IC member
Wolfgang Pohl,IC member
Yasser M. Abdel Ghany,IC member
César Arturo Cepeda García,ISC member
Gordon Cormack,ISC member
İsmail Hakkı Toroslu,ISC member
Jyrki Nummenmaa,ISC member
Krzysztof Ciebiera,ISC member
Krzysztof Stencel,ISC member
Luis Cruz Romo,ISC member
Marcin Kubica,ISC member
Michael Chatzopoulos,ISC member
Tom Verhoeff,ISC member
