Year,Country,Name,Role
1992,Argentina,Hugo Ryckeboer,Deputy leader
1992,Argentina,Alicia Bañuelos,IC member
1992,Argentina,Amalia Bañuelos,Guest
1992,Argentina,Mario Julio Bensadon,Guest
1992,Argentina,Sergio Porter,Guest
1992,Australia,Ian Penney,Leader
1992,Austria,Karl Josef Fuchs,Leader
1992,Belarus,Emiliya Ratobylskaya,Deputy leader
1992,Belarus,Vladimir Kotov,IC member
1992,Belgium,Yvan Rooseleer,Leader
1992,Belgium,Roland Van Dyck,Deputy leader
1992,Belgium,Katrien Rooseler,Guest
1992,Belgium,Kristel Prime,Guest
1992,Belgium,Mrs DeSchryver,Guest
1992,Bulgaria,Ognian Gavrailov,Deputy leader
1992,Bulgaria,Pavel Azalov,IC member
1992,China,Wenhu Wu,Leader
1992,China,Hongxi Xue,Deputy leader
1992,China,Qiyu Ling,Guest
1992,Colombia,Mario Cruz,Leader
1992,Cuba,Alfredo Oquendo Torriente,Leader
1992,Cuba,Maria Mercedes Mateu Trujillo,Deputy leader
1992,Cyprus,Michael Hadjicharalambo,Leader
1992,Cyprus,Panicos Masouras,Deputy leader
1992,Czechoslovakia,Václav Sedláček,Leader
1992,Czechoslovakia,Richard Nemec   ,Deputy leader
1992,Denmark,Kirsten Nielsen,Guest
1992,Denmark,Lasse Nielsen,Guest
1992,Denmark,Mikkel Nielsen,Guest
1992,Denmark,Jørgen E. G. Nielsen,Observer
1992,Estonia,Rein Prank,Leader
1992,Estonia,Indrek Jentson,Deputy leader
1992,Finland,Otto Nurmi,Leader
1992,Finland,Jukka Hirvonen,Deputy leader
1992,Gabon,Gabriel Massala,Leader
1992,Gabon,Jerome Bisse Ongaye,Deputy leader
1992,Germany,Michael Fothe,Leader
1992,Germany,Vera Reineke,Deputy leader
1992,Germany,Peter Heyderhoff,Chairman
1992,Germany,Peter Widmayer,Chairman
1992,Greece,Spyros Bakogiannis,Leader
1992,Greece,Catherine Georgopoulou      ,Deputy leader
1992,Greece,Christos Kilias,IC member
1992,"Hong Kong, China",Shiu-Bong Teng,Leader
1992,"Hong Kong, China",Hing Lam Chan,Deputy leader
1992,"Hong Kong, China",Wai-Ming Ronny Yung,Guest
1992,Hungary,Balázs Reé,Deputy leader
1992,Hungary,Péter Hanák,IC member
1992,Iran,Mohammad Ghodsi,Leader
1992,Iran,Yahya Tabesh,Deputy leader
1992,Italy,Maria Matarazzo,Leader
1992,Italy,Margherita Iollo,Deputy leader
1992,Italy,Daniela Ille,Guest
1992,Italy,Giuseppe Mastronardi       ,Guest
1992,Kuwait,Makki Alkhabbaz,Leader
1992,Kuwait,Abdel Ghany Ahmed Mohamed,Deputy leader
1992,Kuwait,Mohammed Al Helal           ,Guest
1992,Latvia,Māris Vītiņš,Leader
1992,Latvia,Viesturs Vēzis,Deputy leader
1992,Lithuania,Gintautas Grigas,Leader
1992,Lithuania,Viktoras Dagys,Deputy leader
1992,Luxembourg,Charles Leytem,Leader
1992,Luxembourg,Daniel Weiler,Deputy leader
1992,"Macao, China",Teng Lam,Leader
1992,"Macao, China",Sai Wei Tang,Deputy leader
1992,Malta,Joseph Galea,Leader
1992,Malta,Laurence Zammit,Deputy leader
1992,Malta,Josette Galea,Guest
1992,Malta,Robert Galea,Guest
1992,Mexico,Ernesto Lupercio Lara      ,Guest
1992,Mexico,Olga Leticia Yolanda Hernández Chávez ,Observer
1992,Mongolia,Choijoovaanchig Lkhachin,Leader
1992,Mongolia,Zeneemeder Yadamjav,Deputy leader
1992,Netherlands,Cecile Crutzen,Leader
1992,Netherlands,Ries Kock,IC member
1992,Netherlands,Willem van der Vegt,Guest
1992,Poland,Stanisław Waligórski,Leader
1992,Poland,Andrzej Walat,Deputy leader
1992,Portugal,António Gonsalves,Leader
1992,Portugal,Maria Jose Duarte Pinto,Deputy leader
1992,Portugal,Maria Helen Jesus Pereira,Guest
1992,Portugal,Mr Duarte Pinto,Guest
1992,Republic of Korea,Kyung Yong Chwa,Deputy leader
1992,Republic of Korea,Ha Jine Kimn,IC member
1992,Republic of Korea,Chan Woo Bae,Guest
1992,Republic of Korea,Jik Hyun Chang,Guest
1992,Republic of Korea,Jong Oh Shin,Guest
1992,Republic of Korea,Nam Ho Lee,Guest
1992,Republic of Korea,Sang Beom Kim,Guest
1992,Republic of Korea,Waleed Alowaiyesh        ,Guest
1992,Romania,Horia Ioan Georgescu,Leader
1992,Romania,Stelian Niculescu,Deputy leader
1992,Russia,Vladimir Kiryukhin,Leader
1992,Russia,Elena Andreeva,Deputy leader
1992,Russia,Vladimir Kiryukhin,IC member
1992,Singapore,Aaron Tan Tuck Choy,Leader
1992,Singapore,Cheng Huey Teng,Deputy leader
1992,South Africa,Peter Waker,Leader
1992,South Africa,Per  Stilborg,Deputy leader
1992,Spain,Miguel Gomila Ferrando,Leader
1992,Spain,Angeles Prat Valverde,Deputy leader
1992,Sri Lanka,Thambiayah Lalkumar Chandranath,Leader
1992,Sri Lanka,Palith Rodrigo,Deputy leader
1992,Sweden,Anders Edling,Deputy leader
1992,Sweden,Håkan Strömberg,IC member
1992,Sweden,Yngve Lindberg,IC member
1992,Sweden,Anna Strömberg,Guest
1992,Switzerland,Peter Strebel,Leader
1992,Thailand,Kanchit Malaivongs,Leader
1992,Thailand,Yuen Poovarawan,Deputy leader
1992,Thailand,Naree Vongsirojkul,Guest
1992,Thailand,Pongsathor   Phandpipat        ,Guest
1992,Thailand,Prasong Lertratanawisute,Guest
1992,Thailand,Waraporn Charoenpanich,Guest
1992,Trinidad and Tobago,Claude Lutchman,Leader
1992,Trinidad and Tobago,Jassodra Samlal,Deputy leader
1992,Trinidad and Tobago,Grace Lutchman,Guest
1992,Tunisia,Rached Douari,Leader
1992,Tunisia,Abdelhafidh Abidi,Deputy leader
1992,Türkiye,Göktürk Üçoluk ,Observer
1992,Ukraine,Valery Bykov,Leader
1992,Ukraine,Victor Bardadym,Deputy leader
1992,United Kingdom,Phil Davis,Deputy leader
1992,United Kingdom,Steven Bird,IC member
1992,United States of America,Don Piele,Leader
1992,United States of America,David Datta,Deputy leader
1992,Vietnam,Dam Ho Si,Leader
1992,Vietnam,Dang Khac Nhan,Deputy leader
1992,Zimbabwe,Shaun Mumford,Observer
