Name,Role
Lionel Hartmann,Chairman
António Caleço,IC member
Don Piele,IC member
Göktürk Üçoluk ,IC member
Håkan Strömberg,IC member
Hongxi Xue,IC member
Péter Hanák,IC member
Ria van Ouwerkerk,IC member
Ries Kock,IC member
Stanisław Waligórski,IC member
Zide Du,IC member
