Year,Country,Name,Role
1995,Argentina,Alicia Bañuelos,IC member
1995,Austria,Karl Josef Fuchs,Leader
1995,Austria,Wolfgang Stormer,Deputy leader
1995,Azerbaijan,Rustam Seyfullayev,Leader
1995,Azerbaijan,Fariz Mamadov,Deputy leader
1995,Belarus,Vladimir Kotov,Leader
1995,Belarus,Emiliya Ratobylskaya,Deputy leader
1995,Bulgaria,Asen Rahnev,Leader
1995,Bulgaria,Angel Angelov,Deputy leader
1995,China,Wenhu Wu,Leader
1995,China,Hongxi Xue,Deputy leader
1995,Colombia,Mario Cruz,Leader
1995,Croatia,Ivo Šeparović,Leader
1995,Croatia,Boris Grinfeld,Deputy leader
1995,Cuba,Ernesto Bennet Rodríguez,Leader
1995,Cyprus,Panicos Masouras,Leader
1995,Cyprus,Andreas Loutsios,Deputy leader
1995,Czech Republic,Václav Sedláček,Leader
1995,Czech Republic,Pavel Töpfer,Deputy leader
1995,Denmark,Jørgen E. G. Nielsen,Leader
1995,Denmark,Knud Fjeldsted,Deputy leader
1995,Estonia,Rein Prank,Leader
1995,Estonia,Indrek Jentson,Deputy leader
1995,Finland,Jari Koivisto,Leader
1995,Finland,Jyrki Nummenmaa,Deputy leader
1995,Germany,Günter Scheu,Deputy leader
1995,Germany,Gabriele Reich,IC member
1995,Hungary,József Frigó,Leader
1995,Hungary,László Gulyás,Deputy leader
1995,Hungary,Péter Hanák,IC member
1995,Hungary,Gyula Horváth,Observer
1995,Hungary,László Zsakó,Observer
1995,Indonesia,Joko Waluyo Saputro,Leader
1995,Iran,Mohammad Ghodsi,Leader
1995,Iran,Nezamaddin Mahdavi-Amiri,Deputy leader
1995,Ireland,Charlie Michael Daly,Leader
1995,Ireland,Michael Anthony Cotter,Deputy leader
1995,Japan,Etsuro Moriya,Leader
1995,Japan,Masao Hara,Deputy leader
1995,Latvia,Māris Vītiņš,Leader
1995,Latvia,Vineta Arnicāne,Deputy leader
1995,Lithuania,Gintautas Grigas,Leader
1995,Lithuania,Viktoras Dagys,Deputy leader
1995,Luxembourg,Daniel Weiler,Leader
1995,Luxembourg,Marc Bonvini,Deputy leader
1995,"Macao, China",Teng Lam,Leader
1995,Mexico,Francisco Javier Zaragoza Martinez,Leader
1995,Mexico,Fabio Davila Ojeda,Deputy leader
1995,Netherlands,Anne Marie van Schoonderwalt,Leader
1995,Netherlands,Eljakim Schrijvers,Deputy leader
1995,Netherlands,Ries Kock,Chairman
1995,Netherlands,Ria van Ouwerkerk,IC member
1995,Netherlands,Tom Verhoeff,ISC member
1995,Netherlands,Willem van der Vegt,ISC member
1995,Poland,Stanisław Waligórski,Leader
1995,Poland,Krzysztof Stencel,Deputy leader
1995,Portugal,Pedro Guerreiro,IC member
1995,Republic of Korea,Ha Jine Kimn,IC member
1995,Romania,Adrian Constantin Atanasiu,Leader
1995,Romania,Stelian Niculescu,Deputy leader
1995,Russia,Vladimir Kiryukhin,Leader
1995,Russia,Anton Sukhanov,Deputy leader
1995,Singapore,Leong Hon Wai,Leader
1995,Singapore,Fong Ho Onn,Deputy leader
1995,Slovakia,Viera Blahova,Leader
1995,Slovakia,Gabriela Andrejková,Deputy leader
1995,South Africa,Peter Waker,Leader
1995,South Africa,Per  Stilborg,Deputy leader
1995,South Africa,Peter Waker,IC member
1995,Sri Lanka,Thambiayah Lalkumar Chandranath,Leader
1995,Sri Lanka,Ruwan Weerasighe,Deputy leader
1995,Sweden,Håkan Strömberg,IC member
1995,Sweden,Yngve Lindberg,IC member
1995,Switzerland,Peter Strebel,Leader
1995,Taiwan,Greg Lee,Leader
1995,Taiwan,Chiou-Shann Fuh,Deputy leader
1995,Taiwan,Rong-Guey Ho,Guest
1995,Thailand,Kanchit Malaivongs,IC member
1995,Ukraine,Victor Bardadym,Leader
1995,Ukraine,Vladimir Gaidarji,Deputy leader
1995,United Kingdom,Antony Rix,Leader
1995,United Kingdom,Richard Forster,Deputy leader
1995,United States of America,Don Piele,Leader
1995,United States of America,Rob Kolstad,Deputy leader
1995,United States of America,Don Piele,IC member
