Year,Country,Name,Role
2009,Albania,Ilia Ninka,Leader
2009,Albania,Endrit Xhina,Deputy leader
2009,Argentina,Hugo Ryckeboer,Leader
2009,Argentina,Pablo Enrique Coll,Deputy leader
2009,Argentina,Rogelio Faustino Garcia Llano,IC member
2009,Armenia,Armen Andreasyan,Leader
2009,Armenia,Levon Haykazyan,Deputy leader
2009,Australia,Bernard Blackham,Leader
2009,Australia,David James Greenaway,Deputy leader
2009,Australia,Peter Taylor,IC member
2009,Australia,Benjamin Burton,ISC member
2009,Austria,Helmut Achleitner,Leader
2009,Austria,Johann Fellner,Deputy leader
2009,Azerbaijan,Ramin Mahmudzade,Leader
2009,Azerbaijan,Ismayil Sadigov,Deputy leader
2009,Bangladesh,Mohammad Kaykobad,Leader
2009,Bangladesh,Muhammed Zafar Iqbal,Deputy leader
2009,Belarus,Irina Kirinovich,Leader
2009,Belarus,Michael Dolinski,Deputy leader
2009,Bosnia and Herzegovina,Haris Gavranović,Leader
2009,Bosnia and Herzegovina,Nada Vasiljevic,Deputy leader
2009,Brazil,Ricardo Anido,Leader
2009,Brazil,Wanderley da Silva Guimarães,Deputy leader
2009,Bulgaria,Bistra Evgenieva  Taneva,Leader
2009,Bulgaria,Boyko Blajev Bantchev,Leader
2009,Bulgaria,Pavlin Zdravkov  Peev,Leader
2009,Bulgaria,Katalina Petrova  Grigorova,Deputy leader
2009,Bulgaria,Mladen Denev  Manev,Deputy leader
2009,Bulgaria,Tsvetana Kostadinova  Dimitrova,Deputy leader
2009,Bulgaria,Krassimir Manev,Chairman
2009,Bulgaria,Velin Tzanov,ISC member
2009,Canada,Graeme David Kemkes,Leader
2009,Canada,Ian Munro,Deputy leader
2009,Canada,Troy Vasiga,IC member
2009,Canada,Gordon Cormack,ISC member
2009,Chile,Alexander Tchobanov Velkov ,Leader
2009,China,Wenxin Li,Leader
2009,China,Hui Sun,Deputy leader
2009,China,Zide Du,Guest
2009,Colombia,Mario Cruz,Leader
2009,Colombia,Willy Montes,Deputy leader
2009,Croatia,Ivo Šeparović,Leader
2009,Croatia,Lovro Pužar,Deputy leader
2009,Cuba,Leonardo Cardona Luque,Leader
2009,Cyprus,Neofytos Dimitriou,Leader
2009,Cyprus,Georgios Michael,Deputy leader
2009,Czech Republic,Pavel Töpfer,Leader
2009,Czech Republic,Zdeněk Dvořák,Deputy leader
2009,Czech Republic,Martin Mareš,ISC member
2009,Denmark,Jørgen E. G. Nielsen,Leader
2009,Denmark,Dora Dimitrova,Deputy leader
2009,Egypt,Mostafa Ezzat Mohamed  Elbatsh,Leader
2009,Egypt,Ahmed Magdy  Elhabashy,Deputy leader
2009,Egypt,Mohamed Youssef,IC member
2009,Egypt,Mohamed Taha,ISC member
2009,Egypt,Ossama Mohamed Ismail,ISC member
2009,Estonia,Ahto Truu,Leader
2009,Finland,Heikki Hyyrö,Leader
2009,Finland,Antti Laaksonen,Deputy leader
2009,France,Mathias Hiron,Leader
2009,France,Benjamin Butin,Deputy leader
2009,Georgia,George Mandaria,Leader
2009,Georgia,Zaza Gamezardashvili,Deputy leader
2009,Germany,Wolfgang Pohl,Leader
2009,Germany,Christian Ebke,Deputy leader
2009,Ghana,Francis Dogbey,Leader
2009,Ghana,Ama Peprah Asare,Deputy leader
2009,Greece,Michael Chatzopoulos,Leader
2009,Greece,Nikolaos S. Papaspyrou,Deputy leader
2009,"Hong Kong, China",Wing Sze Cheung,Leader
2009,"Hong Kong, China",Man Kit Leung,Deputy leader
2009,Hungary,Gyula Horváth,Leader
2009,Hungary,László Zsakó,Deputy leader
2009,India,Madhavan Mukund,Leader
2009,India,Narayan Kumar Krishnan,Deputy leader
2009,Indonesia,Suryana Setiawan,Leader
2009,Indonesia,Nur Rokhman,Deputy leader
2009,Iran,Ghassem Jaberipur,Leader
2009,Iran,Kamran Bavar,Deputy leader
2009,Iran,Amin Sadeghi,Observer
2009,Iran,Sepideh Mahabadi,Observer
2009,Ireland,Ciarán O'Conaire,Leader
2009,Ireland,Stephen Dolan,Deputy leader
2009,Israel,Oren Becker,Leader
2009,Israel,Haim Averbuch,Deputy leader
2009,Italy,Giorgio Casadei,Leader
2009,Italy,Luigi Laura,Deputy leader
2009,Italy,Benedetto Di Rienzo,IC member
2009,Italy,Stefano Maggiolo,Observer
2009,Japan,Seiichi Tani,Leader
2009,Japan,Tetsushi Ito,Deputy leader
2009,Kazakhstan,Bakhyt Matkarimov,Leader
2009,Kazakhstan,Azhar Tulepbergenovna Rakhletova,Deputy leader
2009,Kuwait,Makki Alkhabbaz,Leader
2009,Kuwait,Abdulmuhsen Abdulaziz Shehab,Deputy leader
2009,Kyrgyzstan,Pavel Pankov,Leader
2009,Kyrgyzstan,Timur Oruskulov,Deputy leader
2009,Latvia,Mārtiņš Opmanis,Leader
2009,Latvia,Artūrs Verza,Deputy leader
2009,Libya,Ali Abdulhafid Elrowayati,Leader
2009,Libya,Mohamed M Elammari,Deputy leader
2009,Lithuania,Jūratė Skūpienė,Leader
2009,Lithuania,Linas Petrauskas,Deputy leader
2009,Lithuania,Valentina Dagienė,IC member
2009,Luxembourg,Luc Bredemus,Leader
2009,Luxembourg,Haan Laurent,Deputy leader
2009,"Macao, China",Teng Lam,Leader
2009,"Macao, China",Wan Hei Chan,Deputy leader
2009,Mexico,Luis Enrique Vargas Azcona,Leader
2009,Mexico,Joemmanuel Ponce Galindo,Deputy leader
2009,Mexico,Arturo Cepeda Salinas,President
2009,Moldova,Anatol Gremalschi,Leader
2009,Moldova,Viorel Afteni,Deputy leader
2009,Mongolia,Choijoovaanchig Lkhachin,Leader
2009,Mongolia,Tsedevsuren Danzan,Deputy leader
2009,Netherlands,Willem van der Vegt,Leader
2009,Netherlands,Marcel Vlastuin,Deputy leader
2009,Netherlands,Eljakim Schrijvers,IC member
2009,Netherlands,Ries Kock,Guest
2009,New Zealand,Margot Phillipps,Leader
2009,New Zealand,Robert Bowmaker,Deputy leader
2009,Nigeria,Samson Olatunji Ale,Leader
2009,Nigeria,John Olowojoba Ebiaku,Deputy leader
2009,North Macedonia,Mile Jovanov,Leader
2009,North Macedonia,Emil Stankov,Deputy leader
2009,North Macedonia,Metodija Jancheski,IC member
2009,Poland,Jakub Radoszewski,Leader
2009,Poland,Tomasz Kulczyński,Deputy leader
2009,Poland,Marcin Kubica,ISC member
2009,Portugal,Pedro Ribeiro,Leader
2009,Portugal,António Caleço,Deputy leader
2009,Republic of Korea,Tae Cheon Yang,Leader
2009,Republic of Korea,Soo Hwan Kim,Deputy leader
2009,Romania,Zoltan Szabó,Leader
2009,Romania,Mugurel-Ionut Andreica,Deputy leader
2009,Russia,Vladimir Kiryukhin,Leader
2009,Russia,Andrei Lopatin,Deputy leader
2009,Russia,Marina Tsvetkova,Guest
2009,Saudi Arabia,Ahmad Almassaad,Observer
2009,Saudi Arabia,Mohammed Barziq,Observer
2009,Serbia,Aleksandar Milovan Ilić,Leader
2009,Serbia,Stevan Rajko Jončić,Deputy leader
2009,Singapore,Li Ling  Wang,Leader
2009,Singapore,Mooi Lee Choo ,Deputy leader
2009,Slovakia,Andrej Blaho,Leader
2009,Slovakia,Vladimír Boža,Deputy leader
2009,Slovakia,Michal Forišek,ISC member
2009,Slovenia,Roman Dorn,Leader
2009,Slovenia,Jelko Urbančič,Deputy leader
2009,South Africa,Peter Waker,Leader
2009,South Africa,Max Rabkin,Deputy leader
2009,Spain,Salvador Roura Ferret,Leader
