Year,Country,Name,Role
2019,Argentina,Mariano Maluf,Leader
2019,Argentina,Agustín Santiago Gutiérrez,Deputy leader
2019,Australia,Joshua Lau,Leader
2019,Australia,Kevin Tran,Deputy leader
2019,Australia,Benjamin Burton,IC member
2019,Australia,Donna Priol,Guest
2019,Austria,Helmut Achleitner,Leader
2019,Austria,Johann Fellner,Deputy leader
2019,Azerbaijan,Ramin Mahmudzade,Leader
2019,Azerbaijan,Rashad Mammadov,Deputy leader
2019,Azerbaijan,Jeyhun Bayramov,Chairman
2019,Azerbaijan,Araz Yusubov,IC member
2019,Azerbaijan,Farid Ahmadov,ISC member
2019,Azerbaijan,Jamaladdin Hasanov,ITC member
2019,Azerbaijan,Elnur Seyidli,Invited guest
2019,Bangladesh,Mohammad Sohel Rahman,Leader
2019,Bangladesh,Mohammad Kaykobad,Deputy leader
2019,Belarus,Alexander Buslavsky,Leader
2019,Belarus,Aliaksei Tolstsikau,Deputy leader
2019,Belgium,Damien Leroy,Leader
2019,Belgium,Jorik Jooken,Deputy leader
2019,Bolivia,Octavio Aguilar Mallea,Leader
2019,Bolivia,Jhonatan Castro,Deputy leader
2019,Bosnia and Herzegovina,Haris Gavranović,Leader
2019,Bosnia and Herzegovina,Adnan Šalaka,Deputy leader
2019,Brazil,Ricardo Anido,Leader
2019,Brazil,André Amaral de Sousa,Deputy leader
2019,Bulgaria,Emil Kelevedjiev,Leader
2019,Bulgaria,Anton Shikov,Deputy leader
2019,Canada,Troy Vasiga,Leader
2019,Canada,Carrie Knoll,Deputy leader
2019,Chile,Catherine Espinoza,Leader
2019,Chile,Javier Marinkovic,Deputy leader
2019,Chile,Hans Kühn,Guest
2019,China,Hong Wang,Leader
2019,China,Qiyang Zhao,Deputy leader
2019,China,Baolin Yin,Guest
2019,China,Shuang Wu,Guest
2019,China,Wentao Han,Guest
2019,China,Zide Du,Guest
2019,Colombia,Mario Cruz,Leader
2019,Colombia,Roger Trujillo,Deputy leader
2019,Croatia,Ivan Paljak,Leader
2019,Croatia,Josip Klepec,Deputy leader
2019,Croatia,Krešimir Malnar,Guest
2019,Cuba,Leonardo Cardona Luque,Leader
2019,Cyprus,Panayiotis Eracleous,Leader
2019,Cyprus,Adamos Ttofari,Deputy leader
2019,Czech Republic,Tomáš Pitner,Leader
2019,Czech Republic,Pavel Töpfer,Deputy leader
2019,Czech Republic,Martin Mareš,ITC member
2019,Denmark,Knud Fjeldsted,Leader
2019,Denmark,Markus Krabbe Larsen,Deputy leader
2019,Denmark,Ellen Krogh,Guest
2019,Dominican Republic,Roberto Carlos Abreu Diaz,Leader
2019,Dominican Republic,Pedro Manuel Taveras Nuñez,Guest
2019,Egypt,Haytham Hassan,Leader
2019,Egypt,Mohamed Yousry,Deputy leader
2019,Egypt,Eslam Wageed,IC member
2019,Egypt,Mohamed AbdElWahab,ISC member
2019,Egypt,Wael Ewida,ITC member
2019,Egypt,ElZahraa Darwish,Guest
2019,Egypt,Haytham Helmy,Guest
2019,Egypt,Khadeeja Eslam,Guest
2019,Egypt,Khalil Mahrous,Guest
2019,Egypt,Omneya Darwish,Guest
2019,El Salvador,Humberto Alfonso Sermeño Villalta,Leader
2019,El Salvador,Carlos Alvarez,Deputy leader
2019,Estonia,Targo Tennisberg,Leader
2019,Estonia,Ahto Truu,Deputy leader
2019,Finland,Ada-Maaria Hyvärinen,Leader
2019,Finland,Lari Sinisalo,Deputy leader
2019,Finland,Heikki Hyyrö,Guest
2019,France,Simon Mauras,Leader
2019,France,Auguste Olivry,Deputy leader
2019,France,Mathias Hiron,IC member
2019,Georgia,George Mandaria,Leader
2019,Georgia,Zaza Gamezardashvili,Deputy leader
2019,Georgia,Guram Kotolashvili,Guest
2019,Germany,Wolfgang Pohl,Leader
2019,Germany,Gregor Matl,Deputy leader
2019,Greece,Nikolaos S. Papaspyrou,Leader
2019,Greece,Vicky Kontoura,Deputy leader
2019,"Hong Kong, China",Wing Ki Ngan,Leader
2019,"Hong Kong, China",Pak Yeung So,Deputy leader
2019,Hungary,Gyula Horváth,Leader
2019,Hungary,Ágnes Erdősné Németh,Deputy leader
2019,Iceland,Bernhard Linn Hilmarsson,Leader
2019,India,Madhavan Mukund,Leader
2019,India,Narayan Kumar Krishnan,Deputy leader
2019,Indonesia,Adi Mulyanto,Leader
2019,Indonesia,Brian Marshal,Deputy leader
2019,Indonesia,Yugo Kartono Isal,IC member
2019,Indonesia,Jonathan Irvin Gunawan,ISC member
2019,Indonesia,Fauzan Joko Sularto,Guest
2019,Indonesia,Rakhmat Rakhmawan,Guest
2019,Iran,Mohammad Ali Abam,Leader
2019,Iran,Amin Behjati,Deputy leader
2019,Iran,Ali Sharifi Zarchi,ISC member
2019,Iran,Hamid Zarrabi-Zadeh,Guest
2019,Iran,Mohammadreza Saremi,Guest
2019,Iran,Nazaninzahra Sharifi Zarchi,Guest
2019,Iran,Neda Emami Sarcheshme,Guest
2019,Iran,Salma Sharifi Zarchi,Guest
2019,Iran,Yasaman Tavakol Moghaddam,Guest
2019,Iran,Ali Ahmadi,Invited guest
2019,Iran,Ali Shafiee,Invited guest
