Name,Role
Lionel Hartmann,Executive Director
Don Piele,Chairman
Arturo Cepeda Salinas,IC member
Ha Jine Kimn,IC member
Jari Koivisto,IC member
Krassimir Manev,IC member
Krzysztof Diks,IC member
Mario Cruz,IC member
Spyros Bakogiannis,IC member
Yasser M. Abdel Ghany,IC member
Zide Du,IC member
Greg Galperin,ISC member
Hal Burch,ISC member
Ian Munro,ISC member
Kyung Yong Chwa,ISC member
Michael Chatzopoulos,ISC member
Tom Verhoeff,ISC member
Xenofon Papadopoulos,ISC member
Đura Paunić,ISC member
