Name,Role
Arturo Cepeda Salinas,President
Richard Forster,Executive Director
Krassimir Manev,Chairman
Benedetto Di Rienzo,IC member
Eljakim Schrijvers,IC member
Fredrik Niemelä,IC member
Kanchit Malaivongs,IC member
Metodija Jancheski,IC member
Mohamed Youssef,IC member
Peter Taylor,IC member
Rogelio Faustino Garcia Llano,IC member
Troy Vasiga,IC member
Valentina Dagienė,IC member
Benjamin Burton,ISC member
Gordon Cormack,ISC member
Marcin Kubica,ISC member
Martin Mareš,ISC member
Michal Forišek,ISC member
Mohamed Taha,ISC member
Ossama Mohamed Ismail,ISC member
Velin Tzanov,ISC member
