Year,Country,Name,Role
2012,Albania,Endrit Xhina,Leader
2012,Albania,Alda Kika,Deputy leader
2012,Argentina,Rogelio Faustino Garcia Llano,Leader
2012,Argentina,Hugo Ryckeboer,Deputy leader
2012,Armenia,Armen Andreasyan,Leader
2012,Armenia,Tigran Piliposyan,Deputy leader
2012,Australia,Jarrah Lacko,Leader
2012,Australia,Chris Chen,Deputy leader
2012,Australia,Peter Taylor,IC member
2012,Australia,Benjamin Burton,ISC member
2012,Australia,Andree Phillips,Invited guest
2012,Australia,Bernard Blackham,Invited guest
2012,Australia,Christopher Shannon,Invited guest
2012,Australia,Luke Harrison,Invited guest
2012,Austria,Helmut Achleitner,Leader
2012,Austria,Johann Fellner,Deputy leader
2012,Austria,Christoph Sperl,Guest
2012,Azerbaijan,Ramin Mahmudzade,Leader
2012,Azerbaijan,Ismayil Sadigov,Deputy leader
2012,Azerbaijan,Adil Aliyev,Guest
2012,Bangladesh,Mohammad Kaykobad,Leader
2012,Bangladesh,Saleha Kaykobad,Deputy leader
2012,Belarus,Irina Kirinovich,Leader
2012,Belarus,Anatoli Aksenchyk,Deputy leader
2012,Belarus,Aliaksandr Kandratovich,Guest
2012,Belarus,Aliaksei Sikorski,Guest
2012,Belgium,Damien Leroy,Leader
2012,Belgium,Joachim Ganseman,Deputy leader
2012,Bolivia,Willmar Pimentel,Leader
2012,Bosnia and Herzegovina,Alvin Abdagić,Leader
2012,Bosnia and Herzegovina,Igor Ševo,Deputy leader
2012,Brazil,Ricardo Anido,Leader
2012,Brazil,Wanderley da Silva Guimarães,Deputy leader
2012,Bulgaria,Emil Kelevedjiev,Leader
2012,Bulgaria,Stoyan Kapralov,Deputy leader
2012,Bulgaria,Krassimir Manev,IC member
2012,Canada,Troy Vasiga,Leader
2012,Canada,John-Paul Pretti,Deputy leader
2012,Chile,Alexander Tchobanov Velkov ,Leader
2012,Chile,Luis Alberto Herrera,Deputy leader
2012,China,Hong Wang,Leader
2012,China,Baolin Yin,Deputy leader
2012,China,Zide Du,Guest
2012,Colombia,Mario Cruz,Leader
2012,Colombia,Rafael Mantilla,Deputy leader
2012,Croatia,Ivo Šeparović,Leader
2012,Croatia,Matija Osrecki,Deputy leader
2012,Croatia,Krešimir Malnar,IC member
2012,Cuba,Raidel Marichal Aquilar,Leader
2012,Cyprus,Michalakis Tortouris,Leader
2012,Cyprus,Miltiades Charilaou,Deputy leader
2012,Czech Republic,Zdeněk Dvořák,Leader
2012,Czech Republic,Pavel Töpfer,Deputy leader
2012,Czech Republic,Martin Mareš,ISC member
2012,Denmark,Jørgen E. G. Nielsen,Leader
2012,Denmark,Knud Fjeldsted,Deputy leader
2012,Egypt,Eslam Wageed,Leader
2012,Egypt,Haytham Hassan,Deputy leader
