Name,Role
Alicia Bañuelos,Chairman
Gabriele Reich,IC member
Ha Jine Kimn,IC member
Håkan Strömberg,IC member
Péter Hanák,IC member
Peter Waker,IC member
Ries Kock,IC member
Yngve Lindberg,IC member
