Name,Role
Greg Lee,President
Margot Phillipps,Secretary
Eljakim Schrijvers,Treasurer
Jeyhun Bayramov,Chairman
Araz Yusubov,IC member
Benjamin Burton,IC member
Eduards Kaļiņičenko,IC member
Eslam Wageed,IC member
Mathias Hiron,IC member
Mile Jovanov,IC member
Seiichi Tani,IC member
Sun Teck Tan,IC member
Valentina Dagienė,IC member
Yugo Kartono Isal,IC member
Ali Sharifi Zarchi,ISC member
Farid Ahmadov,ISC member
Jakub Łącki,ISC member
Jonathan Irvin Gunawan,ISC member
Mohamed AbdElWahab,ISC member
Riku Kawasaki,ISC member
Wei Liang Gan,ISC member
Fredrik Niemelä,ITC member
Jamaladdin Hasanov,ITC member
Martin Mareš,ITC member
Ranald Yun Shao Lam,ITC member
Rie Shigetomi Yamaguchi,ITC member
Wael Ewida,ITC member
William Di Luigi,ITC member
