Name,Role
Christos Kilias,Chairman
George Philokyprou,Chairman
Alicia Bañuelos,IC member
Håkan Strömberg,IC member
James Walt,IC member
Pavel Azalov,IC member
Péter Hanák,IC member
Peter Heyderhoff,IC member
Ries Kock,IC member
Vladimir Kiryukhin,IC member
Yngve Lindberg,IC member
