Name,Role
Peter Heyderhoff,Chairman
Peter Widmayer,Chairman
Alicia Bañuelos,IC member
Christos Kilias,IC member
Ha Jine Kimn,IC member
Håkan Strömberg,IC member
Pavel Azalov,IC member
Péter Hanák,IC member
Ries Kock,IC member
Steven Bird,IC member
Vladimir Kiryukhin,IC member
Vladimir Kotov,IC member
Yngve Lindberg,IC member
