Year,Country,Name,Role
2000,Albania,Ilia Ninka,Leader
2000,Albania,Vladimir Konomi,Deputy leader
2000,Argentina,Rogelio Faustino Garcia Llano,Leader
2000,Argentina,Hugo Ryckeboer,Deputy leader
2000,Argentina,Maria Mercedes Andreau De Garcia Llano,Guest
2000,Armenia,Vladimir Yeghiazaryan,Leader
2000,Armenia,Artashes Abrahamyan,Deputy leader
2000,Australia,Robbie Gates,Leader
2000,Australia,Benjamin Burton,Deputy leader
2000,Australia,Sandra Brownscombe,Guest
2000,Austria,Karl Josef Fuchs,Leader
2000,Austria,Wolfgang Stormer,Deputy leader
2000,Azerbaijan,Ramin Mahmudzade,Leader
2000,Azerbaijan,Bilal Huseynov,Deputy leader
2000,Belarus,Ihar Volkau,Leader
2000,Belarus,Emiliya Ratobylskaya,Deputy leader
2000,Belarus,Katsiaryna Paziura,Guest
2000,Bosnia and Herzegovina,Branko Vučijak,Leader
2000,Bosnia and Herzegovina,Milan Janjić,Deputy leader
2000,Brazil,Ricardo Anido,Leader
2000,Brazil,Jan Pfeifer,Deputy leader
2000,Bulgaria,Krassimir Manev,Leader
2000,Bulgaria,Emil Kelevedjiev,Deputy leader
2000,Canada,Barry Ferguson,Leader
2000,Canada,Ian Munro,Deputy leader
2000,China,Junhui Deng,Leader
2000,China,Fan Yang,Deputy leader
2000,China,Zide Du,Chairman
2000,China,Baolin Yin,ISC member
2000,China,Wenhu Wu,ISC member
2000,Colombia,Mario Cruz,Leader
2000,Croatia,Ivo Šeparović,Leader
2000,Croatia,Krešimir Malnar,Deputy leader
2000,Croatia,Vlasta Separovic,Guest
2000,Cuba,Raidel Marichal Aquilar,Leader
2000,Cuba,Osvaldo González Fernández	,Deputy leader
2000,Cyprus,Panicos Masouras,Leader
2000,Cyprus,Andreas Loutsios,Deputy leader
2000,Czech Republic,Pavel Töpfer,Leader
2000,Czech Republic,Daniel Kráľ,Deputy leader
2000,Denmark,Knud Fjeldsted,Leader
2000,Denmark,Jørgen E. G. Nielsen,Deputy leader
2000,Denmark,Dora Dimitrova,Guest
2000,Egypt,Abdelaziz Mohamed Khamis,Leader
2000,Egypt,Ossama Mohamed Ismail,Deputy leader
2000,Estonia,Ahto Truu,Leader
2000,Estonia,Indrek Jentson,Deputy leader
2000,Finland,Tiina Aalto,Leader
2000,Finland,Ville Leppänen,Deputy leader
2000,Finland,Jari Koivisto,IC member
2000,Finland,Isto Aho,ISC member
2000,Finland,Jyrki Nummenmaa,ISC member
2000,Finland,Aslak Lindström,Observer
2000,Finland,Janne Kujala,Observer
2000,Finland,Jarmo Riipinen,Observer
2000,Finland,Jouko Könnölä,Observer
2000,Finland,Jukka Sarjala,Observer
2000,Finland,Kari Visala,Observer
2000,Finland,Markku Siermala,Observer
2000,Finland,Nina Pukkila,Observer
2000,Finland,Saara Kudjoi,Observer
2000,Finland,Samuli Laine,Observer
2000,Finland,Sirpa Ilo,Observer
2000,Finland,Teppo Kuusisto,Observer
2000,Finland,Timo Tossavainen,Observer
2000,Finland,Tuija Liuko,Observer
2000,Finland,Ulla Liljeström,Observer
2000,France,Franck Coppolla,Leader
2000,France,Mathias Hiron,Deputy leader
2000,Georgia,George Mandaria,Leader
2000,Georgia,Giorgi Mania,Deputy leader
2000,Georgia,Gia Gvaramia,Guest
2000,Germany,Wolfgang Pohl,Leader
2000,Germany,Marco Thomas,Deputy leader
2000,Greece,Katerina Georgouli,Leader
