Year,Name,Role
2003,Krzysztof Diks,IC member
2003,Mario Cruz,IC member
2003,Spyros Bakogiannis,IC member
2003,Yasser M. Abdel Ghany,IC member
2003,Zide Du,IC member
2003,Greg Galperin,ISC member
2003,Hal Burch,ISC member
2003,Ian Munro,ISC member
2003,Kyung Yong Chwa,ISC member
2003,Michael Chatzopoulos,ISC member
2003,Tom Verhoeff,ISC member
2003,Xenofon Papadopoulos,ISC member
2003,Đura Paunić,ISC member
2004,Lionel Hartmann,Executive Director
2004,Spyros Bakogiannis,Chairman
2004,Arturo Cepeda Salinas,IC member
2004,Don Piele,IC member
2004,Ha Jine Kimn,IC member
2004,Ivo Šeparović,IC member
2004,Krzysztof Diks,IC member
2004,Mario Cruz,IC member
2004,Wolfgang Pohl,IC member
2004,Yasser M. Abdel Ghany,IC member
2004,Greg Galperin,ISC member
2004,İsmail Hakkı Toroslu,ISC member
2004,Jyrki Nummenmaa,ISC member
2004,Krzysztof Ciebiera,ISC member
2004,Krzysztof Stencel,ISC member
2004,Marcin Kubica,ISC member
2004,Michael Chatzopoulos,ISC member
2004,Đura Paunić,ISC member
2005,Lionel Hartmann,Executive Director
2005,Krzysztof Diks,Chairman
2005,Arturo Cepeda Salinas,IC member
2005,Don Piele,IC member
2005,Ha Jine Kimn,IC member
2005,Ivo Šeparović,IC member
2005,Mohamed Youssef,IC member
2005,Ossama Mohamed Ismail,IC member
2005,Ricardo Anido,IC member
2005,Spyros Bakogiannis,IC member
2005,Wolfgang Pohl,IC member
2005,Yasser M. Abdel Ghany,IC member
2005,César Arturo Cepeda García,ISC member
2005,Gordon Cormack,ISC member
2005,İsmail Hakkı Toroslu,ISC member
2005,Jyrki Nummenmaa,ISC member
2005,Krzysztof Ciebiera,ISC member
2005,Krzysztof Stencel,ISC member
2005,Luis Cruz Romo,ISC member
2005,Marcin Kubica,ISC member
2005,Michael Chatzopoulos,ISC member
2005,Tom Verhoeff,ISC member
2006,Zide Du,President
2006,Jari Koivisto,Executive Director
2006,Arturo Cepeda Salinas,Chairman
2006,Ivo Šeparović,IC member
2006,Krassimir Manev,IC member
2006,Krzysztof Diks,IC member
2006,Mohamed Youssef,IC member
2006,Ricardo Anido,IC member
2006,Richard Forster,IC member
2006,Spyros Bakogiannis,IC member
2006,Wolfgang Pohl,IC member
2006,Yasser M. Abdel Ghany,IC member
2006,Alen Spiegl,ISC member
2006,César Arturo Cepeda García,ISC member
2006,Francisco Javier Zaragoza Martinez,ISC member
2006,Gordon Cormack,ISC member
2006,İsmail Hakkı Toroslu,ISC member
2006,Jyrki Nummenmaa,ISC member
2006,Luis Cruz Romo,ISC member
2006,Marcin Kubica,ISC member
2006,Tom Verhoeff,ISC member
2007,Zide Du,President
2007,Jari Koivisto,Executive Director
2007,Ivo Šeparović,Chairman
2007,Arturo Cepeda Salinas,IC member
2007,Eljakim Schrijvers,IC member
2007,Krassimir Manev,IC member
2007,Krzysztof Diks,IC member
2007,Mohamed Youssef,IC member
2007,Ricardo Anido,IC member
2007,Richard Forster,IC member
2007,Troy Vasiga,IC member
2007,Valentina Dagienė,IC member
2007,Yasser M. Abdel Ghany,IC member
2007,Bojan Antolović,ISC member
2007,César Arturo Cepeda García,ISC member
2007,Gordon Cormack,ISC member
2007,Lovro Pužar,ISC member
2007,Martin Mareš,ISC member
2007,Michal Forišek,ISC member
2007,Ossama Mohamed Ismail,ISC member
2007,Tom Verhoeff,ISC member
2007,Zvonimir Bujanović,ISC member
2008,Zide Du,President
2008,Jari Koivisto,Executive Director
2008,Mohamed Youssef,Chairman
2008,Eljakim Schrijvers,IC member
2008,Ivo Šeparović,IC member
2008,Kanchit Malaivongs,IC member
2008,Krassimir Manev,IC member
2008,Metodija Jancheski,IC member
2008,Richard Forster,IC member
2008,Rogelio Faustino Garcia Llano,IC member
2008,Troy Vasiga,IC member
2008,Valentina Dagienė,IC member
2008,César Arturo Cepeda García,ISC member
2008,Gordon Cormack,ISC member
2008,Lovro Pužar,ISC member
2008,Marcin Kubica,ISC member
2008,Martin Mareš,ISC member
2008,Michal Forišek,ISC member
2008,Ossama Mohamed Ismail,ISC member
2008,Velin Tzanov,ISC member
2009,Arturo Cepeda Salinas,President
2009,Richard Forster,Executive Director
2009,Krassimir Manev,Chairman
2009,Benedetto Di Rienzo,IC member
2009,Eljakim Schrijvers,IC member
2009,Fredrik Niemelä,IC member
2009,Kanchit Malaivongs,IC member
2009,Metodija Jancheski,IC member
2009,Mohamed Youssef,IC member
2009,Peter Taylor,IC member
2009,Rogelio Faustino Garcia Llano,IC member
2009,Troy Vasiga,IC member
2009,Valentina Dagienė,IC member
2009,Benjamin Burton,ISC member
2009,Gordon Cormack,ISC member
2009,Marcin Kubica,ISC member
2009,Martin Mareš,ISC member
2009,Michal Forišek,ISC member
2009,Mohamed Taha,ISC member
2009,Ossama Mohamed Ismail,ISC member
2009,Velin Tzanov,ISC member
2010,Arturo Cepeda Salinas,President
2010,Richard Forster,Executive Director
2010,Troy Vasiga,Chairman
2010,Eljakim Schrijvers,IC member
2010,Fredrik Niemelä,IC member
2010,Giuseppe Colosio,IC member
2010,Kanchit Malaivongs,IC member
2010,Krassimir Manev,IC member
2010,Metodija Jancheski,IC member
2010,Peter Taylor,IC member
2010,Rogelio Faustino Garcia Llano,IC member
2010,Valentina Dagienė,IC member
2010,Benjamin Burton,ISC member
2010,Gordon Cormack,ISC member
2010,Jittat Fakcharoenphol,ISC member
2010,Marcin Kubica,ISC member
2010,Martin Mareš,ISC member
2010,Michal Forišek,ISC member
2010,Roberto Grossi,ISC member
2010,Velin Tzanov,ISC member
2011,Arturo Cepeda Salinas,President
2011,Richard Forster,Executive Director
2011,Kanchit Malaivongs,Chairman
2011,David Ginat,IC member
2011,Eljakim Schrijvers,IC member
2011,Fredrik Niemelä,IC member
2011,Giuseppe Colosio,IC member
2011,Greg Lee,IC member
2011,Krassimir Manev,IC member
2011,Peter Taylor,IC member
2011,Troy Vasiga,IC member
2011,Valentina Dagienė,IC member
2011,Benjamin Burton,ISC member
2011,Gordon Cormack,ISC member
2011,Jittat Fakcharoenphol,ISC member
2011,Martin Mareš,ISC member
2011,Michal Forišek,ISC member
2011,Mihai Patrascu,ISC member
2011,Roberto Grossi,ISC member
2012,Richard Forster,President
2012,Madhavan Mukund,Executive Director
2012,Giuseppe Colosio,Chairman
2012,Bakhyt Matkarimov,IC member
2012,David Ginat,IC member
2012,Eljakim Schrijvers,IC member
2012,Greg Lee,IC member
2012,Kanchit Malaivongs,IC member
2012,Krassimir Manev,IC member
2012,Krešimir Malnar,IC member
2012,Peter Taylor,IC member
2012,Valentina Dagienė,IC member
2012,Benjamin Burton,ISC member
2012,Fredrik Niemelä,ISC member
2012,Jittat Fakcharoenphol,ISC member
2012,Ling-Jyh Chen,ISC member
2012,Martin Mareš,ISC member
2012,Michal Forišek,ISC member
2012,Roberto Grossi,ISC member
2013,Richard Forster,President
2013,Madhavan Mukund,Executive Director
2013,Peter Taylor,Chairman
2013,David Ginat,IC member
2013,Fuad Hajiyev,IC member
2013,Giuseppe Colosio,IC member
2013,Greg Lee,IC member
