Rank,Name,Country,Task 1,Task 2,Score,Rel_score(%),Award
107,Alejandro Martin Deymonnaz,Argentina,124,45,169,28.17,Bronze
108,Daniel Bueno Donadon,Brazil,98,70,168,28.00,Bronze
109,Man-Hon Chan,"Hong Kong, China",108,59,167,27.83,Bronze
110,Thierry Steinberg,Luxembourg,126,40,166,27.67,Bronze
110,Vasan Chienmaneetaweesin,Thailand,126,40,166,27.67,Bronze
112,Siu-On Chan,"Hong Kong, China",95,70,165,27.50,Bronze
113,Aliaksei Sikorski,Belarus,124,40,164,27.33,Bronze
113,Davit Haykazyan,Armenia,98,66,164,27.33,Bronze
115,Diego Alejandro Gavinowich,Argentina,88,75,163,27.17,Bronze
116,Dan Nilsson,Sweden,142,20,162,27.00,Bronze
117,Adam Bull,United Kingdom,121,40,161,26.83,Bronze
117,Mustafa Ömer Kılavuz,Türkiye,141,20,161,26.83,Bronze
119,Johan Heinrich Du Toit,South Africa,87,73,160,26.67,Bronze
119,Marko Zivkovic,Croatia,70,90,160,26.67,Bronze
119,Michel Conrad,Luxembourg,130,30,160,26.67,Bronze
119,Pavel Čížek,Czech Republic,85,75,160,26.67,Bronze
123,Nayana Somaratna,Sri Lanka,137,20,157,26.17,Bronze
124,Koon-Ho Wong,"Hong Kong, China",126,30,156,26.00,Bronze
125,Marijn Kruisselbrink,Netherlands,115,40,155,25.83,Bronze
126,Martynas Kriaučiūnas,Lithuania,79,75,154,25.67,Bronze
127,Aleksandar Milovan Ilić,Serbia and Montenegro,60,92,152,25.33,Bronze
127,Nikola Todorovic,Serbia and Montenegro,102,50,152,25.33,Bronze
129,Noam Rafhael,Israel,61,90,151,25.17,Bronze
129,Randy Sugianto,Indonesia,111,40,151,25.17,Bronze
131,Alexander Tarkhnishvili,Georgia,102,46,148,24.67,Bronze
132,Jorge Del Rio,Mexico,90,55,145,24.17,Bronze
133,Ariel Gutman,Israel,34,110,144,24.00,Bronze
134,Osman Celep,Türkiye,58,85,143,23.83,Bronze
135,Constantin Jucovschi,Moldova,60,81,141,23.50,Bronze
136,Dumitru Codreanu,Moldova,74,66,140,23.33,Bronze
137,David Rodrigues,Portugal,104,35,139,23.17,Bronze
138,Raman Dzvinkouski,Belarus,115,20,135,22.50,Bronze
