Rank,Name,Country,Score,Rel_score(%),Award
112,Zsolt Felfoldi,Hungary,160,26.67,Bronze
115,Arman Prashev,Kazakhstan,157,26.17,Bronze
115,David Cheng,United States of America,157,26.17,Bronze
117,Andraz Tori,Slovenia,150,25.00,Bronze
117,Dmitrijs Rutko,Latvia,150,25.00,Bronze
117,Radu Stefan,Romania,150,25.00,Bronze
120,Vlatko Kolovski,North Macedonia,148,24.67,Bronze
121,Teemu Murtola,Finland,146,24.33,Bronze
122,Chon Fong Ng,"Macao, China",140,23.33,Bronze
122,Thomas James Barnet-Lamb,United Kingdom,140,23.33,Bronze
124,Mario Zivic,Croatia,138,23.00,Bronze
124,Pēteris Paikens,Latvia,138,23.00,Bronze
126,Kin Fai Tam,"Hong Kong, China",137,22.83,Bronze
127,Viachaslav Vdavichenka,Belarus,135,22.50,Bronze
