Rank,Name,Country,Score,Rel_score(%),Award
1,Hong Chen,China,480,80.00,Gold
2,Mathijs Vogelzang,Netherlands,457,76.17,Gold
2,Roman Pastoukhov,Russia,457,76.17,Gold
4,Jung Gun Lim,Republic of Korea,435,72.50,Gold
5,Nguyen Ngoc Huy,Vietnam,430,71.67,Gold
6,Kee Moon Song,Republic of Korea,428,71.33,Gold
7,Michal Forišek,Slovakia,418,69.67,Gold
8,Richard Královič,Slovakia,404,67.33,Gold
9,Zheng Shao,China,401,66.83,Gold
10,Zdeněk Dvořák,Czech Republic,376,62.67,Gold
11,Andrzej Gąsienica-Samek,Poland,370,61.67,Gold
11,Petch Manoharn,Thailand,370,61.67,Gold
13,Le Hong Viet,Vietnam,364,60.67,Gold
14,Patrik Sundberg,Sweden,361,60.17,Gold
15,Bogdan Dumitru,Romania,360,60.00,Gold
15,David Arthur,Canada,360,60.00,Gold
17,Ehsan Foroughi,Iran,359,59.83,Gold
18,Jānis Sermuliņš,Latvia,355,59.17,Gold
19,Tomasz Czajka,United Kingdom,350,58.33,Gold
20,Maxim Babenko,Russia,340,56.67,Gold
20,Nguyen Trung Hieu,Vietnam,340,56.67,Gold
20,Vladimir Martianov,Russia,340,56.67,Gold
23,Alexandru Andoni,Moldova,336,56.00,Silver
24,Bruce Merry,South Africa,333,55.50,Silver
25,Xin Qi,China,330,55.00,Silver
26,Jing Xu,China,328,54.67,Silver
27,Tero Karras,Finland,327,54.50,Silver
28,Seyed Bahdad Esfahbod,Iran,323,53.83,Silver
29,Daniel Wright,United States of America,310,51.67,Silver
29,Nguyen Hung Son,Vietnam,310,51.67,Silver
31,Milos Milovanovic,Serbia and Montenegro,309,51.50,Silver
32,David Pritchard,Canada,308,51.33,Silver
33,Chi Yung Tse,"Hong Kong, China",307,51.17,Silver
34,Martin Pettai,Estonia,300,50.00,Silver
35,Thomas Michael Garnett,United Kingdom,299,49.83,Silver
36,Marcin Meinardi,Poland,294,49.00,Silver
37,Jurgis Pašukonis,Lithuania,293,48.83,Silver
38,Martin Dario Safe,Argentina,290,48.33,Silver
38,Tay Kah Keng,Singapore,290,48.33,Silver
40,Tomy Bolaños de la Coba,Cuba,288,48.00,Silver
41,Zoran Dzunic,Serbia and Montenegro,287,47.83,Silver
42,Michael Kreil,Germany,283,47.17,Silver
43,Dominik Schultes,Germany,282,47.00,Silver
44,Thomas Eckerman,Finland,277,46.17,Silver
45,Nikola Mihajlovic,Serbia and Montenegro,270,45.00,Silver
45,Roie Marianer,Israel,270,45.00,Silver
47,Frane Saric,Croatia,268,44.67,Silver
48,Peter Kaufmann,Switzerland,266,44.33,Silver
49,Wolfgang Thaller,Austria,260,43.33,Silver
50,Carl Robert Hultquist,South Africa,258,43.00,Silver
51,Tobias Thierer,Germany,257,42.83,Silver
52,Tsz Hang Stephen Ho,"Hong Kong, China",256,42.67,Silver
53,Şükrü Tikveş,Türkiye,251,41.83,Silver
54,Balazs Racz,Hungary,250,41.67,Silver
55,Kelvin Lim Chen Hao,Singapore,247,41.17,Silver
56,Aliaksei Danchanka,Belarus,240,40.00,Silver
56,Benjamin Mathews,United States of America,240,40.00,Silver
56,Michał Nowakiewicz,Poland,240,40.00,Silver
59,Lim Hong Ping,Singapore,238,39.67,Silver
60,Mahmoud Ghandi,Iran,236,39.33,Silver
60,Min Zheng Shieh,Taiwan,236,39.33,Silver
62,Jun Wook Kong,Republic of Korea,235,39.17,Silver
63,Mihai Patrascu,Romania,234,39.00,Silver
64,Adrian Carcu,Romania,230,38.33,Bronze
64,Gustav Lindström,Sweden,230,38.33,Bronze
64,Khemarat Nimpooyagampong,Thailand,230,38.33,Bronze
64,Oleksandr Iotko,Ukraine,230,38.33,Bronze
68,Ivan Miatselski,Belarus,226,37.67,Bronze
69,Peter Hawkins,Australia,225,37.50,Bronze
70,Chun Chi Huang,Taiwan,224,37.33,Bronze
71,Percy Liang,United States of America,220,36.67,Bronze
72,Tushara Karunaratna,Sri Lanka,219,36.50,Bronze
73,Alejandro Lopez Baragano,Mexico,213,35.50,Bronze
74,Ján Senko,Slovakia,210,35.00,Bronze
74,Krzysztof Onak,Poland,210,35.00,Bronze
74,Matija Kazalicki,Croatia,210,35.00,Bronze
77,Svetlin Nakov,Bulgaria,208,34.67,Bronze
78,Jan Kuipers,Netherlands,207,34.50,Bronze
78,Remigijus Staniulis,Lithuania,207,34.50,Bronze
80,Artūrs Žogla,Latvia,203,33.83,Bronze
81,James Shotton,United Kingdom,200,33.33,Bronze
81,Javier Sebastian Turek,Argentina,200,33.33,Bronze
81,Michel González Blázquez,Cuba,200,33.33,Bronze
81,Pavel Nejedlý,Czech Republic,200,33.33,Bronze
81,Stefan Kummer,Switzerland,200,33.33,Bronze
86,Mattias de Zalenski,Sweden,199,33.17,Bronze
86,Meelis Olev,Estonia,199,33.17,Bronze
86,Michal Illich,Czech Republic,199,33.17,Bronze
89,Fatih Gelgi,Türkiye,195,32.50,Bronze
90,Eugene Osovetsky,Canada,194,32.33,Bronze
91,Ariel Gutman,Israel,193,32.17,Bronze
92,Paul Cook,South Africa,191,31.83,Bronze
93,Jozef Zlomek,Czech Republic,190,31.67,Bronze
93,Mikhail Baoutine,Russia,190,31.67,Bronze
93,Oliver Fernández Gil,Cuba,190,31.67,Bronze
96,Ka Shu Wong,Australia,188,31.33,Bronze
97,Chan Fong Wong,"Macao, China",183,30.50,Bronze
98,Ciarán O'Conaire,Ireland,182,30.33,Bronze
99,Kyung Young Lim,Republic of Korea,181,30.17,Bronze
100,Eric Fleites Pérez,Cuba,180,30.00,Bronze
100,Mohammad Hossein  Fardad,Iran,180,30.00,Bronze
100,Szilvester Safar,Hungary,180,30.00,Bronze
103,Nathan Gass,Switzerland,177,29.50,Bronze
104,Charilaos Ernopoulos,Greece,174,29.00,Bronze
105,Andriy Lyakhov,Ukraine,171,28.50,Bronze
106,Anders Schack-Nielsen,Denmark,170,28.33,Bronze
106,Antanas Kompanas,Lithuania,170,28.33,Bronze
106,Zong Hong Lyu,Taiwan,170,28.33,Bronze
109,Rainer Hoft,South Africa,168,28.00,Bronze
110,Warat Yingsaree,Thailand,163,27.17,Bronze
111,Kristiyan Kostadinov Haralambiev,Bulgaria,161,26.83,Bronze
112,Wei Shiau Suen,Taiwan,160,26.67,Bronze
112,Wouter Waalewijn,Netherlands,160,26.67,Bronze
