Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Filip Wolski,Poland,100,100,98,100,35,47,480,80.00,Gold
2,Jae Hyun Park,Republic of Korea,100,100,81,100,46,39,466,77.67,Gold
3,Fan Long,China,100,100,74,100,35,43,452,75.33,Gold
4,Sergey Kopeliovich,Russia,100,100,75,100,35,36,446,74.33,Gold
5,John Pardon,United States of America,100,100,79,100,17,44,440,73.33,Gold
6,Rostislav Rumenov,Bulgaria,100,100,98,25,100,14,437,72.83,Gold
7,Mircea-Bogdan Pasoi,Romania,100,100,84,100,40,11,435,72.50,Gold
8,Uladzimir Miniailau,Belarus,100,100,71,100,31,32,434,72.33,Gold
9,Zeyuan Zhu,China,100,100,68,100,26,33,427,71.17,Gold
10,Ilya Razenshteyn,Russia,100,68,84,100,40,33,425,70.83,Gold
11,Denis Denisov,Russia,100,71,82,100,26,43,422,70.33,Gold
12,Mikita Lesnikau,Belarus,100,100,83,100,29,7,419,69.83,Gold
13,Vahid Liaghat,Iran,100,100,55,100,0,63,418,69.67,Gold
14,Dong Wang,China,100,100,91,100,0,24,415,69.17,Gold
15,Chris Chen,Australia,100,100,73,100,0,41,414,69.00,Gold
16,Toshiki Kataoka,Japan,100,100,81,100,0,32,413,68.83,Gold
17,Daniyil Neyter,Ukraine,100,100,72,100,0,27,399,66.50,Gold
18,Jakub Kallas,Poland,100,100,95,100,0,0,395,65.83,Gold
19,Tianyi Li,China,100,71,29,100,40,52,392,65.33,Gold
20,Atamyrat Hezretkuliyew,Turkmenistan,100,100,49,80,35,25,389,64.83,Gold
21,Marcin Andrychowicz,Poland,100,100,62,80,26,20,388,64.67,Gold
21,Masaki Watanabe,Japan,100,65,83,100,0,40,388,64.67,Gold
23,Chi Kit Lam,"Hong Kong, China",100,71,57,100,58,0,386,64.33,Gold
24,Codrut-Miron Grosu,Romania,100,100,68,100,17,0,385,64.17,Gold
25,Chun-Sung Ferng,Taiwan,100,10,76,100,40,58,384,64.00,Silver
26,Gennady Korotkevich,Belarus,100,59,73,100,26,21,379,63.17,Silver
27,Dmytro Dzhulgakov,Ukraine,100,100,57,40,41,40,378,63.00,Silver
27,Yerlan Bissenov,Kazakhstan,100,59,10,100,17,92,378,63.00,Silver
29,Derianto Kusuma,Indonesia,100,100,64,80,0,32,376,62.67,Silver
30,Christos Tzamos,Greece,100,59,58,100,26,28,371,61.83,Silver
30,Varuna Parinda Jayasiri,Sri Lanka,100,68,44,100,35,24,371,61.83,Silver
32,Po-Lung Chen,Taiwan,100,68,85,100,17,0,370,61.67,Silver
33,Benjamin Butin,France,100,62,69,100,8,27,366,61.00,Silver
34,Nima Ahmadi Pour ana,Iran,100,30,70,100,40,25,365,60.83,Silver
35,Min Joon Kim,Republic of Korea,100,100,10,100,31,21,362,60.33,Silver
36,Jae Hong Kim,Republic of Korea,100,100,23,80,40,18,361,60.17,Silver
37,Dae Wook Kim,Republic of Korea,100,100,47,100,0,13,360,60.00,Silver
