Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Paul Jefferys,United Kingdom,80,100,90,100,100,95,565,94.17,Gold
2,Weidong Hu,China,90,100,80,95,95,100,560,93.33,Gold
3,Tiancheng Lou,China,100,100,30,100,100,100,530,88.33,Gold
4,Bartłomiej Romański,Poland,100,100,20,100,100,100,520,86.67,Gold
4,Shi Li,China,95,100,30,95,100,100,520,86.67,Gold
6,Brian Jacokes,United States of America,80,100,90,95,50,100,515,85.83,Gold
6,Luka Kalinovčić,Croatia,80,100,40,95,100,100,515,85.83,Gold
8,Lovro Pužar,Croatia,85,95,30,95,100,100,505,84.17,Gold
8,Vasan Chienmaneetaweesin,Thailand,80,100,30,95,100,100,505,84.17,Gold
10,Kirill Batuzov,Russia,60,100,40,95,100,100,495,82.50,Gold
11,Evgeny Shavlugin,Russia,80,95,30,85,95,100,485,80.83,Gold
12,Daniel Chia Jin Hao,Singapore,75,100,10,95,100,100,480,80.00,Gold
13,Anders Kaseorg,United States of America,50,100,100,100,100,25,475,79.17,Gold
13,Filip Wolski,Poland,95,45,40,100,95,100,475,79.17,Gold
13,Richard Starfield,South Africa,80,100,10,85,100,100,475,79.17,Gold
13,Rong Ge,China,35,90,50,100,100,100,475,79.17,Gold
17,Alexandra Zykova,Russia,40,95,30,95,100,100,460,76.67,Gold
17,Do Kyoung Lee,Republic of Korea,85,90,0,95,90,100,460,76.67,Gold
17,Shayan Oveis Gharan,Iran,70,95,20,95,100,80,460,76.67,Gold
17,Varuna Parinda Jayasiri,Sri Lanka,70,100,10,85,100,95,460,76.67,Gold
21,Silviu Ganceanu,Romania,75,100,0,80,100,100,455,75.83,Gold
21,Thomas Fersch,Germany,65,95,0,95,100,100,455,75.83,Gold
23,Sander Land,Netherlands,55,100,0,95,100,100,450,75.00,Gold
24,Luca Barbieri,Italy,85,35,30,95,100,100,445,74.17,Gold
24,Vitaly Goldshteyn,Russia,85,100,0,100,60,100,445,74.17,Gold
24,Vladimir Nedev,Bulgaria,80,100,0,100,100,65,445,74.17,Gold
27,Pham Xuan Hoa,Vietnam,50,95,20,95,100,80,440,73.33,Silver
28,Eric Price,United States of America,25,100,70,100,40,100,435,72.50,Silver
28,Mark Thompson,United Kingdom,40,100,30,95,70,100,435,72.50,Silver
30,František Simančík,Slovakia,25,90,80,100,100,35,430,71.67,Silver
30,Jonathan Mosheiff,Israel,30,100,10,90,100,100,430,71.67,Silver
30,Prachaya Phaisanwiphatpong,Thailand,95,95,10,50,100,80,430,71.67,Silver
33,Adam Bull,United Kingdom,80,50,50,95,60,90,425,70.83,Silver
33,Dzmitry Khusainau,Belarus,45,75,10,95,100,100,425,70.83,Silver
33,Zhanibek Datbayev,Kazakhstan,90,90,0,95,100,50,425,70.83,Silver
36,Alex Schwendner,United States of America,0,100,20,100,100,100,420,70.00,Silver
36,Richard Peng,Canada,55,50,40,95,85,95,420,70.00,Silver
36,Tamas Hubai,Hungary,25,95,40,60,100,100,420,70.00,Silver
36,Uladzimir Kerus,Belarus,100,50,10,70,100,90,420,70.00,Silver
40,Aidin Nassiri Shargh,Iran,70,100,10,95,95,45,415,69.17,Silver
40,Artūrs Verza,Latvia,60,100,10,45,100,100,415,69.17,Silver
40,Jakub Łącki,Poland,20,80,20,95,100,100,415,69.17,Silver
40,Zviad Metreveli,Georgia,95,45,10,85,85,95,415,69.17,Silver
44,Dan-Leonard  Crestez,Romania,35,100,20,100,55,100,410,68.33,Silver
44,Seyed Hossein Kaffash Bokharaei,Iran,40,100,30,80,60,100,410,68.33,Silver
44,Yong Woon Cho,Republic of Korea,45,80,0,100,85,100,410,68.33,Silver
47,Ka Cheong Lui,"Hong Kong, China",40,95,0,95,75,100,405,67.50,Silver
48,Martin Orr,Ireland,85,100,10,5,100,100,400,66.67,Silver
48,Rangel Dokov,Bulgaria,50,90,10,55,95,100,400,66.67,Silver
48,Sergejs Pogorelovs,Latvia,60,80,30,30,100,100,400,66.67,Silver
51,Miroslav Baláž,Slovakia,25,85,0,95,100,90,395,65.83,Silver
52,Daniel Rodríguez Sánchez,Cuba,35,90,0,95,70,100,390,65.00,Silver
52,Hsu-Chieh Lee,Taiwan,75,50,40,80,50,95,390,65.00,Silver
52,Tien-Ren Chen,Taiwan,50,100,50,60,30,100,390,65.00,Silver
55,Adrian-Valentin Vladu,Romania,95,85,0,55,100,50,385,64.17,Silver
