Rank,Name,Country,Score,Rel_score(%),Award
80,Yves Maurer,Luxembourg,121,60.50,Bronze
82,Anton Shikov,Bulgaria,119,59.50,Bronze
Guest,Gabor Ujhelyi,Hungary 2,119,59.50,Bronze
83,Laszlo Toth,Hungary,118,59.00,Bronze
84,Amin Saberi,Iran,116,58.00,Bronze
84,Andrej Bogdanov,North Macedonia,116,58.00,Bronze
84,Georges Baatz,Luxembourg,116,58.00,Bronze
84,Stanislav Mikeš,Czech Republic,116,58.00,Bronze
84,Thuc Nguyen Duong,Vietnam,116,58.00,Bronze
84,Wong Lijie,Singapore,116,58.00,Bronze
90,Sifaan Zavahir,Sri Lanka,115,57.50,Bronze
90,Yosmany Sáez Concepción,Cuba,115,57.50,Bronze
90,Yung Chun Wan,"Hong Kong, China",115,57.50,Bronze
Guest,Zsolt Klampeczky,Hungary 2,115,57.50,Bronze
93,Elnur Seyidli,Azerbaijan,114,57.00,Bronze
93,Miha Vuk,Slovenia,114,57.00,Bronze
95,Colin Watson,Ireland,111,55.50,Bronze
95,Keldon Jones,United States of America,111,55.50,Bronze
95,Robert Špalek,Czech Republic,111,55.50,Bronze
95,Shamil Yagiyayev,Ukraine,111,55.50,Bronze
99,Andres Lips,Estonia,110,55.00,Bronze
99,Juris Kriķis,Latvia,110,55.00,Bronze
99,Young Min Choi,Republic of Korea,110,55.00,Bronze
102,Darryl Shpak,Canada,109,54.50,Bronze
102,Kaspar Holm Daugaard,Denmark,109,54.50,Bronze
102,Sebastiaan Overdijk,Netherlands,109,54.50,Bronze
102,Vjačeslavs Kaščejevs,Latvia,109,54.50,Bronze
106,Krists Boitmanis,Latvia,108,54.00,Bronze
Guest,Gabor Kovacs,Hungary 2,107,53.50,Bronze
107,Asanka  Herath,Sri Lanka,105,52.50,Bronze
108,Zdravko Peev,Bulgaria,103,51.50,Bronze
109,Jacob Stedman,Sweden,100,50.00,
110,Athinodoros Panagiotidis,Greece,99,49.50,
110,M. Serdar Soran,Türkiye,99,49.50,
112,Mikhail Melnik,Ukraine,98,49.00,
113,Adam Tylmad,Sweden,97,48.50,
114,Wacharaphan Suwansantisuk,Thailand,96,48.00,
115,Yudhi Widyatama,Indonesia,93,46.50,
116,Robert Beattie,Ireland,92,46.00,
117,Un Cheong Ieong,"Macao, China",89,44.50,
118,Maikel Rodríguez Rivero,Cuba,88,44.00,
118,Marius Gedminas,Lithuania,88,44.00,
118,Stein Norheim,Sweden,88,44.00,
121,Buddhika Kottahachchi,Sri Lanka,87,43.50,
122,Arsene Von Wyss,Switzerland,86,43.00,
122,Bora Man,Austria,86,43.00,
122,Boro Jakimovski,North Macedonia,86,43.00,
122,Miha Grčar,Slovenia,86,43.00,
122,Shachar Lovett,Israel,86,43.00,
127,Kristo Kuusküll,Estonia,85,42.50,
127,Samuli Laine,Finland,85,42.50,
127,Timothy Constantinou,Cyprus,85,42.50,
127,Tsuyoshi Ito,Japan,85,42.50,
127,Uwe Bubeck,Germany,85,42.50,
132,Lazar Otašević,Serbia and Montenegro,84,42.00,
133,Pedro Soeima,Portugal,82,41.00,
134,Alexandru Andoni,Moldova,81,40.50,
134,Andrew Cooke,United Kingdom,81,40.50,
134,Igor Trajkovski,North Macedonia,81,40.50,
134,Petros Tsantoulis,Greece,81,40.50,
138,Volodimir Ivanov,Ukraine,80,40.00,
138,Yogy Namara,Indonesia,80,40.00,
140,Justin Santa Barbara,United Kingdom,79,39.50,
140,Yeo Chuo Hao,Singapore,79,39.50,
142,Artiom Alhazov,Moldova,75,37.50,
143,Hailem Dreis Carrasco Fuentes,Cuba,74,37.00,
143,Ralf Tönjes,Germany,74,37.00,
145,Athanisios Makris,Greece,72,36.00,
145,Bjarke Roald Skjernaa,Denmark,72,36.00,
145,Konstantin Lomidze,Georgia,72,36.00,
145,Zoran Majstrović,Croatia,72,36.00,
149,Roy David Fraser,South Africa,70,35.00,
149,Yegor Kurbachev,Israel,70,35.00,
149,Árpád Andics,Hungary,70,35.00,
152,Andy Kurnia,Indonesia,69,34.50,
152,Barış Yüksel,Türkiye,69,34.50,
154,Apostolos Dimitromanolakis,Greece,68,34.00,
154,Ferdinand Fadil,Indonesia,68,34.00,
156,Alexantros Kyriakides,Cyprus,67,33.50,
156,Nils Andrey Tellería Martínez,Cuba,67,33.50,
158,Christophe Porteneuve,France,66,33.00,
158,Indulis Paičs,Latvia,66,33.00,
158,Tobias Kaufmann,Switzerland,66,33.00,
161,Johannes Jacobus Combrink,South Africa,65,32.50,
162,Chia Peir Wei,Singapore,64,32.00,
162,Michael Permana,Indonesia,64,32.00,
162,Rasim Bakhshi,Azerbaijan,64,32.00,
165,Dan Stratila,Moldova,63,31.50,
166,Chi Wing Poon,"Hong Kong, China",62,31.00,
167,Andrew Montgomery,Luxembourg,60,30.00,
167,Duvier Zuluaga,Colombia,60,30.00,
167,Raul Duque,Colombia,60,30.00,
170,Arias Juan,Colombia,59,29.50,
170,Yuen Kei Ho,"Hong Kong, China",59,29.50,
172,Giorgi Mania,Georgia,58,29.00,
172,Konstantinos Sofokleous,Cyprus,58,29.00,
174,Mestiyage Don Tyronne Sandeva Goonetilleke,Sri Lanka,56,28.00,
175,Nicolai Brinza,Moldova,54,27.00,
176,Josue Ramirez Ortiz,Mexico,53,26.50,
177,Joseph Turian,United States of America,51,25.50,
178,Graham Wesley Isacks,South Africa,48,24.00,
178,Hannu Niemistö,Finland,48,24.00,
178,Pedro Ribeiro,Portugal,48,24.00,
178,Stefan Slapeta,Austria,48,24.00,
182,Andrew Mccarthy,Ireland,47,23.50,
182,Martin Artner,Austria,47,23.50,
184,Rune Alex Berg,Denmark,46,23.00,
185,Laurent Hoss,Luxembourg,44,22.00,
185,Yu Kobayashi,Japan,44,22.00,
187,Sebastien Merle,France,42,21.00,
188,Žiga Hajduković,Slovenia,41,20.50,
189,Ruben Daniel Varela Velasco,Mexico,40,20.00,
190,Christos Evangelou,Cyprus,38,19.00,
191,Bekari Bartaia,Georgia,37,18.50,
191,Sergio Feo,Colombia,37,18.50,
193,Walter Kattick,Trinidad and Tobago,36,18.00,
194,David Pritchard,Canada,34,17.00,
195,Hsi Chan,"Hong Kong, China",33,16.50,
196,Marieke van der Vugt,Netherlands,32,16.00,
196,Sahak Petrosyan,Armenia,32,16.00,
198,Tom Meyerovitch,Israel,30,15.00,
199,Ravi Ramkissoon,Trinidad and Tobago,29,14.50,
200,Cheng-Ning Pu,Trinidad and Tobago,28,14.00,
201,Chi Chio Kuok,"Macao, China",26,13.00,
202,Pedro Madeira,Portugal,25,12.50,
203,Sergei Novikov,Israel,24,12.00,
204,Ashot Hayrapetyan,Armenia,20,10.00,
204,I. Cheang,"Macao, China",20,10.00,
204,Vahagn Pogosyan,Armenia,20,10.00,
207,George Dalakishvili,Georgia,18,9.00,
207,Vyacheslav Chernoi,Belarus,18,9.00,
209,María del Mar Cepeda García,Mexico,14,7.00,
210,Ara Hayrapetyan,Armenia,13,6.50,
210,Xavier Reyes Suarez,Mexico,13,6.50,
212,Ahmed Dashti,Kuwait,8,4.00,
213,Ali Ismail,Kuwait,7,3.50,
214,João Braga,Portugal,5,2.50,
215,Don Martin,Trinidad and Tobago,0,0.00,
215,Judith Helgers,Netherlands,0,0.00,
