Rank,Name,Country,Score,Rel_score(%),Award
1,Daniel Kráľ,Czech Republic,196,98.00,Gold
2,Xiaochuan Wang,China,194,97.00,Gold
3,Piotr Zieliński,Poland,191,95.50,Gold
4,Dušan Bezák,Slovakia,190,95.00,Gold
4,Lei Chen,China,190,95.00,Gold
6,Mark Sandler,Russia,188,94.00,Gold
7,Linas Medžiūnas,Lithuania,187,93.50,Gold
8,Miroslav Dudík,Slovakia,186,93.00,Gold
9,Janne Kujala,Finland,184,92.00,Gold
9,Kang Chun Siong,Singapore,184,92.00,Gold
9,Nikolai Durov,Russia,184,92.00,Gold
12,Victor Matyukhin,Russia,182,91.00,Gold
13,Vitaly Buka,Belarus,181,90.50,Gold
14,Jakub Pawlewicz,Poland,180,90.00,Gold
14,Won Seok Yoo,Republic of Korea,180,90.00,Gold
16,Jaroslav Blagojević,Serbia and Montenegro,179,89.50,Gold
17,Wolfgang Thaller,Austria,177,88.50,Gold
18,Roozbeh Pournader,Iran,176,88.00,Gold
18,Shenjie Li,China,176,88.00,Gold
18,Yijin Wang,China,176,88.00,Gold
21,Andrzej Gąsienica-Samek,Poland,175,87.50,Silver
21,Edwin Woudt,Netherlands,175,87.50,Silver
23,Szu-Wei Lin,Taiwan,173,86.50,Silver
24,Chou-Han Yang,Taiwan,170,85.00,Silver
24,Ivan Mihnevich,Belarus,170,85.00,Silver
24,Marius Vlad,Romania,170,85.00,Silver
24,Natthapol Wongsaroj,Thailand,170,85.00,Silver
24,Vaidas Gasiūnas,Lithuania,170,85.00,Silver
24,Vladimir Brankov,Serbia and Montenegro,170,85.00,Silver
30,Ovidiu Gheorghioiu,Romania,168,84.00,Silver
31,Alan Martin,Canada,167,83.50,Silver
32,Kasper Dupont,Denmark,166,83.00,Silver
32,Pavel Langer,Belarus,166,83.00,Silver
32,Tomas Laurinavičius,Lithuania,166,83.00,Silver
35,Karsten Sperling,Germany,163,81.50,Silver
36,Bojan Antolović,Croatia,161,80.50,Silver
37,Ante Đerek,Croatia,160,80.00,Silver
37,Cherng-Yann Ing,Taiwan,160,80.00,Silver
37,Ehsan Chiniforushan,Iran,160,80.00,Silver
37,Kirilo Simonov,Ukraine,160,80.00,Silver
41,Mihai Badoiu,Romania,158,79.00,Silver
42,Oleg Mürk,Estonia,157,78.50,Silver
43,Catalin Francu,Romania,156,78.00,Silver
43,Gábor Gosztolya,Hungary,156,78.00,Silver
43,Martin Hajduch,Slovakia,156,78.00,Silver
46,Anatoli Ponomarev,Russia,155,77.50,Silver
46,Daniel Adkins,United States of America,155,77.50,Silver
46,Mehran Mehr,Iran,155,77.50,Silver
46,Olivier Glassey,Switzerland,155,77.50,Silver
50,Wa Kam Chang,"Macao, China",154,77.00,Silver
51,Martin Jandacka,Slovakia,152,76.00,Silver
52,Sehyuk Park,Republic of Korea,151,75.50,Silver
52,Viet Phan Hai,Vietnam,151,75.50,Silver
54,Johan Thapper,Sweden,150,75.00,Silver
54,Krassimir Paskalev,Bulgaria,150,75.00,Silver
54,Rittavee Keeratiwutthikul,Thailand,150,75.00,Silver
57,Richard Michael Anderson,United Kingdom,149,74.50,Bronze
58,Alex Evans,United Kingdom,148,74.00,Bronze
58,Aziz Çağatay Kurt,Türkiye,148,74.00,Bronze
60,Michael Olaf Schnürer,Germany,147,73.50,Bronze
61,Chuan-Kai Lin,Taiwan,144,72.00,Bronze
62,Djordje Milićević,Serbia and Montenegro,142,71.00,Bronze
62,Puttiphan Polnyanunt,Thailand,142,71.00,Bronze
62,Yusuf Çapar,Türkiye,142,71.00,Bronze
62,Zarko Aleksovski,North Macedonia,142,71.00,Bronze
66,Eoin Curran,Ireland,138,69.00,Bronze
66,Jurko Gospodnetić,Croatia,138,69.00,Bronze
68,Adam Borowski,Poland,136,68.00,Bronze
69,Georgi Peev,Bulgaria,135,67.50,Bronze
69,Roland Lakatos,Hungary,135,67.50,Bronze
71,Matthew Craighead,United States of America,133,66.50,Bronze
71,Tomáš Tichý,Czech Republic,133,66.50,Bronze
73,Donny Cheung,Canada,131,65.50,Bronze
74,Bruce Merry,South Africa,128,64.00,Bronze
Guest,Pééter Ungár,Hungary 2,128,64.00,Bronze
75,Magnus Hiie,Estonia,127,63.50,Bronze
75,The Bui Duy,Vietnam,127,63.50,Bronze
77,Vesa Rantanen,Finland,126,63.00,Bronze
78,Hyung Chan An,Republic of Korea,124,62.00,Bronze
79,Janez Brank,Slovenia,123,61.50,Bronze
80,Hoang Nguyen Dung,Vietnam,121,60.50,Bronze
