Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Victor Bargatchev,Russia,30,40,26,30,28,32,186,93.00,Gold
2,Patrick Smears,United Kingdom,30,28,23,30,27,40,178,89.00,Gold
3,Gabor Kovacs,Hungary,30,32,27,30,20,32,171,85.50,Gold
4,Darrin Petkov,Bulgaria,12,40,18,30,30,40,170,85.00,Gold
4,Tetsushi Ito,Japan,30,40,20,30,18,32,170,85.00,Gold
6,Jiří Hájek,Czech Republic,30,28,20,30,28,32,168,84.00,Gold
7,Martin Mareš,Czech Republic,30,40,30,30,30,4,164,82.00,Gold
8,Peng Zhao,China,24,40,23,30,18,28,163,81.50,Gold
9,Linas Medžiūnas,Lithuania,21,40,18,30,28,24,161,80.50,Gold
9,Yu Yang,China,30,24,17,30,28,32,161,80.50,Gold
11,Gyorgy Gabor Blahut,Hungary,30,28,24,30,15,32,159,79.50,Gold
11,Russell Cox,United States of America,18,32,29,30,18,32,159,79.50,Gold
13,Erik Laansoo,Estonia,24,16,26,30,29,32,157,78.50,Gold
14,Ling Lin,China,24,36,14,19,26,36,155,77.50,Gold
14,Mark Sandler,Russia,30,32,8,27,18,40,155,77.50,Gold
16,Robert Špalek,Czech Republic,30,28,5,30,19,40,152,76.00,Gold
16,Sifaan Zavahir,Sri Lanka,24,24,22,30,28,24,152,76.00,Gold
18,Mihai Badoiu,Romania,27,40,4,30,18,32,151,75.50,Gold
18,Pavel Machek,Czech Republic,24,16,19,30,30,32,151,75.50,Gold
18,Peter Fige,Hungary,12,32,27,30,18,32,151,75.50,Gold
21,Jakub Pawlewicz,Poland,30,36,20,30,9,24,149,74.50,Silver
21,Martin Makúch,Slovakia,30,28,15,30,14,32,149,74.50,Silver
23,Hubert Chen,United States of America,15,32,13,30,28,28,146,73.00,Silver
23,Radu-Lucian Lupsa,Romania,18,24,27,15,30,32,146,73.00,Silver
23,Virgil Palanciuc,Romania,21,36,25,22,18,24,146,73.00,Silver
26,Loh Shanming,Singapore,30,4,26,30,15,40,145,72.50,Silver
26,Nikolai Durov,Russia,30,40,11,10,26,28,145,72.50,Silver
28,Vesa Rantanen,Finland,18,28,8,22,28,40,144,72.00,Silver
29,Arjen Vreugdenhil,Netherlands,30,28,16,19,18,32,143,71.50,Silver
30,Iuliu Vasilescu,Romania,30,20,24,10,18,40,142,71.00,Silver
31,Chen Fu Huang,Taiwan,30,28,18,26,18,20,140,70.00,Silver
31,Kari Visala,Finland,24,24,0,30,26,36,140,70.00,Silver
31,Yung Chun Wan,"Hong Kong, China",24,28,21,26,21,20,140,70.00,Silver
34,Chen Zhang,China,21,32,16,12,30,28,139,69.50,Silver
34,Ian Miguel García Aranguren,Cuba,21,40,20,0,18,40,139,69.50,Silver
34,Martin Stein,Germany,24,40,13,30,28,4,139,69.50,Silver
37,Miha Vuk,Slovenia,24,36,22,0,14,40,136,68.00,Silver
38,Georgi Peev,Bulgaria,15,24,15,30,29,20,133,66.50,Silver
39,Roozbeh Pournader,Iran,18,8,20,24,30,32,132,66.00,Silver
40,Le Si Quang,Vietnam,15,32,0,24,28,32,131,65.50,Silver
40,Mehran Mehr,Iran,30,40,15,0,18,28,131,65.50,Silver
42,Miroslav Dudík,Slovakia,30,28,19,23,18,12,130,65.00,Silver
42,Ping Che Cheng,Taiwan,30,36,17,9,18,20,130,65.00,Silver
44,Chang Hao Tsai,Taiwan,30,32,16,0,27,24,129,64.50,Silver
45,Piotr Zieliński,Poland,30,40,17,0,9,32,128,64.00,Silver
46,Davor Lovrić,Croatia,18,32,18,17,18,24,127,63.50,Silver
46,Heno Ivanov,Estonia,18,28,25,13,23,20,127,63.50,Silver
46,Se Hee Park,Republic of Korea,15,28,4,30,18,32,127,63.50,Silver
46,Thomas Klute,Germany,27,24,22,30,24,0,127,63.50,Silver
50,Wirawan Purwanto,Indonesia,30,24,19,25,19,8,125,62.50,Silver
51,Asanka  Herath,Sri Lanka,30,16,23,0,27,28,124,62.00,Silver
52,Janez Brank,Slovenia,27,28,26,16,6,20,123,61.50,Silver
53,Kevin Liu,South Africa,6,20,19,30,19,28,122,61.00,Silver
54,Joris van Rantwijk,Netherlands,12,28,24,4,21,32,121,60.50,Silver
55,Sergey Sinkevich,Belarus,18,40,2,21,15,24,120,60.00,Silver
55,Son Bao Pham,Vietnam,24,40,1,12,23,20,120,60.00,Silver
57,Guangping Gao,China,18,28,24,30,18,0,118,59.00,Bronze
57,Jaap Beetstra,Netherlands,12,40,22,22,18,4,118,59.00,Bronze
57,Nantapon Chaimankong,Thailand,30,16,24,14,30,4,118,59.00,Bronze
57,Young Min Choi,Republic of Korea,30,40,11,26,7,4,118,59.00,Bronze
