Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
77,Farkhod Khakimiyon,Tajikistan,100,17,49,63,51,4,284,47.33,Silver
77,Kevin Pucci,Portugal,97,31,49,53,18,36,284,47.33,Silver
79,Mehrdad Saberi,Iran,100,37,49,53,5,36,280,46.67,Silver
79,Sofiia Melnyk,Ukraine,100,37,49,53,5,36,280,46.67,Silver
81,Charilaos Pipis,Greece,100,17,49,53,18,36,273,45.50,Silver
81,Rahul Arya,"Hong Kong, China",94,11,49,72,11,36,273,45.50,Silver
81,Sanchayapol Lewgasamsarn,Thailand,100,17,49,53,18,36,273,45.50,Silver
84,Ahmad Haulian Yoga Pratama,Indonesia,100,37,49,16,51,19,272,45.33,Silver
85,Lok Kan Yuen,"Hong Kong, China",100,11,49,86,6,19,271,45.17,Bronze
86,Martin Širokov,Estonia,100,0,34,100,0,36,270,45.00,Bronze
87,Josef Minařík,Czech Republic,100,5,49,47,51,17,269,44.83,Bronze
88,Roberts Leonārs Svarinskis,Latvia,100,17,49,100,0,0,266,44.33,Bronze
89,Federico Stazi,Italy,100,17,49,63,0,36,265,44.17,Bronze
89,Thanadol Chomphoochan,Thailand,100,37,49,25,18,36,265,44.17,Bronze
91,Ikumi Shimizu,Japan,88,17,49,39,11,60,264,44.00,Bronze
92,Gediminas Lelešius,Lithuania,100,11,49,62,5,36,263,43.83,Bronze
93,Arend Mellendijk,Netherlands,100,11,15,100,0,36,262,43.67,Bronze
93,Nurbakyt Madibek,Kazakhstan,100,37,49,6,51,19,262,43.67,Bronze
95,Costin-Andrei Oncescu,Romania,100,17,15,2,90,36,260,43.33,Bronze
95,Victor Deng,France,100,17,49,53,5,36,260,43.33,Bronze
97,Anastasios Panagopoulos,Greece,100,11,49,63,0,36,259,43.17,Bronze
97,Arthur Léonard,France,100,31,100,6,18,4,259,43.17,Bronze
Guest,Riku Kishida,Japan 2,97,37,15,53,12,45,259,43.17,Bronze
99,Alexandru Rudi,Moldova,100,37,49,16,18,36,256,42.67,Bronze
99,Caner Demirer,Türkiye,100,37,49,53,0,17,256,42.67,Bronze
99,Gabriel Cojocaru,Moldova,100,37,49,16,18,36,256,42.67,Bronze
102,Martin Melicher,Slovakia,100,31,49,39,0,36,255,42.50,Bronze
102,Mohammad Alkilani,Jordan,100,17,49,2,51,36,255,42.50,Bronze
104,Zoltán Gábor Molnár-Sáska,Hungary,100,17,49,18,51,19,254,42.33,Bronze
105,Tenuun Olonbaatar,Mongolia,100,11,49,6,51,36,253,42.17,Bronze
106,Fabio Pruneri,Italy,100,17,49,62,5,19,252,42.00,Bronze
107,Radoslav Dimitrov,Bulgaria,100,11,49,20,51,19,250,41.67,Bronze
107,Tadija Šebez,Serbia,30,17,49,100,18,36,250,41.67,Bronze
109,Seyed Mahdi Sadegh Shobeiri,Iran,100,37,49,26,0,36,248,41.33,Bronze
109,Willem Stuijt,Chile,100,5,49,53,5,36,248,41.33,Bronze
111,Luca Cavalleri,Italy,100,17,49,37,5,36,244,40.67,Bronze
111,Noam Gutterman,Israel,100,11,49,37,11,36,244,40.67,Bronze
111,Pavel Hudec,Czech Republic,97,31,15,53,12,36,244,40.67,Bronze
111,Richard Luhtaru,Estonia,100,11,0,63,51,19,244,40.67,Bronze
115,Evangelos Pipis,Greece,100,17,49,6,51,19,242,40.33,Bronze
115,Ondrej Baranovič,Slovakia,100,31,49,53,5,4,242,40.33,Bronze
117,Paulína Smolárová,Slovakia,100,17,49,43,12,19,240,40.00,Bronze
118,Adalbert Makarovych,Ukraine,100,37,49,6,11,36,239,39.83,Bronze
119,Jirayu Burapacheep,Thailand,100,17,49,0,51,19,236,39.33,Bronze
120,Dawid Jamka,Poland,94,17,49,53,0,21,234,39.00,Bronze
121,Diego García Rodríguez del Campo,Mexico,100,11,49,26,11,36,233,38.83,Bronze
121,Koichi Namekata,Japan,30,37,49,63,18,36,233,38.83,Bronze
123,Leonard Inkret,Croatia,100,11,49,53,0,19,232,38.67,Bronze
123,Mehmet Hamza Erol,Türkiye,94,17,49,53,0,19,232,38.67,Bronze
125,Håvard Rognebakke Krogstie,Norway,100,11,34,53,11,21,230,38.33,Bronze
125,Mohamad Dwik,Syria,100,17,49,16,12,36,230,38.33,Bronze
125,Muhammad Salman Al Farisi,Indonesia,94,17,49,16,18,36,230,38.33,Bronze
128,Mohamed Ehab,Egypt,100,37,49,6,0,36,228,38.00,Bronze
129,Gregor Kikelj,Slovenia,100,11,49,47,0,19,226,37.67,Bronze
129,William Hu,United States of America,97,17,49,16,11,36,226,37.67,Bronze
131,Hoang Hai Minh Nguyen,Vietnam,97,37,49,6,0,36,225,37.50,Bronze
132,Milin Kodnongbua,Thailand,30,17,49,53,12,60,221,36.83,Bronze
133,Kerim Kochekov,Turkmenistan,100,17,49,0,18,36,220,36.67,Bronze
133,Michal Jireš,Czech Republic,100,0,15,86,0,19,220,36.67,Bronze
135,Basim Khajwal,United Kingdom,100,17,49,6,11,36,219,36.50,Bronze
135,Hua Jun Teow,Singapore,100,17,49,16,18,19,219,36.50,Bronze
137,Aleksa Milisavljević,Serbia,100,17,15,16,51,19,218,36.33,Bronze
138,Ahmad Haidar,Syria,97,17,49,6,12,36,217,36.17,Bronze
138,Erik Sünderhauf,Germany,100,11,49,16,5,36,217,36.17,Bronze
138,Martin Kopchev,Bulgaria,100,37,49,6,6,19,217,36.17,Bronze
141,Ernest Van Wijland,Netherlands,94,11,41,16,18,36,216,36.00,Bronze
141,Harvey Yau,United Kingdom,100,5,0,100,11,0,216,36.00,Bronze
141,Khanh Nguyen,Vietnam,100,11,49,2,18,36,216,36.00,Bronze
144,Harris Leung,"Hong Kong, China",100,0,15,100,0,0,215,35.83,Bronze
145,Andrea Ciprietti,Italy,100,0,15,63,0,36,214,35.67,Bronze
146,Alexander Vidal Zhukova,Spain,100,11,15,63,5,19,213,35.50,Bronze
146,Florian Jüngermann,Germany,100,11,49,53,0,0,213,35.50,Bronze
148,Nader Jemel,Tunisia,100,5,34,16,18,36,209,34.83,Bronze
148,Nicolas Camenisch,Switzerland,100,17,49,6,18,19,209,34.83,Bronze
150,Toomas Tennisberg,Estonia,100,11,49,10,0,36,206,34.33,Bronze
151,Birk Tjelmeland,Norway,94,0,49,53,5,4,205,34.17,Bronze
151,Orsolya Lili Janzer,Hungary,100,0,0,86,0,19,205,34.17,Bronze
151,Rezwan Arefin,Bangladesh,100,17,49,6,12,21,205,34.17,Bronze
154,Daniel Báez,Chile,100,17,15,53,0,19,204,34.00,Bronze
154,Kieran Horgan,Ireland,100,31,49,0,5,19,204,34.00,Bronze
154,Áron Noszály,Hungary,100,11,15,47,12,19,204,34.00,Bronze
157,Renāts Jurševskis,Latvia,100,11,49,2,5,36,203,33.83,Bronze
157,Sanzhar Bidaibek,Kazakhstan,97,11,49,10,0,36,203,33.83,Bronze
159,Viktor Terziev,Bulgaria,100,37,49,15,0,0,201,33.50,Bronze
159,Yusuf Kılıçarslan,Türkiye,97,17,15,53,0,19,201,33.50,Bronze
161,Andrej Velichkovski,North Macedonia,30,37,15,63,51,4,200,33.33,Bronze
162,Eduards Gaņkins,Latvia,97,11,49,6,0,36,199,33.17,Bronze
163,Hugo Eberhard,Sweden,100,37,49,6,0,4,196,32.67,Bronze
163,Lautaro Lasorsa,Argentina,100,17,0,43,0,36,196,32.67,Bronze
165,Iļja Čaikovskis,Latvia,100,17,49,26,0,0,192,32.00,Bronze
166,Nurlykhan Kairly,Kazakhstan,30,17,49,6,51,36,189,31.50,Bronze
167,Felix Moreno Peñarrubia,Spain,100,0,15,53,0,19,187,31.17,Bronze
168,Aleksandre Khokhiashvili,Georgia,100,17,49,0,0,19,185,30.83,
169,Laura Elena Massaccesi,Argentina,100,17,0,63,0,4,184,30.67,
170,Mamnoon Siam,Bangladesh,30,17,49,0,51,36,183,30.50,
171,Ivan Carvalho,Brazil,97,17,15,16,18,19,182,30.33,
172,Arthur Massar,Belgium,100,0,34,16,12,19,181,30.17,
172,Fox Thomson,United Kingdom,97,17,0,63,0,4,181,30.17,
174,Muhannad Alwarawreh,Jordan,100,11,15,6,11,36,179,29.83,
175,Abutalib Namazov,Azerbaijan,100,11,7,6,18,36,178,29.67,
176,Charalampos Georgiou,Cyprus,100,0,34,16,5,21,176,29.33,
177,Martin Dinev,North Macedonia,30,11,15,100,0,19,175,29.17,
178,Urban Duh,Slovenia,100,17,15,6,0,36,174,29.00,
179,CJ Quines,Philippines,100,5,49,0,0,19,173,28.83,
179,Long Huen Chan,"Hong Kong, China",97,5,15,2,18,36,173,28.83,
179,Reijer van Harten,Netherlands,100,5,15,53,0,0,173,28.83,
182,Aleksa Milojević,Serbia,100,0,15,53,0,4,172,28.67,
182,Robin Gugel,Austria,100,11,49,6,6,0,172,28.67,
184,Tim Poštuvan,Slovenia,100,11,49,11,0,0,171,28.50,
185,Vahan Martirosyan,Armenia,100,17,49,0,0,4,170,28.33,
186,Dominik Fistric,Croatia,100,17,15,6,12,19,169,28.17,
186,Mohammed Taariq Mowzer,South Africa,100,11,15,24,0,19,169,28.17,
186,Ruhan Habib,Bangladesh,97,11,49,12,0,0,169,28.17,
189,Ignacio Muñoz,Chile,100,11,15,37,0,4,167,27.83,
190,Niklas Hauber,Austria,30,31,15,53,0,36,165,27.50,
191,Bibin Muttappillil,Switzerland,97,17,0,2,12,36,164,27.33,
191,Idan Izmirli,Israel,100,0,0,45,0,19,164,27.33,
193,Adhyyan Sekhsaria,India,30,11,49,53,0,19,162,27.00,
193,Erik Amirell Eklöf,Sweden,100,11,15,0,0,36,162,27.00,
195,Christian Bertram,Denmark,30,11,0,100,0,19,160,26.67,
195,Vano Gamezardashvili,Georgia,100,0,0,6,18,36,160,26.67,
197,Omurbek Dzhamalov,Kyrgyzstan,97,0,15,6,5,36,159,26.50,
198,Javier López-Contreras González,Spain,100,5,0,16,0,36,157,26.17,
199,Julián Rodríguez Cárdenas,Mexico,100,5,15,6,11,19,156,26.00,
199,Tugsgerel Lkhagvasuren,Mongolia,100,17,7,2,11,19,156,26.00,
201,Janine Lohse,Germany,97,11,15,6,6,19,154,25.67,
201,Luciano Massa,Chile,97,5,15,6,12,19,154,25.67,
201,Ziya Mukhtarov,Azerbaijan,30,11,49,16,12,36,154,25.67,
204,Batmend Batsaikhan,Mongolia,100,0,15,2,0,36,153,25.50,
204,Otto Winter,Austria,30,11,49,16,11,36,153,25.50,
206,Akbarzhon Madaminov,Kyrgyzstan,30,17,49,25,12,19,152,25.33,
206,Jozef Fülöp,Slovakia,100,11,0,37,0,4,152,25.33,
206,Matheus Viana,Brazil,30,17,49,2,18,36,152,25.33,
206,Tamer Emad,Syria,97,11,34,6,0,4,152,25.33,
210,Ralph McDougall,South Africa,94,11,15,0,11,19,150,25.00,
211,Muamer Parić,Bosnia and Herzegovina,100,11,15,0,18,4,148,24.67,
212,Aleksandr Abelyan,Armenia,97,0,15,16,0,19,147,24.50,
212,Brayan Duran Medina,Cuba,30,0,49,49,0,19,147,24.50,
212,Mahmoud Adel,Egypt,97,0,34,16,0,0,147,24.50,
212,Roger Trujillo,Colombia,100,0,0,47,0,0,147,24.50,
216,Bruno Ploumhans,Belgium,97,11,15,19,0,4,146,24.33,
216,Drago Šmitran,Bosnia and Herzegovina,100,11,15,16,0,4,146,24.33,
218,David Rasmussen Lolck,Denmark,100,0,15,9,0,19,143,23.83,
219,Corneliu Pașa,Moldova,100,0,0,24,0,17,141,23.50,
220,José Ángel Cázares Torres,Mexico,30,11,49,2,11,36,139,23.17,
221,Dimitrios Rontogiannis,Greece,30,11,49,0,11,36,137,22.83,
222,Franz Louis Cesista,Philippines,30,17,49,16,5,19,136,22.67,
223,Angelos Assos,Cyprus,100,11,15,6,0,0,132,22.00,
224,Tian Cilliers,South Africa,97,11,0,16,0,4,128,21.33,
225,Asadullo Ganiev,Uzbekistan,100,0,0,2,5,19,126,21.00,
226,Mahmoud Badawy,Egypt,30,11,49,16,0,19,125,20.83,
226,Murhaf Alawir,Syria,100,0,15,6,0,4,125,20.83,
228,Alexander Skovsende,Denmark,100,11,7,0,0,4,122,20.33,
229,Robert Koprinkov,Netherlands,30,11,49,6,5,19,120,20.00,
