Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Huacheng Yu,China,100,100,88,100,100,70,558,93.00,Gold
2,Panupong Pasupat,Thailand,100,67,62,100,100,45,474,79.00,Gold
3,Dong Zhou,China,100,0,100,100,100,70,470,78.33,Gold
3,Marcin Kościelnicki,Poland,100,0,100,100,100,70,470,78.33,Gold
5,Goran Žužić,Croatia,100,6,100,100,100,60,466,77.67,Gold
6,Cosmin Gheorghe,Romania,100,65,100,6,100,70,441,73.50,Gold
7,Gennady Korotkevich,Belarus,100,45,22,100,100,70,437,72.83,Gold
8,David Benjamin,United States of America,100,57,62,100,100,10,429,71.50,Gold
9,Jack Murray,Australia,100,0,86,100,100,35,421,70.17,Gold
10,Neal Wu,United States of America,100,10,100,100,100,10,420,70.00,Gold
11,Julian Fischer,Germany,100,0,57,100,100,60,417,69.50,Gold
12,Chan Min Kim,Republic of Korea,100,10,60,100,72,70,412,68.67,Gold
13,Danqi Chen,China,100,67,74,100,34,35,410,68.33,Gold
14,Marcin Andrychowicz,Poland,100,10,29,100,100,70,409,68.17,Gold
15,Sergey Rogulenko,Russia,100,5,100,68,100,35,408,68.00,Gold
16,Han Jay Yang,Taiwan,100,0,62,100,100,35,397,66.17,Gold
17,András Eisenberger,Hungary,100,70,10,100,100,10,390,65.00,Gold
18,Jarosław Błasiok,Poland,100,6,23,100,100,60,389,64.83,Gold
19,Hanson Wang,Canada,100,10,67,100,100,10,387,64.50,Gold
20,Tana Wattanawaroon,Thailand,100,0,67,100,100,15,382,63.67,Gold
21,Vladislav Epifanov,Russia,100,2,29,100,100,35,366,61.00,Gold
22,Irvan Jahja,Indonesia,100,0,26,100,100,35,361,60.17,Gold
23,Kazuhiro Hosaka,Japan,100,10,35,100,100,15,360,60.00,Gold
24,Che Yang Wu,Taiwan,100,2,100,49,90,15,356,59.33,Gold
25,Makoto Soejima,Japan,100,0,48,69,100,35,352,58.67,Silver
26,Maciej Klimek,Poland,100,10,100,0,100,35,345,57.50,Silver
27,Jae Sung Park,Republic of Korea,100,0,100,10,93,35,338,56.33,Silver
28,Pāvels Cupikovs,Latvia,100,0,33,74,100,0,307,51.17,Silver
29,Jacob Steinhardt,United States of America,100,0,68,0,100,35,303,50.50,Silver
29,Zhomart Sadykov,Kazakhstan,40,7,77,69,100,10,303,50.50,Silver
31,Sun il Kwon,Republic of Korea,100,0,23,7,100,70,300,50.00,Silver
32,Lim Wei Quan,Singapore,100,0,62,0,100,30,292,48.67,Silver
33,Vladimír Boža,Slovakia,100,4,26,30,100,25,285,47.50,Silver
34,Paul Baltescu,Romania,100,10,40,1,100,30,281,46.83,Silver
35,Balázs Szalkai,Hungary,100,7,68,68,36,0,279,46.50,Silver
36,Johannes Josi,Switzerland,86,0,62,28,100,0,276,46.00,Silver
37,Brian Hamrick,United States of America,100,2,24,100,34,15,275,45.83,Silver
38,Ronald Ping Man Chan,New Zealand,100,0,16,58,100,0,274,45.67,Silver
38,Yury Pisarchyk,Belarus,100,0,0,69,100,5,274,45.67,Silver
40,Linyun Yu,China,100,7,8,23,100,35,273,45.50,Silver
40,Momchil Slavchev  Tomov,Bulgaria,100,0,53,5,100,15,273,45.50,Silver
42,Akim Kumok,Russia,100,10,68,19,40,35,272,45.33,Silver
42,Ivo Sluganovic,Croatia,100,10,62,0,100,0,272,45.33,Silver
44,Abel Nieto Rodriguez,Cuba,100,0,36,0,100,35,271,45.17,Silver
45,Abhabongse Janthong,Thailand,100,0,40,68,61,0,269,44.83,Silver
46,Wiktor Jakubiuk,United Kingdom,48,0,50,70,100,0,268,44.67,Silver
47,Miroslav Klimoš,Czech Republic,100,0,62,5,100,0,267,44.50,Silver
48,Jelle van den Hooff,Netherlands,100,0,5,24,100,35,264,44.00,Silver
49,Miroslaw Michalski,United Kingdom,100,5,50,8,100,0,263,43.83,Silver
50,Cheuk Ting Li,"Hong Kong, China",20,0,26,100,100,15,261,43.50,Silver
51,Raman Udavichenka,Belarus,100,0,7,7,100,45,259,43.17,Silver
52,Ji Hoon Ryoo,Republic of Korea,100,0,29,4,100,25,258,43.00,Silver
53,Erik Massop,Netherlands,100,0,27,48,60,20,255,42.50,Silver
53,Massimo Cairo,Italy,86,0,0,49,100,20,255,42.50,Silver
55,Ruslan Simonenko,Ukraine,100,0,53,0,100,0,253,42.17,Silver
56,Bakhytzhan Baizhikenov,Kazakhstan,100,0,26,0,100,25,251,41.83,Silver
57,Enrique Lira Vargas,Mexico,100,0,33,0,100,15,248,41.33,Silver
57,Gediminas Liktaras,Lithuania,100,0,0,68,80,0,248,41.33,Silver
59,Nhan Nguyen,Vietnam,100,5,42,0,100,0,247,41.17,Silver
60,Alexander Kaluzhin,Russia,30,10,48,18,100,40,246,41.00,Silver
60,Harry Slatyer,Australia,100,0,3,28,100,15,246,41.00,Silver
62,Gunnar Peng,Sweden,100,10,40,6,58,30,244,40.67,Silver
63,Jarrah Lacko,Australia,100,10,62,11,55,5,243,40.50,Silver
63,Peter Ondrúška,Slovakia,100,10,13,0,80,40,243,40.50,Silver
65,Miklos Danka,Hungary,100,0,11,15,100,15,241,40.17,Silver
66,Son Nguyen,Vietnam,100,0,8,6,90,35,239,39.83,Silver
66,Vladimir Serbinenko,Switzerland,30,2,2,100,100,5,239,39.83,Silver
68,You Cheng Syu,Taiwan,100,0,17,16,100,0,233,38.83,Silver
69,Frederick Manners,United Kingdom,10,67,0,68,85,0,230,38.33,Silver
69,Rumen Hristov,Bulgaria,90,0,24,6,100,10,230,38.33,Silver
71,Roman Smrž,Czech Republic,100,0,21,0,93,15,229,38.17,Silver
72,Patrik Fimml,Austria,100,0,23,0,100,5,228,38.00,Bronze
73,Louis Jachiet,France,100,11,16,0,100,0,227,37.83,Bronze
74,Sergiy Mogylnyy,Ukraine,100,0,26,0,100,0,226,37.67,Bronze
75,Arif Oğuz Yıldız,Türkiye,100,0,14,11,100,0,225,37.50,Bronze
76,Doeke Wolf,Netherlands,100,0,0,0,85,35,220,36.67,Bronze
