Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Gennady Korotkevich,Belarus,100,95,100,100,100,100,83,100,778,94.88,Gold
2,Rumen Hristov,Bulgaria,100,75,100,85,100,100,89,100,749,91.34,Gold
3,Adrian Jaskółka,Poland,100,82,100,100,100,100,79,75,736,89.76,Gold
4,Wenyu Cao,United States of America,100,94,100,79,100,100,62,100,735,89.63,Gold
5,Michael Cohen,United States of America,100,84,100,87,100,100,49,100,720,87.80,Gold
6,Robin Cheng,Canada,100,92,100,101,100,100,74,50,717,87.44,Gold
7,Tsotne Tabidze,Georgia,100,92,100,100,100,100,68,50,710,86.59,Gold
8,David Klaska,Czech Republic,100,87,100,89,100,100,83,50,709,86.46,Gold
9,Shogo Murai,Japan,100,83,100,96,100,100,79,50,708,86.34,Gold
10,Qiwei Feng,China,100,88,100,92,100,100,77,50,707,86.22,Gold
11,Luhang Lai,China,100,88,100,98,100,100,70,50,706,86.10,Gold
12,Pasin Manurangsi,Thailand,100,94,100,89,100,100,71,50,704,85.85,Gold
13,Neal Wu,United States of America,100,91,100,93,100,100,66,50,700,85.37,Gold
14,Simon Bürger,Germany,100,77,100,74,100,100,46,100,697,85.00,Gold
15,Ivica Kičić,Croatia,100,79,100,98,100,100,67,50,694,84.63,Gold
16,Hynek Jemelík,Czech Republic,100,75,100,93,100,100,75,50,693,84.51,Gold
16,Masaki Hara,Japan,100,87,100,81,100,100,75,50,693,84.51,Gold
16,Vladislav Haralampiev,Bulgaria,100,79,100,97,100,100,67,50,693,84.51,Gold
19,Fabian Gundlach,Germany,100,84,100,96,100,100,62,50,692,84.39,Gold
Guest,Aurick Qiao,Canada 2,100,78,100,97,100,100,66,50,691,84.27,Gold
20,Ting-Wei Chen,Taiwan,100,85,100,101,100,100,54,50,690,84.15,Gold
21,Dong Gu Kang,Republic of Korea,100,92,100,84,100,100,63,50,689,84.02,Gold
22,Mikhail Pyaderkin,Russia,100,83,100,99,100,100,55,50,687,83.78,Gold
22,Raymond Kang Seng Ing,Singapore,100,79,100,99,100,100,59,50,687,83.78,Gold
24,Ali Babaei Chshmehahmadrezaei,Iran,100,92,100,99,100,100,45,50,686,83.66,Gold
24,Sergey Fedorov,Russia,100,85,100,80,100,100,71,50,686,83.66,Gold
26,Anna Piekarska,Poland,100,83,100,77,100,100,75,50,685,83.54,Silver
26,Attila Dankovics,Hungary,100,92,100,88,100,100,55,50,685,83.54,Silver
26,Chin Zhan Xiong,Singapore,100,89,100,87,100,100,59,50,685,83.54,Silver
26,Yuchao Pan,China,100,87,100,72,100,100,76,50,685,83.54,Silver
30,Chak Fai Yuen,"Hong Kong, China",100,75,100,70,100,100,89,50,684,83.41,Silver
31,Yi Wu,China,100,91,100,74,100,100,68,50,683,83.29,Silver
32,Marijonas Petrauskas,Lithuania,100,85,100,80,100,100,67,50,682,83.17,Silver
33,Giovanni Paolini,Italy,100,83,80,95,100,100,71,50,679,82.80,Silver
34,Jan Kanty Milczek,Poland,100,92,100,71,100,100,65,50,678,82.68,Silver
34,Roman Andreev,Russia,100,80,100,77,100,100,71,50,678,82.68,Silver
36,Gleb Evstropov,Russia,100,75,100,92,100,100,58,50,675,82.32,Silver
36,Mathias Tejs Knudsen,Denmark,100,83,100,74,100,100,68,50,675,82.32,Silver
38,Bogdan-Cristian Tataroiu,Romania,100,91,100,75,100,100,58,50,674,82.20,Silver
38,Veerakan Sinthaveelertmongkol,Thailand,100,80,100,83,100,100,61,50,674,82.20,Silver
40,Simon Lindholm,Sweden,100,81,100,92,100,100,50,50,673,82.07,Silver
41,Massimo Cairo,Italy,100,87,100,86,100,100,48,50,671,81.83,Silver
42,Bariş Kaya,Türkiye,100,89,100,74,100,100,54,50,667,81.34,Silver
43,Brian Hamrick,United States of America,100,96,100,60,100,100,60,50,666,81.22,Silver
44,Man Hin Jeffrey Hon,"Hong Kong, China",100,78,100,77,100,100,59,50,664,80.98,Silver
44,Suthee Ruangwises,Thailand,100,83,60,98,100,100,73,50,664,80.98,Silver
Guest,Tyson Andre,Canada 2,100,50,100,96,100,100,65,50,661,80.61,Silver
46,Anish Shankar,India,100,90,100,55,100,100,65,50,660,80.49,Silver
46,Chun-Pai Yang,Taiwan,100,78,100,56,100,100,76,50,660,80.49,Silver
48,Ján Hozza,Slovakia,100,79,100,77,100,100,51,50,657,80.12,Silver
49,Emad Farag  William,Egypt,100,83,100,77,100,100,46,50,656,80.00,Silver
49,Kensuke Imanishi,Japan,100,78,60,89,100,100,79,50,656,80.00,Silver
49,Vlastimil Dort,Czech Republic,100,83,100,61,100,100,62,50,656,80.00,Silver
52,Bas Nieuwenhuizen,Netherlands,100,85,60,96,100,100,64,50,655,79.88,Silver
53,Yevgen Vasyliv,Ukraine,100,83,100,70,100,100,45,50,648,79.02,Silver
54,Eduards Kaļiņičenko,Latvia,100,80,100,55,100,100,60,50,645,78.66,Silver
54,Felipe Abella Cavalcante Mendonça de Souza,Brazil,100,79,60,100,100,100,56,50,645,78.66,Silver
56,Ivan Katanić,Croatia,100,77,60,77,100,100,80,50,644,78.54,Silver
57,Keshav Dhandhania,India,100,83,100,56,100,100,52,50,641,78.17,Silver
58,Jui-Min Lee,Taiwan,100,80,60,69,100,100,81,50,640,78.05,Silver
59,Tomáš Belan,Slovakia,100,81,60,98,100,100,50,50,639,77.93,Silver
60,Hiroshi Yamashita,Japan,100,77,60,96,100,100,54,50,637,77.68,Silver
60,Stjepan Glavina,Croatia,100,75,100,58,100,100,54,50,637,77.68,Silver
62,Žiga Ham,Slovenia,100,77,60,89,100,100,59,50,635,77.44,Silver
63,Alham Fikri Aji,Indonesia,100,50,60,94,100,100,80,50,634,77.32,Silver
63,Brian Bi,Canada,100,83,60,80,100,100,61,50,634,77.32,Silver
65,Mehrdad Tahmasbi,Iran,100,77,60,90,100,100,54,50,631,76.95,Silver
65,Seyed Mehran Kholdi,Iran,100,79,60,69,100,100,73,50,631,76.95,Silver
67,Anton Georgiev  Anastasov,Bulgaria,100,77,60,75,100,100,68,50,630,76.83,Silver
68,Andras Meszaros,Hungary,100,79,100,49,100,100,0,100,628,76.59,Silver
69,Johannes Laire,Finland,100,50,60,84,100,100,82,50,626,76.34,Silver
70,Ashar Fuadi,Indonesia,100,50,60,99,100,100,64,50,623,75.98,Silver
71,Martin Fixman,Argentina,100,82,60,59,100,100,71,50,622,75.85,Silver
72,Aaron Montag,Germany,100,84,60,70,100,100,57,50,621,75.73,Silver
72,Normunds Vilciņš,Latvia,100,81,60,57,100,100,73,50,621,75.73,Silver
72,Yu-Hsuan Lai,Taiwan,100,88,60,75,100,100,48,50,621,75.73,Silver
75,Adrian Satja Kurdija,Croatia,100,92,60,78,100,100,40,50,620,75.61,Silver
75,Dooho Chang,Republic of Korea,100,86,60,61,100,100,63,50,620,75.61,Silver
75,Simon Forest,France,100,87,100,58,100,100,50,25,620,75.61,Silver
78,Sean Wentzel,South Africa,100,75,80,72,100,100,42,50,619,75.49,Bronze
79,Boris Grubić,Serbia,100,79,100,42,100,100,47,50,618,75.37,Bronze
80,Vlad Alexandru Gavrilă,Romania,100,50,60,100,100,100,56,50,616,75.12,Bronze
81,Kęstutis Vilčinskas,Lithuania,100,50,60,85,100,100,69,50,614,74.88,Bronze
82,Aliaksei Kolesau,Belarus,100,85,60,70,100,100,47,50,612,74.63,Bronze
82,Buğrahan Şahin,Türkiye,100,79,60,58,100,100,65,50,612,74.63,Bronze
84,Gal Dor,Israel,100,87,60,70,100,100,44,50,611,74.51,Bronze
84,Pēteris Eriņš,Latvia,100,77,100,62,100,100,47,25,611,74.51,Bronze
86,Jacob Plachta,Canada,100,87,40,56,100,100,77,50,610,74.39,Bronze
86,Renato Ferreira Pinto Junior,Brazil,100,50,60,95,100,100,55,50,610,74.39,Bronze
