Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Ce Jin,China,100,100,97,100,100,100, , ,597,99.50,Gold
2,Zuofan Wu,China,100,100,100,100,100,60, , ,560,93.33,Gold
3,Vladislav Makeev,Russia,100,100,97,100,100,60, , ,557,92.83,Gold
4,Mikhail Putilin,Russia,100,100,71,100,100,60, , ,531,88.50,Gold
5,Takuya Inoue,Japan,100,34,97,100,100,60, , ,491,81.83,Gold
5,Zhizhou Ren,China,100,34,97,100,100,60, , ,491,81.83,Gold
7,Yikuan Li,Canada,100,34,93,100,100,60, , ,487,81.17,Gold
8,Hristo Venev,Bulgaria,100,34,71,100,100,60, , ,465,77.50,Gold
8,Jarosław Kwiecień,Poland,100,34,71,100,100,60, , ,465,77.50,Gold
8,Ta-Jui Ho,Taiwan,100,34,71,100,100,60, , ,465,77.50,Gold
11,Ali Bahjati,Iran,100,64,38,100,100,60, , ,462,77.00,Gold
11,Jacob Por Loong Teo,Singapore,100,64,38,100,100,60, , ,462,77.00,Gold
13,Arash Mahmoudian Bidgoli,Iran,100,64,23,100,100,60, , ,447,74.50,Gold
14,Mateusz Radecki,Poland,100,34,71,100,70,60, , ,435,72.50,Gold
15,Daniel Chiu,United States of America,100,34,38,100,100,60, , ,432,72.00,Gold
15,Daniel Peter Rutschmann,Switzerland,100,34,38,100,100,60, , ,432,72.00,Gold
15,Grigoriy Reznikov,Russia,100,34,38,100,100,60, , ,432,72.00,Gold
15,Jaehyun Koo,Republic of Korea,100,34,38,100,100,60, , ,432,72.00,Gold
15,Minh Phan Duc Nhat,Vietnam,100,34,38,100,100,60, , ,432,72.00,Gold
15,Václav Volhejn,Czech Republic,100,34,38,100,100,60, , ,432,72.00,Gold
15,Yuta Takaya,Japan,100,34,38,100,100,60, , ,432,72.00,Gold
22,Seungwon Shin,Republic of Korea,100,34,31,100,100,60, , ,425,70.83,Gold
23,Aleksejs Popovs,Latvia,100,34,23,100,100,60, , ,417,69.50,Gold
23,Dhruv Rohatgi,United States of America,100,34,23,100,100,60, , ,417,69.50,Gold
23,Lawrence Li,United States of America,100,34,23,100,100,60, , ,417,69.50,Gold
26,Nguyen Pham Cao,Vietnam,100,34,71,100,70,41, , ,416,69.33,Gold
27,Kevin Sun,Canada,100,30,23,100,100,60, , ,413,68.83,Silver
28,Bo-Syu Yu,Taiwan,100,34,38,80,100,60, , ,412,68.67,Silver
29,Nurbakyt Madibek,Kazakhstan,100,64,38,100,49,60, , ,411,68.50,Silver
30,Filippo Gianni Baroni,Italy,100,34,31,80,100,60, , ,405,67.50,Silver
31,AmirMohammad Dehghan,Iran,100,64,23,100,100,16, , ,403,67.17,Silver
31,Domagoj Bradač,Croatia,100,64,9,100,70,60, , ,403,67.17,Silver
33,Costin-Andrei Oncescu,Romania,100,34,38,100,70,60, , ,402,67.00,Silver
33,Jerry Mao,Australia,100,34,38,100,70,60, , ,402,67.00,Silver
35,Hyunsoo Kim,Republic of Korea,100,64,38,100,38,60, , ,400,66.67,Silver
36,Márton Erdős,Hungary,100,34,23,100,100,41, , ,398,66.33,Silver
37,Phirasit Charoenchitseriwong,Thailand,100,34,31,100,70,60, , ,395,65.83,Silver
38,Joakim Blikstad,Sweden,100,34,31,100,100,25, , ,390,65.00,Silver
38,Kefan Dong,China,100,34,31,100,100,25, , ,390,65.00,Silver
Guest,Denis Solonkov,Russia 2,100,64,31,100,70,25, , ,390,65.00,Silver
40,Mikhail Natalevich,Belarus,100,34,38,100,100,16, , ,388,64.67,Silver
41,Declan McDonnell,Australia,100,64,23,100,70,25, , ,382,63.67,Silver
41,Kalle Luopajärvi,Finland,100,34,23,100,100,25, , ,382,63.67,Silver
43,Andrei-Costin Constantinescu,Romania,100,34,38,100,49,60, , ,381,63.50,Silver
44,Calvin Lee,United States of America,100,34,0,80,100,60, , ,374,62.33,Silver
44,Riku Kawasaki,Japan,100,34,0,80,100,60, , ,374,62.33,Silver
46,Dušan Živanović,Serbia,100,34,23,100,100,16, , ,373,62.17,Silver
47,Aleksandar Krastev,Bulgaria,100,34,38,100,100,0, , ,372,62.00,Silver
48,Richard Gong,Australia,100,34,38,100,38,60, , ,370,61.67,Silver
48,Stanislav Naumov,Russia,100,34,38,100,38,60, , ,370,61.67,Silver
50,Arthur Léonard,France,100,34,9,100,100,25, , ,368,61.33,Silver
50,Encho Mishinev,Bulgaria,100,34,71,100,38,25, , ,368,61.33,Silver
50,Takahiro Masuda,Japan,100,34,9,100,100,25, , ,368,61.33,Silver
53,Phat Tran Tan,Vietnam,100,34,38,100,70,25, , ,367,61.17,Silver
Guest,Alexandra Drozdova,Russia 2,100,34,31,100,38,60, , ,363,60.50,Silver
54,Seyed Parsa Mirtaheri,Iran,100,34,38,90,38,60, , ,360,60.00,Silver
55,Sanzhar Bidaibek,Kazakhstan,100,34,31,90,38,60, , ,353,58.83,Silver
56,Fedar Karabeinikau,Belarus,100,34,38,100,20,60, , ,352,58.67,Silver
57,William Gyuho Suh,Republic of Korea,100,11,31,100,49,60, , ,351,58.50,Silver
58,Srijon Mukherjee,India,100,34,0,100,100,16, , ,350,58.33,Silver
59,Clarence Xuan Da Chew,Singapore,100,34,31,59,100,25, , ,349,58.17,Silver
60,David Wärn,Sweden,100,11,31,80,100,25, , ,347,57.83,Silver
61,Farkhod Khakimiyon,Tajikistan,46,64,23,100,100,12, , ,345,57.50,Silver
62,Filip Bialas,Czech Republic,100,34,23,59,100,25, , ,341,56.83,Silver
62,Tomer Adar,Israel,100,34,23,80,100,4, , ,341,56.83,Silver
64,Stefanie Zbinden,Switzerland,100,11,23,90,100,16, , ,340,56.67,Silver
Guest,Mikhail Anoprenko,Russia 2,100,34,23,80,38,60, , ,335,55.83,Silver
65,Péter Mernyei,Hungary,100,34,31,59,49,60, , ,333,55.50,Silver
66,Giorgi Kldiashvili,Georgia,100,34,0,100,38,60, , ,332,55.33,Silver
66,Juliusz Pham,Poland,100,34,38,100,0,60, , ,332,55.33,Silver
68,Toomas Tennisberg,Estonia,100,41,31,59,100,0, , ,331,55.17,Silver
69,Andrea Ciprietti,Italy,100,34,31,100,49,16, , ,330,55.00,Silver
69,Nenad Bauk,Serbia,100,34,31,100,49,16, , ,330,55.00,Silver
69,Rajat De,India,100,34,31,100,49,16, , ,330,55.00,Silver
69,Rogério Aristida Guimarães Junior,Brazil,100,34,31,100,49,16, , ,330,55.00,Silver
73,Wen Yuen Pang,Singapore,100,34,31,90,49,25, , ,329,54.83,Silver
74,Andrei Popa,Romania,100,34,31,100,38,25, , ,328,54.67,Silver
74,Lucca Morais de Arruda Siaudzionis,Brazil,100,34,31,100,38,25, , ,328,54.67,Silver
74,Marcel Bezdrighin,Moldova,100,34,31,100,38,25, , ,328,54.67,Silver
74,Nazarbek Altybay,Kazakhstan,100,34,31,100,38,25, , ,328,54.67,Silver
78,Man Hou Hong,"Macao, China",100,34,31,90,49,16, , ,320,53.33,Bronze
79,Georgy Skhirtladze,Georgia,100,34,31,90,38,25, , ,318,53.00,Bronze
79,Paweł Burzyński,Poland,100,11,23,59,100,25, , ,318,53.00,Bronze
81,Vladimir Maksimovski,North Macedonia,100,34,38,90,49,4, , ,315,52.50,Bronze
81,Álmos Zarándy,Hungary,46,34,23,100,100,12, , ,315,52.50,Bronze
83,Adrian Beker,Croatia,100,34,38,100,38,4, , ,314,52.33,Bronze
84,Mihail Tarigradschi,Moldova,100,34,23,90,49,16, , ,312,52.00,Bronze
Guest,Askhat Sakhabiev,Russia 2,100,64,23,100,0,25, , ,312,52.00,Bronze
85,Aristofanis Rontogiannis,Greece,100,34,23,100,38,16, , ,311,51.83,Bronze
85,Florian Leimgruber,Austria,100,34,23,100,38,16, , ,311,51.83,Bronze
87,Guangxuan Zhang,Singapore,100,34,23,90,38,25, , ,310,51.67,Bronze
88,Théophane Vallaeys,France,100,34,31,80,38,25, , ,308,51.33,Bronze
89,Lung Sin Kwee,Indonesia,100,34,9,100,38,25, , ,306,51.00,Bronze
90,Félix Breton,France,100,34,0,59,100,12, , ,305,50.83,Bronze
90,Lawrence Hollom,United Kingdom,100,11,0,90,100,4, , ,305,50.83,Bronze
