Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Jiangqi Dai,China,100,100.0,100,100,100.00,100.00, , ,600.00,100.00,Gold
1,Shaoxuan Tang,China,100,100.0,100,100,100.00,100.00, , ,600.00,100.00,Gold
3,Hangrui Zhou,China,100,100.0,100,100,100.00,55.00, , ,555.00,92.50,Gold
3,Junkai Zhang,China,100,100.0,100,100,100.00,55.00, , ,555.00,92.50,Gold
5,Hankai Zhang,United States of America,100,80.0,100,100,99.56,55.00, , ,534.56,89.09,Gold
6,Zixiang Zhou,Canada,100,100.0,77,100,100.00,55.00, , ,532.00,88.67,Gold
7,Roman Yanushevskyi,Ukraine,100,72.0,60,100,91.29,100.00, , ,523.29,87.22,Gold
8,Timothy Feng,United States of America,100,80.0,40,100,100.00,100.00, , ,520.00,86.67,Gold
9,Aleksandr Babin,No country,100,80.0,77,100,99.89,55.00, , ,511.89,85.31,Gold
10,Koosha Moosavi,Iran,100,80.0,77,100,93.04,55.00, , ,505.04,84.17,Gold
11,Vsevolod Nagibin,No country,100,80.0,58,100,99.90,55.00, , ,492.90,82.15,Gold
12,Alireza Kaviani,Iran,100,65.0,100,100,70.00,55.00, , ,490.00,81.67,Gold
13,Dorijan Lendvaj,Croatia,100,100.0,58,100,99.95,29.00, , ,486.95,81.16,Gold
14,Oleh Naver,Ukraine,100,90.0,41,100,99.89,55.00, , ,485.89,80.98,Gold
15,Ashley Aragorn Khoo,Singapore,100,90.0,60,34,99.89,100.00, , ,483.89,80.65,Gold
16,Daiki Kodama,Japan,100,90.0,41,100,93.68,55.00, , ,479.68,79.95,Gold
17,Yuto Watanabe,Japan,100,80.0,44,100,100.00,55.00, , ,479.00,79.83,Gold
18,Alexandru Luchianov,Romania,100,65.0,60,100,96.29,55.00, , ,476.29,79.38,Gold
19,Elliot En-Yi Liu,Taiwan,100,48.5,77,100,89.98,55.00, , ,470.48,78.41,Gold
20,Patrick Pavić,Croatia,100,65.0,100,100,50.00,55.00, , ,470.00,78.33,Gold
21,Benjamin Chen,United States of America,100,80.0,27,100,99.89,55.00, , ,461.89,76.98,Gold
22,Taehwan Jang,Republic of Korea,100,53.0,58,100,93.05,55.00, , ,459.05,76.51,Gold
23,Yui Tamura,Japan,3,100.0,100,100,99.89,55.00, , ,457.89,76.31,Gold
24,Yuki Tanaka,Japan,100,50.0,58,100,91.49,55.00, , ,454.49,75.75,Gold
25,Danil Klisch,No country,100,80.0,41,100,56.21,55.00, , ,432.21,72.03,Gold
26,Younguk Jo,Republic of Korea,67,51.5,58,100,99.78,55.00, , ,431.28,71.88,Gold
27,Daniel Weber,Israel,70,53.0,58,100,89.75,55.00, , ,425.75,70.96,Gold
28,Benjamin Bajd,Slovenia,100,72.0,41,100,57.14,55.00, , ,425.14,70.86,Gold
29,Hsin-Wei Hou,Taiwan,100,65.0,58,100,39.06,55.00, , ,417.06,69.51,Gold
30,Bach Tran Xuan,Vietnam,100,48.5,41,100,71.49,55.00, , ,415.99,69.33,Gold
31,Eliška Macáková,Slovakia,100,65.0,4,100,95.39,34.00, , ,398.39,66.40,Silver
32,Kacper Paciorek,Poland,100,65.0,0,100,100.00,33.10, , ,398.10,66.35,Silver
33,Jerry Zirui Li,Australia,46,65.0,41,100,89.88,55.00, , ,396.88,66.15,Silver
34,Allen Pei,Canada,100,65.0,41,34,99.89,55.00, , ,394.89,65.81,Silver
35,Jan Strzeszyński,Poland,70,56.0,23,100,90.00,55.00, , ,394.00,65.67,Silver
36,Rain Jiang,United States of America,100,65.0,60,100,10.00,57.10, , ,392.10,65.35,Silver
37,Blagojche Pavleski,North Macedonia,100,39.5,15,100,77.14,55.00, , ,386.64,64.44,Silver
38,Ditbul Ban,Republic of Korea,53,80.0,58,34,100.00,55.00, , ,380.00,63.33,Silver
39,Luca Perju Verzotti,Romania,67,65.0,0,100,99.89,36.15, , ,368.04,61.34,Silver
40,Cheng U Ian,"Macao, China",67,90.0,15,34,99.95,55.00, , ,360.95,60.16,Silver
41,Kshitij Sodani,India,100,80.0,27,34,58.93,55.00, , ,354.93,59.16,Silver
42,Sanghoon Park,Republic of Korea,70,72.0,27,34,96.10,55.00, , ,354.10,59.02,Silver
43,Manuel Darío Oliver Ballesteros,Cuba,100,65.0,41,0,99.89,41.50, , ,347.39,57.90,Silver
44,Daniil Zabauski,No country,64,65.0,37,34,90.24,55.00, , ,345.24,57.54,Silver
45,Alireza Samimi,Iran,100,51.5,27,100,10.00,55.00, , ,343.50,57.25,Silver
