Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Mingyang Deng,China,100,100,100,100,100,100, , ,600,100.00,Gold
2,Yi Qian,China,67,100,70,100,100,100, , ,537,89.50,Gold
3,Chenxin Dai,China,100,100,70,100,89,46, , ,505,84.17,Gold
4,Haoxiang Yu,China,100,37,100,100,89,71, , ,497,82.83,Gold
5,Rain Jiang,United States of America,100,100,45,100,100,34, , ,479,79.83,Gold
6,Ryomei Sugai,Japan,100,67,100,100,62,46, , ,475,79.17,Gold
7,Ditbul Ban,Republic of Korea,100,67,70,100,62,75, , ,474,79.00,Gold
8,Ashley Aragorn Khoo,Singapore,100,37,100,100,89,46, , ,472,78.67,Gold
9,Zixiang Zhou,Canada,100,37,100,100,100,33, , ,470,78.33,Gold
10,Harris Leung,"Hong Kong, China",100,100,70,100,0,75, , ,445,74.17,Gold
11,Matej Urban,Slovakia,100,37,70,100,36,100, , ,443,73.83,Gold
12,Siyong Huang,United States of America,100,37,70,100,62,71, , ,440,73.33,Gold
13,Marco Meijer,Netherlands,100,37,55,100,100,47, , ,439,73.17,Gold
14,Dorijan Lendvaj,Croatia,100,0,70,100,62,100, , ,432,72.00,Gold
15,Jan Strzeszyński,Poland,38,100,70,100,62,46, , ,416,69.33,Gold
16,Patrick Pavić,Croatia,100,37,70,100,50,58, , ,415,69.17,Gold
17,Ioan Popescu,Romania,11,100,70,100,100,33, , ,414,69.00,Gold
17,Timothy Feng,United States of America,100,37,30,100,89,58, , ,414,69.00,Gold
19,Egor Lifar,Russia,67,67,70,100,62,46, , ,412,68.67,Gold
19,Mikhail Budnikov,Russia,67,67,70,100,62,46, , ,412,68.67,Gold
21,Alireza Keshavarz Hedayati,Iran,67,100,15,100,100,21, , ,403,67.17,Gold
22,Joël Huber,Switzerland,100,37,70,100,62,21, , ,390,65.00,Gold
22,Shen Xing Yang,Singapore,100,37,70,100,62,21, , ,390,65.00,Gold
24,Timofei Fedoseev,Russia,11,100,70,100,50,58, , ,389,64.83,Gold
25,Oleh Naver,Ukraine,67,37,70,100,62,46, , ,382,63.67,Gold
26,Jiří Kalvoda,Czech Republic,100,37,35,100,62,46, , ,380,63.33,Gold
27,Ping-Hsuan Lin,Taiwan,38,37,70,100,100,33, , ,378,63.00,Gold
28,Daiki Kodama,Japan,38,37,30,100,100,71, , ,376,62.67,Gold
28,Pikatan Arya Bramajati,Indonesia,100,100,55,100,11,10, , ,376,62.67,Gold
30,Tan Si Jie,Singapore,67,37,100,100,36,33, , ,373,62.17,Gold
31,Junhyuk Song,Republic of Korea,38,37,100,100,50,46, , ,371,61.83,Silver
32,Allen Pei,Canada,67,37,70,100,62,21, , ,357,59.50,Silver
33,Alireza Kaviani,Iran,38,37,70,100,62,46, , ,353,58.83,Silver
33,Andrii Kovryhin,Ukraine,40,37,55,100,100,21, , ,353,58.83,Silver
33,Hsin-Wei Hou,Taiwan,38,37,70,100,62,46, , ,353,58.83,Silver
