Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Yuta Takaya,Japan,89.52,100,100,100.00,100,100, , ,589.52,98.25,Gold
2,Mingkuan Xu,China,74.20,100,100,100.00,100,50, , ,524.20,87.37,Gold
3,Zhezheng Luo,United States of America,93.53,100,5,97.74,70,100, , ,466.27,77.71,Gold
4,Riku Kawasaki,Japan,79.66,100,16,100.00,100,50, , ,445.66,74.28,Gold
5,Satoru Kawaharai,Japan,80.88,100,16,97.68,51,100, , ,445.56,74.26,Gold
6,Joseph Benton,United Kingdom,83.81,100,0,100.00,51,100, , ,434.81,72.47,Gold
7,Encho Mishinev,Bulgaria,88.06,100,49,90.00,51,50, , ,428.06,71.34,Gold
8,Anton Tsypko,Ukraine,88.01,100,27,98.85,51,50, , ,414.86,69.14,Gold
9,Lukas Michel,Germany,26.57,100,15,100.00,70,100, , ,411.57,68.59,Gold
10,Richard Gong,Australia,71.78,100,39,98.58,51,50, , ,410.36,68.39,Gold
11,Ștefan Constantin-Buliga,Romania,29.66,100,100,97.36,30,50, , ,407.02,67.84,Gold
12,Mariusz Trela,Poland,78.80,100,26,97.65,51,50, , ,403.45,67.24,Gold
13,Jason Yuen,Canada,73.89,100,27,97.79,51,50, , ,399.68,66.61,Gold
14,Attila Gáspár,Hungary,91.24,100,100,20.00,30,50, , ,391.24,65.21,Gold
15,Tamio-Vesa Nakajima,Romania,94.58,100,27,97.94,0,70, , ,389.52,64.92,Gold
16,Jeyoun Si,Republic of Korea,26.14,100,11,98.07,51,100, , ,386.21,64.37,Gold
17,Brian Chau,Canada,55.54,100,27,90.00,13,100, , ,385.54,64.26,Gold
18,Seyed Mohammad Hossein Nematollahi,Iran,29.03,100,34,90.00,51,70, , ,374.03,62.34,Gold
19,Vladimir Romanov,Russia,74.36,100,0,97.67,51,50, , ,373.03,62.17,Gold
20,Filip Bialas,Czech Republic,89.25,55,27,100.00,0,100, , ,371.25,61.88,Gold
21,Chung-Yao Cheng,Taiwan,88.17,100,0,100.00,13,70, , ,371.17,61.86,Gold
22,Jerry Mao,Australia,13.24,100,26,100.00,30,100, , ,369.24,61.54,Gold
23,Anadi Agrawal,Poland,28.77,100,37,100.00,51,50, , ,366.77,61.13,Gold
24,Pedro Henrique Sacramento de Oliveira,Brazil,85.81,100,0,95.11,30,50, , ,360.92,60.15,Gold
25,Zhixian Zhong,China,60.11,30,49,97.61,51,70, , ,357.72,59.62,Gold
26,Tuan Le Quang,Vietnam,87.95,100,5,97.08,51,12, , ,353.03,58.84,Gold
27,Denis Shpakovskii,Russia,88.09,30,37,94.90,51,50, , ,350.99,58.50,Silver
28,Yuval Salant,Israel,0.00,100,34,97.68,13,100, , ,344.68,57.45,Silver
28,Yik Chun Wong,"Hong Kong, China",87.90,20,37,98.15,51,50, , ,344.05,57.34,Silver
29,David Wärn,Sweden,43.60,30,37,96.43,30,100, , ,337.03,56.17,Silver
30,Arash Mahmoudian Bidgoli,Iran,88.24,20,22,99.66,51,50, , ,330.90,55.15,Silver
31,Jacopo Chen,Italy,88.02,100,0,97.56,30,12, , ,327.58,54.60,Silver
32,Stanisław Strzelecki,Poland,76.01,13,16,90.00,30,100, , ,325.01,54.17,Silver
33,Xiao Mao,China,0.00,100,5,99.71,70,50, , ,324.71,54.12,Silver
Guest,Ali Ahmadi,Iran 2,88.53,100,27,95.91,13,0, , ,324.44,54.07,Silver
34,Guangxuan Zhang,Singapore,89.55,20,38,95.31,30,50, , ,322.86,53.81,Silver
35,Robin Christopher Yu,Philippines,54.02,100,27,90.00,51,0, , ,322.02,53.67,Silver
36,Wen Yuen Pang,Singapore,88.16,30,5,94.01,51,50, , ,318.17,53.03,Silver
37,Po-Hsuan Su,Taiwan,0.00,100,5,100.00,13,100, , ,318.00,53.00,Silver
38,Egor Lifar,Russia,92.98,20,27,97.69,51,22, , ,310.67,51.78,Silver
39,Thomas Read,United Kingdom,87.86,45,27,97.51,0,50, , ,307.37,51.23,Silver
40,Donghyun Kim,Republic of Korea,56.49,30,16,100.00,51,50, , ,303.49,50.58,Silver
41,Péter Mernyei,Hungary,40.59,100,23,97.41,30,12, , ,303.00,50.50,Silver
42,Artur Petukhouski,Belarus,56.96,30,15,97.62,51,50, , ,300.58,50.10,Silver
43,Josip Klepec,Croatia,62.36,20,27,90.00,51,50, , ,300.36,50.06,Silver
44,Giorgi Kldiashvili,Georgia,87.86,20,28,97.60,13,50, , ,296.46,49.41,Silver
45,Yen-Jen Wang,Taiwan,75.85,13,16,90.00,51,50, , ,295.85,49.31,Silver
