Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Tomasz Kulczyński,Poland,100,100,100,100,74,100, , ,574,95.67,Gold
2,Yi Yang,China,100,55,100,100,100,100, , ,555,92.50,Gold
3,Huayang Guo,China,100,100,100,100,90,35, , ,525,87.50,Gold
4,Goran Žužić,Croatia,100,40,100,100,74,100, , ,514,85.67,Gold
5,John Pardon,United States of America,100,100,100,100,80,30, , ,510,85.00,Gold
6,Marcin Andrychowicz,Poland,100,100,100,100,74,30, , ,504,84.00,Gold
6,Mu Yang,China,100,100,100,100,74,30, , ,504,84.00,Gold
8,Qifeng Chen,China,100,100,23,100,100,60, , ,483,80.50,Gold
9,Andrey Kolosov,Russia,100,100,32,100,100,30, , ,462,77.00,Gold
9,Richard McCutchen,United States of America,100,100,32,100,100,30, , ,462,77.00,Gold
11,Ilya Razenshteyn,Russia,100,100,25,100,100,30, , ,455,75.83,Gold
12,BoJhang Ho,Taiwan,100,100,60,92,50,30, , ,432,72.00,Gold
13,Daniyil Neyter,Ukraine,100,100,0,100,100,30, , ,430,71.67,Gold
14,Iskren Chernev,Bulgaria,70,100,100,100,54,0, , ,424,70.67,Gold
15,Vladislav Epifanov,Russia,100,100,0,100,80,40, , ,420,70.00,Gold
15,Zhomart Sadykov,Kazakhstan,100,100,50,100,70,0, , ,420,70.00,Gold
17,Bakhytzhan Baizhikenov,Kazakhstan,80,55,100,100,80,0, , ,415,69.17,Gold
18,Sepideh Mahabadi,Iran,100,40,100,100,64,5, , ,409,68.17,Gold
19,Toshiki Kataoka,Japan,100,64,50,100,50,40, , ,404,67.33,Gold
20,Gennady Korotkevich,Belarus,80,55,80,100,56,30, , ,401,66.83,Gold
21,Phumchanit Watanaprakornkul,Thailand,100,0,100,100,70,30, , ,400,66.67,Gold
22,Daniel Grunwald,Germany,90,73,50,100,50,30, , ,393,65.50,Gold
23,Rostislav Rumenov,Bulgaria,80,100,25,92,84,10, , ,391,65.17,Gold
24,Chris Chen,Australia,100,100,32,100,56,0, , ,388,64.67,Gold
24,Shang-En Huang,Taiwan,100,100,23,100,50,15, , ,388,64.67,Gold
26,Phitchaya Phothilimthana,Thailand,100,73,40,100,74,0, , ,387,64.50,Silver
27,Cosmin Gheorghe,Romania,80,55,100,100,50,0, , ,385,64.17,Silver
27,Shahar Papini,Israel,80,100,25,100,50,30, , ,385,64.17,Silver
29,Jae Hyun Park,Republic of Korea,100,73,16,100,90,0, , ,379,63.17,Silver
30,Bogdan-Cristian Tataroiu,Romania,100,55,16,100,100,0, , ,371,61.83,Silver
31,Michal Danilák,Slovakia,80,64,50,92,60,20, , ,366,61.00,Silver
32,Timur Abishev,Kazakhstan,100,40,32,100,90,0, , ,362,60.33,Silver
33,Hung Doan Manh,Vietnam,80,55,25,100,70,30, , ,360,60.00,Silver
34,Uladzimir Miniailau,Belarus,100,55,53,100,50,0, , ,358,59.67,Silver
35,Si Young Oh,Republic of Korea,30,100,18,100,74,30, , ,352,58.67,Silver
36,Matteo Boscariol,Italy,100,73,40,100,38,0, , ,351,58.50,Silver
