Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,William Lin,United States of America,100,100,100,100,100.00,100.00, , ,600.00,100.00,Gold
2,Eun Soo Choe,Republic of Korea,100,100,100,100,93.00,100.00, , ,593.00,98.83,Gold
3,Harris Leung,"Hong Kong, China",100,100,100,100,92.62,100.00, , ,592.62,98.77,Gold
3,Yuxiang Luo,China,100,100,100,100,92.62,100.00, , ,592.62,98.77,Gold
3,Yuyang Zhou,China,100,100,100,100,92.62,100.00, , ,592.62,98.77,Gold
3,Zhanpeng Wang,China,100,100,100,100,92.62,100.00, , ,592.62,98.77,Gold
7,Mingrun Jiang,China,100,100,100,100,92.24,100.00, , ,592.24,98.71,Gold
8,Ildar Gainullin,Russia,75,100,100,100,92.62,100.00, , ,567.62,94.60,Gold
8,Tadija Šebez,Serbia,75,100,100,100,92.62,100.00, , ,567.62,94.60,Gold
10,Shayan Pardis,Iran,44,100,100,100,92.62,100.00, , ,536.62,89.44,Gold
11,Duc Bui Hong,Vietnam,60,100,100,77,96.58,100.00, , ,533.58,88.93,Gold
12,Junhyuk Song,Republic of Korea,75,100,100,100,92.62,65.32, , ,532.94,88.82,Gold
13,Pikatan Arya Bramajati,Indonesia,49,100,100,100,80.43,100.00, , ,529.43,88.24,Gold
14,Patrick Pavić,Croatia,100,100,41,100,80.43,100.00, , ,521.43,86.91,Gold
15,Nikoloz Birkadze,Georgia,75,100,100,100,80.43,65.32, , ,520.75,86.79,Gold
16,Teimurazi Toloraia,Georgia,60,100,100,77,80.43,100.00, , ,517.43,86.24,Gold
17,Alexandru Luchianov,Romania,75,100,41,100,92.62,100.00, , ,508.62,84.77,Gold
18,Thomas Guo,Canada,49,100,100,100,92.62,65.32, , ,506.94,84.49,Gold
19,Walden Yan,United States of America,32,100,100,100,73.38,100.00, , ,505.38,84.23,Gold
20,Zixiang Zhou,Canada,75,100,100,42,86.59,100.00, , ,503.59,83.93,Gold
21,Xinyang Chen,United States of America,14,100,90,100,99.12,100.00, , ,503.12,83.85,Gold
22,Rintaro Matsuo,Japan,5,100,100,100,92.62,100.00, , ,497.62,82.94,Gold
23,Masataka Yoneda,Japan,60,100,67,77,92.62,100.00, , ,496.62,82.77,Gold
24,Andrei Efremov,Russia,60,100,100,56,80.43,100.00, , ,496.43,82.74,Gold
25,Semen Savkin,Russia,49,100,90,100,56.78,100.00, , ,495.78,82.63,Gold
26,Kasra Mazaheri,Iran,38,100,100,100,80.43,67.97, , ,486.40,81.07,Gold
27,Almog Wald,Israel,49,100,100,42,92.62,100.00, , ,483.62,80.60,Gold
27,Nyamdavaa Amar,Mongolia,49,100,100,42,92.62,100.00, , ,483.62,80.60,Gold
29,Ali Safary,Iran,60,100,27,100,92.62,100.00, , ,479.62,79.94,Gold
30,Sungjae Im,Republic of Korea,44,100,41,100,92.24,100.00, , ,477.24,79.54,Silver
31,Dorijan Lendvaj,Croatia,75,100,100,21,80.14,100.00, , ,476.14,79.36,Silver
32,Jiří Kalvoda,Czech Republic,32,100,100,42,92.62,100.00, , ,466.62,77.77,Silver
33,Oleh Naver,Ukraine,60,100,55,100,80.71,69.04, , ,464.75,77.46,Silver
34,Cheng-Hao Yang,Taiwan,49,96,27,100,92.62,100.00, , ,464.62,77.44,Silver
35,Maria Alexa Tudose,Romania,19,96,76,77,92.62,100.00, , ,460.62,76.77,Silver
36,Ashley Aragorn Khoo,Singapore,32,100,100,42,84.96,100.00, , ,458.96,76.49,Silver
37,Andon Todorov,Bulgaria,19,100,55,100,81.00,100.00, , ,455.00,75.83,Silver
38,Andrii Kovryhin,Ukraine,19,100,100,56,79.58,100.00, , ,454.58,75.76,Silver
39,Huy Le Quang,Vietnam,32,100,100,42,80.43,100.00, , ,454.43,75.74,Silver
40,Sofiia Melnyk,Ukraine,49,100,100,42,93.00,65.32, , ,449.32,74.89,Silver
41,Vladyslav Zavodnyk,Ukraine,5,100,100,77,56.93,100.00, , ,438.93,73.16,Silver
42,Kien Vu Hoang,Vietnam,49,100,100,42,56.64,89.00, , ,436.64,72.77,Silver
43,Evangelos Pipis,Greece,14,100,100,42,79.86,100.00, , ,435.86,72.64,Silver
44,Hirotaka Yoneda,Japan,60,100,41,77,80.71,67.96, , ,426.67,71.11,Silver
45,Fredrik Ekholm,Sweden,14,100,100,42,90.40,75.79, , ,422.19,70.36,Silver
46,Guan-Chen Chen,Taiwan,32,100,55,42,92.62,100.00, , ,421.62,70.27,Silver
47,Abolfazl Soltani,Iran,100,96,11,21,92.24,100.00, , ,420.24,70.04,Silver
48,Danny Mittal,United States of America,19,96,55,100,80.14,65.32, , ,415.46,69.24,Silver
49,Matej Urban,Slovakia,25,100,27,100,63.13,100.00, , ,415.13,69.19,Silver
50,Zi Song Yeoh,Malaysia,60,100,100,42,10.00,100.00, , ,412.00,68.67,Silver
51,Michał Staniewski,Poland,32,100,55,42,80.71,100.00, , ,409.71,68.28,Silver
52,Marco Meijer,Netherlands,49,100,67,42,80.43,65.32, , ,403.75,67.29,Silver
53,Temirlan Baibolov,Kazakhstan,49,100,53,9,92.62,100.00, , ,403.62,67.27,Silver
54,Noam Licht,Israel,5,96,100,42,92.62,67.98, , ,403.60,67.27,Silver
55,Daniel Agassy,Israel,27,100,41,42,92.62,100.00, , ,402.62,67.10,Silver
56,George Chen,Canada,25,100,53,100,56.64,65.32, , ,399.96,66.66,Silver
57,Mohamed Ehab,Egypt,32,100,90,21,56.93,100.00, , ,399.93,66.66,Silver
58,Joël Huber,Switzerland,70,100,41,9,79.86,100.00, , ,399.86,66.64,Silver
59,Péter Gyimesi,Hungary,19,100,90,42,80.43,65.32, , ,396.75,66.12,Silver
60,Chen-Jui Tsao,Taiwan,19,96,55,100,80.43,39.00, , ,389.43,64.91,Silver
61,Ditbul Ban,Republic of Korea,32,100,53,21,80.14,100.00, , ,386.14,64.36,Silver
62,Tomohito Hoshii,Japan,32,100,27,42,80.71,100.00, , ,381.71,63.62,Silver
63,Davide Bartoli,Italy,14,96,25,100,80.43,65.32, , ,380.75,63.46,Silver
64,Mieszko Grodzicki,Poland,49,100,41,9,80.43,100.00, , ,379.43,63.24,Silver
