Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Bom Jun Kim,Republic of Korea, , , , , , , , ,200,100.00,Gold
1,Fredrik Huss,Sweden, , , , , , , , ,200,100.00,Gold
1,Gao Chen,China, , , , , , , , ,200,100.00,Gold
1,Jittat Fakcharoenphol,Thailand, , , , , , , , ,200,100.00,Gold
1,Laszlo Peter,Hungary, , , , , , , , ,200,100.00,Gold
1,Matej Ondrusek,Czechoslovakia, , , , , , , , ,200,100.00,Gold
1,Nathan Bronson,United States of America, , , , , , , , ,200,100.00,Gold
1,Pinit Asavanuchit,Thailand, , , , , , , , ,200,100.00,Gold
1,Shawn Smith,United States of America, , , , , , , , ,200,100.00,Gold
1,Viet Nguyen Tuan,Vietnam, , , , , , , , ,200,100.00,Gold
1,Xing Wu,China, , , , , , , , ,200,100.00,Gold
1,Yunhe Yang,China, , , , , , , , ,200,100.00,Gold
13,Niklas Eén,Sweden, , , , , , , , ,198,99.00,Gold
14,Dimitar Piskiulev,Bulgaria, , , , , , , , ,195,97.50,Silver
14,Frederik De Vusser,Belgium, , , , , , , , ,195,97.50,Silver
14,Kang Hoe Kim,Republic of Korea, , , , , , , , ,195,97.50,Silver
14,Maarten ter Huurne,Netherlands, , , , , , , , ,195,97.50,Silver
14,Robert Kiss,Hungary, , , , , , , , ,195,97.50,Silver
14,Wai Ip Lam,"Macao, China", , , , , , , , ,195,97.50,Silver
20,Gabriel Ale Moreno,Argentina, , , , , , , , ,193,96.50,Silver
20,John Sullivan,United Kingdom, , , , , , , , ,193,96.50,Silver
20,Suttirak Thaisedhawatkul,Thailand, , , , , , , , ,193,96.50,Silver
23,Arttu Rajantie,Finland, , , , , , , , ,190,95.00,Silver
23,Gabriel Dobrev,Bulgaria, , , , , , , , ,190,95.00,Silver
23,Jan Kybic,Czechoslovakia, , , , , , , , ,190,95.00,Silver
23,Jong Hyun Lee,Republic of Korea, , , , , , , , ,190,95.00,Silver
23,Pham Minh Tuan,Vietnam, , , , , , , , ,190,95.00,Silver
28,Marcus Comstedt,Sweden, , , , , , , , ,188,94.00,Silver
29,Dmitry Zoukov,Russia, , , , , , , , ,187,93.50,Silver
30,Alexey Skvortsov,Ukraine, , , , , , , , ,185,92.50,Silver
30,David Butler,South Africa, , , , , , , , ,185,92.50,Silver
30,Ernesto Kofman,Argentina, , , , , , , , ,185,92.50,Silver
30,Jan Kotas,Czechoslovakia, , , , , , , , ,185,92.50,Silver
30,Matthias John,Germany, , , , , , , , ,185,92.50,Silver
30,Vladimir Belyi,Belarus, , , , , , , , ,185,92.50,Silver
30,Yanfeng Sun,China, , , , , , , , ,185,92.50,Silver
30,Ģirts Karnītis,Latvia, , , , , , , , ,185,92.50,Silver
38,Soren John Henriksen,Australia, , , , , , , , ,180,90.00,Silver
39,Hing Lun Chan,"Hong Kong, China", , , , , , , , ,175,87.50,Silver
39,Keith Allen Guthrie,South Africa, , , , , , , , ,175,87.50,Silver
39,Mohammad Mahdian,Iran, , , , , , , , ,175,87.50,Silver
39,Saeed Mirzaei Bouini,Iran, , , , , , , , ,175,87.50,Silver
39,Tomasz Śmigielski,Poland, , , , , , , , ,175,87.50,Silver
39,Valentin Necula,Romania, , , , , , , , ,175,87.50,Silver
45,Oliver Szasz,Hungary, , , , , , , , ,172,86.00,Bronze
46,Thomas Mischke,Germany, , , , , , , , ,171,85.50,Bronze
47,Emil Praun,Romania, , , , , , , , ,170,85.00,Bronze
47,Giedrius Meinorius,Lithuania, , , , , , , , ,170,85.00,Bronze
47,Melvin Leok Boon Tiong,Singapore, , , , , , , , ,170,85.00,Bronze
47,Sergey Ioffe,Russia, , , , , , , , ,170,85.00,Bronze
51,Christian Meisl,Austria, , , , , , , , ,168,84.00,Bronze
51,Thanh Ha Cong,Vietnam, , , , , , , , ,168,84.00,Bronze
51,Tri Le Van,Vietnam, , , , , , , , ,168,84.00,Bronze
54,Evgeniy Kuznetsov,Russia, , , , , , , , ,165,82.50,Bronze
54,Fjodor Lohrig,Germany, , , , , , , , ,165,82.50,Bronze
54,Jacek Pliszka,Poland, , , , , , , , ,165,82.50,Bronze
57,Valdas Ambraziūnas,Lithuania, , , , , , , , ,160,80.00,Bronze
58,Ivan Hamilton,Australia, , , , , , , , ,158,79.00,Bronze
58,Pavel Matlach,Ukraine, , , , , , , , ,158,79.00,Bronze
60,Richard Forster,United Kingdom, , , , , , , , ,156,78.00,Bronze
61,Denis Filippenko,Ukraine, , , , , , , , ,155,77.50,Bronze
61,Hristo Bojinov,Bulgaria, , , , , , , , ,155,77.50,Bronze
